"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","NDSU12","SRR15146548","SRR3000884","SRR14766335","NDSU4","SRR14766329","SRR6502082","SRR14766451","SRR2994394","SRR10037243","SRR5928610","SRR5877168","SRR3000893","SRR1363292","SRR19431269"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"KMJDPIGG_04489","EGKOAKEK_04414","EFNNPMIA_04444","EMDCPPMA_03965","MLOHFGPA_03952","LGNMAAMO_03600","NAFOOFAA_03761","JKFJINKE_04527","NNGIMOCL_04463","OAJCOHFM_04426","FCBEKDAD_03302","ABGDGJIO_04596","NNFNPJIH_04420","HECGGPDK_04420","KFNBBHOJ_04468"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"KMJDPIGG_04486","EGKOAKEK_04417","EFNNPMIA_04447","EMDCPPMA_03962","MLOHFGPA_03949","LGNMAAMO_03597","NAFOOFAA_03764","JKFJINKE_03427","NNGIMOCL_04460","OAJCOHFM_04429","FCBEKDAD_03299","ABGDGJIO_04593","NNFNPJIH_04417","HECGGPDK_04423","KFNBBHOJ_04465"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"KMJDPIGG_04465","EGKOAKEK_04438","EFNNPMIA_04468","EMDCPPMA_03941","MLOHFGPA_03928","LGNMAAMO_03576","NAFOOFAA_03785","JKFJINKE_03406","NNGIMOCL_04439","OAJCOHFM_04450","FCBEKDAD_03278","ABGDGJIO_04572","NNFNPJIH_04396","HECGGPDK_04444","KFNBBHOJ_04444"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"KMJDPIGG_04518","EGKOAKEK_04385","EFNNPMIA_04509","EMDCPPMA_04039","MLOHFGPA_04066","LGNMAAMO_03910","NAFOOFAA_03869","JKFJINKE_03160","NNGIMOCL_03712","OAJCOHFM_04393","FCBEKDAD_03372","ABGDGJIO_04626","NNFNPJIH_04351","HECGGPDK_04486","KFNBBHOJ_04498"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"KMJDPIGG_04548","EGKOAKEK_04479","EFNNPMIA_04539","EMDCPPMA_04528","MLOHFGPA_04313","LGNMAAMO_04329","NAFOOFAA_04463","JKFJINKE_04265","NNGIMOCL_04531","OAJCOHFM_04469","FCBEKDAD_04312","ABGDGJIO_04685","NNFNPJIH_04470","HECGGPDK_04566","KFNBBHOJ_04570"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"KMJDPIGG_00916","EGKOAKEK_01339","EFNNPMIA_00595","EMDCPPMA_01988","MLOHFGPA_01351","LGNMAAMO_00715","NAFOOFAA_01658","JKFJINKE_00697","NNGIMOCL_00595","OAJCOHFM_00818","FCBEKDAD_01693","ABGDGJIO_00074","NNFNPJIH_01068","HECGGPDK_00808","KFNBBHOJ_00819"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"KMJDPIGG_02514","EGKOAKEK_01905","EFNNPMIA_01161","EMDCPPMA_03375","MLOHFGPA_03032","LGNMAAMO_03001","NAFOOFAA_03416","JKFJINKE_04311","NNGIMOCL_02682","OAJCOHFM_03166","FCBEKDAD_04146","ABGDGJIO_01591","NNFNPJIH_02159","HECGGPDK_01409","KFNBBHOJ_02336"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"KMJDPIGG_01019","EGKOAKEK_01236","EFNNPMIA_00492","EMDCPPMA_04289","MLOHFGPA_01454","LGNMAAMO_01776","NAFOOFAA_04000","JKFJINKE_01975","NNGIMOCL_00492","OAJCOHFM_00921","FCBEKDAD_00404","ABGDGJIO_00177","NNFNPJIH_01171","HECGGPDK_00911","KFNBBHOJ_00922"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"KMJDPIGG_00047","EGKOAKEK_00048","EFNNPMIA_01956","EMDCPPMA_02983","MLOHFGPA_02147","LGNMAAMO_03373","NAFOOFAA_00934","JKFJINKE_01642","NNGIMOCL_03487","OAJCOHFM_00048","FCBEKDAD_02726","ABGDGJIO_02371","NNFNPJIH_00589","HECGGPDK_00689","KFNBBHOJ_00047"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"KMJDPIGG_00051","EGKOAKEK_00052","EFNNPMIA_01952","EMDCPPMA_02987","MLOHFGPA_02151","LGNMAAMO_03377","NAFOOFAA_00938","JKFJINKE_01638","NNGIMOCL_03491","OAJCOHFM_00052","FCBEKDAD_02722","ABGDGJIO_02367","NNFNPJIH_00585","HECGGPDK_00685","KFNBBHOJ_00051"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"KMJDPIGG_00054","EGKOAKEK_00055","EFNNPMIA_01949","EMDCPPMA_02990","MLOHFGPA_02154","LGNMAAMO_03380","NAFOOFAA_00941","JKFJINKE_01635","NNGIMOCL_03494","OAJCOHFM_00055","FCBEKDAD_02719","ABGDGJIO_02364","NNFNPJIH_00582","HECGGPDK_00682","KFNBBHOJ_00054"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"KMJDPIGG_00055","EGKOAKEK_00056","EFNNPMIA_01948","EMDCPPMA_02991","MLOHFGPA_02155","LGNMAAMO_03381","NAFOOFAA_00942","JKFJINKE_01634","NNGIMOCL_03495","OAJCOHFM_00056","FCBEKDAD_02718","ABGDGJIO_02363","NNFNPJIH_00581","HECGGPDK_00681","KFNBBHOJ_00055"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"KMJDPIGG_00080","EGKOAKEK_00081","EFNNPMIA_01923","EMDCPPMA_03016","MLOHFGPA_02180","LGNMAAMO_03406","NAFOOFAA_00967","JKFJINKE_01609","NNGIMOCL_03520","OAJCOHFM_00081","FCBEKDAD_02693","ABGDGJIO_02338","NNFNPJIH_00556","HECGGPDK_00656","KFNBBHOJ_00080"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"KMJDPIGG_00081","EGKOAKEK_00082","EFNNPMIA_01922","EMDCPPMA_03017","MLOHFGPA_02181","LGNMAAMO_03407","NAFOOFAA_00968","JKFJINKE_01608","NNGIMOCL_03521","OAJCOHFM_00082","FCBEKDAD_02692","ABGDGJIO_02337","NNFNPJIH_00555","HECGGPDK_00655","KFNBBHOJ_00081"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"KMJDPIGG_00082","EGKOAKEK_00083","EFNNPMIA_01921","EMDCPPMA_03018","MLOHFGPA_02182","LGNMAAMO_03408","NAFOOFAA_00969","JKFJINKE_01607","NNGIMOCL_03522","OAJCOHFM_00083","FCBEKDAD_02691","ABGDGJIO_02336","NNFNPJIH_00554","HECGGPDK_00654","KFNBBHOJ_00082"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"KMJDPIGG_00097","EGKOAKEK_00098","EFNNPMIA_01906","EMDCPPMA_03033","MLOHFGPA_02197","LGNMAAMO_03054","NAFOOFAA_00984","JKFJINKE_02176","NNGIMOCL_03537","OAJCOHFM_00098","FCBEKDAD_03967","ABGDGJIO_02321","NNFNPJIH_00539","HECGGPDK_00639","KFNBBHOJ_00097"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"KMJDPIGG_00107","EGKOAKEK_00108","EFNNPMIA_01896","EMDCPPMA_03043","MLOHFGPA_02207","LGNMAAMO_03044","NAFOOFAA_00994","JKFJINKE_02186","NNGIMOCL_03547","OAJCOHFM_00108","FCBEKDAD_03977","ABGDGJIO_02311","NNFNPJIH_00529","HECGGPDK_00629","KFNBBHOJ_00107"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"KMJDPIGG_00109","EGKOAKEK_00110","EFNNPMIA_01894","EMDCPPMA_03045","MLOHFGPA_02209","LGNMAAMO_03042","NAFOOFAA_00996","JKFJINKE_02188","NNGIMOCL_03549","OAJCOHFM_00110","FCBEKDAD_03979","ABGDGJIO_02309","NNFNPJIH_00527","HECGGPDK_00627","KFNBBHOJ_00109"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"KMJDPIGG_00134","EGKOAKEK_00135","EFNNPMIA_01869","EMDCPPMA_01567","MLOHFGPA_01041","LGNMAAMO_03017","NAFOOFAA_01021","JKFJINKE_02213","NNGIMOCL_04638","OAJCOHFM_00135","FCBEKDAD_04350","ABGDGJIO_02284","NNFNPJIH_00502","HECGGPDK_00602","KFNBBHOJ_00134"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"KMJDPIGG_00138","EGKOAKEK_00139","EFNNPMIA_01865","EMDCPPMA_01571","MLOHFGPA_01037","LGNMAAMO_03013","NAFOOFAA_01025","JKFJINKE_02217","NNGIMOCL_04642","OAJCOHFM_00139","FCBEKDAD_04346","ABGDGJIO_02280","NNFNPJIH_00498","HECGGPDK_00598","KFNBBHOJ_00138"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"KMJDPIGG_00148","EGKOAKEK_00149","EFNNPMIA_01855","EMDCPPMA_01581","MLOHFGPA_01027","LGNMAAMO_03858","NAFOOFAA_01035","JKFJINKE_01325","NNGIMOCL_02190","OAJCOHFM_00149","FCBEKDAD_03629","ABGDGJIO_02270","NNFNPJIH_00488","HECGGPDK_00588","KFNBBHOJ_00148"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"KMJDPIGG_00149","EGKOAKEK_00150","EFNNPMIA_01854","EMDCPPMA_01582","MLOHFGPA_01026","LGNMAAMO_03859","NAFOOFAA_01036","JKFJINKE_01324","NNGIMOCL_02191","OAJCOHFM_00150","FCBEKDAD_03628","ABGDGJIO_02269","NNFNPJIH_00487","HECGGPDK_00587","KFNBBHOJ_00149"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"KMJDPIGG_00168","EGKOAKEK_00169","EFNNPMIA_01835","EMDCPPMA_01601","MLOHFGPA_01007","LGNMAAMO_03878","NAFOOFAA_01055","JKFJINKE_01305","NNGIMOCL_02210","OAJCOHFM_00169","FCBEKDAD_03609","ABGDGJIO_02250","NNFNPJIH_00468","HECGGPDK_00568","KFNBBHOJ_00168"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"KMJDPIGG_00183","EGKOAKEK_00184","EFNNPMIA_01820","EMDCPPMA_01616","MLOHFGPA_00992","LGNMAAMO_03781","NAFOOFAA_01071","JKFJINKE_01290","NNGIMOCL_02225","OAJCOHFM_00184","FCBEKDAD_04042","ABGDGJIO_02235","NNFNPJIH_00453","HECGGPDK_00553","KFNBBHOJ_00183"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"KMJDPIGG_00197","EGKOAKEK_00198","EFNNPMIA_01806","EMDCPPMA_01630","MLOHFGPA_00978","LGNMAAMO_03767","NAFOOFAA_01085","JKFJINKE_01276","NNGIMOCL_02239","OAJCOHFM_00198","FCBEKDAD_04056","ABGDGJIO_02221","NNFNPJIH_00439","HECGGPDK_00539","KFNBBHOJ_00197"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"KMJDPIGG_00209","EGKOAKEK_00210","EFNNPMIA_01794","EMDCPPMA_01642","MLOHFGPA_00966","LGNMAAMO_03755","NAFOOFAA_01097","JKFJINKE_01264","NNGIMOCL_02251","OAJCOHFM_00210","FCBEKDAD_03341","ABGDGJIO_02209","NNFNPJIH_00427","HECGGPDK_00526","KFNBBHOJ_00209"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"KMJDPIGG_00215","EGKOAKEK_00216","EFNNPMIA_01788","EMDCPPMA_01648","MLOHFGPA_00960","LGNMAAMO_03949","NAFOOFAA_01103","JKFJINKE_01258","NNGIMOCL_02257","OAJCOHFM_00216","FCBEKDAD_03335","ABGDGJIO_02203","NNFNPJIH_00421","HECGGPDK_00520","KFNBBHOJ_00215"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"KMJDPIGG_00216","EGKOAKEK_00217","EFNNPMIA_01787","EMDCPPMA_01649","MLOHFGPA_00959","LGNMAAMO_03948","NAFOOFAA_01104","JKFJINKE_01257","NNGIMOCL_02258","OAJCOHFM_00217","FCBEKDAD_03334","ABGDGJIO_02202","NNFNPJIH_00420","HECGGPDK_00519","KFNBBHOJ_00216"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"KMJDPIGG_00219","EGKOAKEK_00220","EFNNPMIA_01784","EMDCPPMA_01652","MLOHFGPA_00956","LGNMAAMO_03945","NAFOOFAA_01107","JKFJINKE_01254","NNGIMOCL_02261","OAJCOHFM_00220","FCBEKDAD_03331","ABGDGJIO_02199","NNFNPJIH_00417","HECGGPDK_00516","KFNBBHOJ_00219"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"KMJDPIGG_00225","EGKOAKEK_00226","EFNNPMIA_01778","EMDCPPMA_01658","MLOHFGPA_00950","LGNMAAMO_03939","NAFOOFAA_01113","JKFJINKE_04164","NNGIMOCL_02267","OAJCOHFM_00226","FCBEKDAD_03325","ABGDGJIO_02193","NNFNPJIH_00411","HECGGPDK_00510","KFNBBHOJ_00225"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"KMJDPIGG_00226","EGKOAKEK_00227","EFNNPMIA_01777","EMDCPPMA_01659","MLOHFGPA_00949","LGNMAAMO_03938","NAFOOFAA_01114","JKFJINKE_04165","NNGIMOCL_02268","OAJCOHFM_00227","FCBEKDAD_03324","ABGDGJIO_02192","NNFNPJIH_00410","HECGGPDK_00509","KFNBBHOJ_00226"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"KMJDPIGG_00356","EGKOAKEK_00357","EFNNPMIA_01647","EMDCPPMA_02895","MLOHFGPA_02336","LGNMAAMO_02171","NAFOOFAA_01180","JKFJINKE_01703","NNGIMOCL_02398","OAJCOHFM_00357","FCBEKDAD_01810","ABGDGJIO_02062","NNFNPJIH_00280","HECGGPDK_00379","KFNBBHOJ_00356"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"KMJDPIGG_00357","EGKOAKEK_00358","EFNNPMIA_01646","EMDCPPMA_02894","MLOHFGPA_02337","LGNMAAMO_02170","NAFOOFAA_01179","JKFJINKE_01704","NNGIMOCL_02399","OAJCOHFM_00358","FCBEKDAD_01811","ABGDGJIO_02061","NNFNPJIH_00279","HECGGPDK_00378","KFNBBHOJ_00357"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"KMJDPIGG_00360","EGKOAKEK_00361","EFNNPMIA_01643","EMDCPPMA_02891","MLOHFGPA_02340","LGNMAAMO_02167","NAFOOFAA_01176","JKFJINKE_01707","NNGIMOCL_02402","OAJCOHFM_00361","FCBEKDAD_01814","ABGDGJIO_02058","NNFNPJIH_00276","HECGGPDK_00375","KFNBBHOJ_00360"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"KMJDPIGG_00362","EGKOAKEK_00363","EFNNPMIA_01641","EMDCPPMA_02889","MLOHFGPA_02342","LGNMAAMO_02165","NAFOOFAA_01174","JKFJINKE_01709","NNGIMOCL_02404","OAJCOHFM_00363","FCBEKDAD_01816","ABGDGJIO_02056","NNFNPJIH_00274","HECGGPDK_00373","KFNBBHOJ_00362"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"KMJDPIGG_00367","EGKOAKEK_00368","EFNNPMIA_01636","EMDCPPMA_02884","MLOHFGPA_02347","LGNMAAMO_02160","NAFOOFAA_01169","JKFJINKE_01714","NNGIMOCL_02409","OAJCOHFM_00368","FCBEKDAD_01821","ABGDGJIO_02051","NNFNPJIH_00269","HECGGPDK_00368","KFNBBHOJ_00367"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"KMJDPIGG_00405","EGKOAKEK_00406","EFNNPMIA_01598","EMDCPPMA_02846","MLOHFGPA_02385","LGNMAAMO_04430","NAFOOFAA_01131","JKFJINKE_02703","NNGIMOCL_02447","OAJCOHFM_00406","FCBEKDAD_01859","ABGDGJIO_02013","NNFNPJIH_00231","HECGGPDK_00330","KFNBBHOJ_00405"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"KMJDPIGG_00412","EGKOAKEK_00413","EFNNPMIA_03064","EMDCPPMA_00006","MLOHFGPA_02392","LGNMAAMO_01038","NAFOOFAA_00643","JKFJINKE_02696","NNGIMOCL_01003","OAJCOHFM_00413","FCBEKDAD_03638","ABGDGJIO_03142","NNFNPJIH_00224","HECGGPDK_00323","KFNBBHOJ_00412"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"KMJDPIGG_00422","EGKOAKEK_00423","EFNNPMIA_03074","EMDCPPMA_00016","MLOHFGPA_02402","LGNMAAMO_01048","NAFOOFAA_00633","JKFJINKE_02686","NNGIMOCL_01013","OAJCOHFM_00423","FCBEKDAD_03648","ABGDGJIO_03152","NNFNPJIH_00214","HECGGPDK_00313","KFNBBHOJ_00422"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"KMJDPIGG_00429","EGKOAKEK_00430","EFNNPMIA_03081","EMDCPPMA_00023","MLOHFGPA_02409","LGNMAAMO_01055","NAFOOFAA_00626","JKFJINKE_02679","NNGIMOCL_01020","OAJCOHFM_00430","FCBEKDAD_03655","ABGDGJIO_03159","NNFNPJIH_00207","HECGGPDK_00306","KFNBBHOJ_00429"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"KMJDPIGG_00437","EGKOAKEK_00438","EFNNPMIA_03089","EMDCPPMA_00031","MLOHFGPA_02417","LGNMAAMO_01063","NAFOOFAA_00618","JKFJINKE_02671","NNGIMOCL_01028","OAJCOHFM_00438","FCBEKDAD_03663","ABGDGJIO_03167","NNFNPJIH_00199","HECGGPDK_00298","KFNBBHOJ_00437"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"KMJDPIGG_00473","EGKOAKEK_00474","EFNNPMIA_03125","EMDCPPMA_00067","MLOHFGPA_03403","LGNMAAMO_01099","NAFOOFAA_00582","JKFJINKE_01834","NNGIMOCL_01064","OAJCOHFM_00474","FCBEKDAD_00306","ABGDGJIO_03203","NNFNPJIH_00163","HECGGPDK_00262","KFNBBHOJ_00473"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"KMJDPIGG_00503","EGKOAKEK_00504","EFNNPMIA_03155","EMDCPPMA_00097","MLOHFGPA_03373","LGNMAAMO_01129","NAFOOFAA_00552","JKFJINKE_01864","NNGIMOCL_01094","OAJCOHFM_00504","FCBEKDAD_00276","ABGDGJIO_03233","NNFNPJIH_00133","HECGGPDK_00232","KFNBBHOJ_00503"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"KMJDPIGG_00509","EGKOAKEK_00510","EFNNPMIA_03161","EMDCPPMA_00103","MLOHFGPA_03367","LGNMAAMO_01135","NAFOOFAA_00546","JKFJINKE_01870","NNGIMOCL_01100","OAJCOHFM_00510","FCBEKDAD_00270","ABGDGJIO_03239","NNFNPJIH_00127","HECGGPDK_00226","KFNBBHOJ_00509"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"KMJDPIGG_00510","EGKOAKEK_00511","EFNNPMIA_03162","EMDCPPMA_00104","MLOHFGPA_03366","LGNMAAMO_01136","NAFOOFAA_00545","JKFJINKE_01871","NNGIMOCL_01101","OAJCOHFM_00511","FCBEKDAD_00269","ABGDGJIO_03240","NNFNPJIH_00126","HECGGPDK_00225","KFNBBHOJ_00510"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"KMJDPIGG_00541","EGKOAKEK_00542","EFNNPMIA_03194","EMDCPPMA_00135","MLOHFGPA_01262","LGNMAAMO_01166","NAFOOFAA_00515","JKFJINKE_01096","NNGIMOCL_01132","OAJCOHFM_00542","FCBEKDAD_00239","ABGDGJIO_03271","NNFNPJIH_00095","HECGGPDK_00194","KFNBBHOJ_00541"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"KMJDPIGG_00543","EGKOAKEK_00544","EFNNPMIA_03196","EMDCPPMA_00137","MLOHFGPA_01260","LGNMAAMO_03114","NAFOOFAA_00513","JKFJINKE_01098","NNGIMOCL_01134","OAJCOHFM_00544","FCBEKDAD_00237","ABGDGJIO_03273","NNFNPJIH_00093","HECGGPDK_00192","KFNBBHOJ_00543"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"KMJDPIGG_00549","EGKOAKEK_00550","EFNNPMIA_03202","EMDCPPMA_00143","MLOHFGPA_01254","LGNMAAMO_03108","NAFOOFAA_00507","JKFJINKE_01104","NNGIMOCL_01140","OAJCOHFM_00550","FCBEKDAD_00231","ABGDGJIO_03279","NNFNPJIH_00087","HECGGPDK_00186","KFNBBHOJ_00549"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"KMJDPIGG_00556","EGKOAKEK_00557","EFNNPMIA_03209","EMDCPPMA_00150","MLOHFGPA_01247","LGNMAAMO_03101","NAFOOFAA_00500","JKFJINKE_01111","NNGIMOCL_01147","OAJCOHFM_00557","FCBEKDAD_00224","ABGDGJIO_03286","NNFNPJIH_00080","HECGGPDK_00179","KFNBBHOJ_00556"
