"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR28323378","SRR14766402","SRR14272156","SRR2994392","SRR10037224","SRR15146530","SRR28323368","SRR5883578","SRR15096242","SRR14766400","SRR14766442","SRR10257879","NDSU18","SRR28412156","SRR3000892"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"KHLHGNPO_04579","IEMKGCAE_04503","HKKILDPC_04527","FBFFAOJI_04500","EDINNCHB_04615","MNLBAKIA_04514","FCMCIBEK_04581","DGJMLPEB_04480","PKPKCGOC_04572","NBOJOKHD_04534","GBDLBGEF_03923","OBCHFKCE_04538","IELCNDCB_04660","HIAOCFAH_04522","FDCFMIMA_04636"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"KHLHGNPO_01977","IEMKGCAE_00597","HKKILDPC_00074","FBFFAOJI_01875","EDINNCHB_01354","MNLBAKIA_00596","FCMCIBEK_00818","DGJMLPEB_03925","PKPKCGOC_01346","NBOJOKHD_00073","GBDLBGEF_03746","OBCHFKCE_02674","IELCNDCB_02192","HIAOCFAH_01336","FDCFMIMA_00074"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"KHLHGNPO_00008","IEMKGCAE_02320","HKKILDPC_01161","FBFFAOJI_02723","EDINNCHB_02384","MNLBAKIA_01162","FCMCIBEK_01864","DGJMLPEB_00574","PKPKCGOC_02342","NBOJOKHD_01105","GBDLBGEF_02576","OBCHFKCE_03323","IELCNDCB_01072","HIAOCFAH_02333","FDCFMIMA_03250"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"KHLHGNPO_02080","IEMKGCAE_00494","HKKILDPC_00177","FBFFAOJI_01978","EDINNCHB_01457","MNLBAKIA_00493","FCMCIBEK_00921","DGJMLPEB_00075","PKPKCGOC_01243","NBOJOKHD_00176","GBDLBGEF_01814","OBCHFKCE_03882","IELCNDCB_02089","HIAOCFAH_01233","FDCFMIMA_00177"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"KHLHGNPO_00491","IEMKGCAE_03647","HKKILDPC_02059","FBFFAOJI_00361","EDINNCHB_00591","MNLBAKIA_01957","FCMCIBEK_00048","DGJMLPEB_02537","PKPKCGOC_00048","NBOJOKHD_01159","GBDLBGEF_03260","OBCHFKCE_04115","IELCNDCB_00976","HIAOCFAH_00696","FDCFMIMA_01442"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"KHLHGNPO_00495","IEMKGCAE_03651","HKKILDPC_02063","FBFFAOJI_00357","EDINNCHB_00595","MNLBAKIA_01953","FCMCIBEK_00052","DGJMLPEB_02541","PKPKCGOC_00052","NBOJOKHD_01163","GBDLBGEF_03256","OBCHFKCE_04111","IELCNDCB_00972","HIAOCFAH_00692","FDCFMIMA_01438"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"KHLHGNPO_00498","IEMKGCAE_03654","HKKILDPC_02066","FBFFAOJI_00354","EDINNCHB_00598","MNLBAKIA_01950","FCMCIBEK_00055","DGJMLPEB_02544","PKPKCGOC_00055","NBOJOKHD_01166","GBDLBGEF_03253","OBCHFKCE_04108","IELCNDCB_00969","HIAOCFAH_00689","FDCFMIMA_01435"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"KHLHGNPO_00499","IEMKGCAE_03655","HKKILDPC_02067","FBFFAOJI_00353","EDINNCHB_00599","MNLBAKIA_01949","FCMCIBEK_00056","DGJMLPEB_02545","PKPKCGOC_00056","NBOJOKHD_01167","GBDLBGEF_03252","OBCHFKCE_04107","IELCNDCB_00968","HIAOCFAH_00688","FDCFMIMA_01434"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"KHLHGNPO_00524","IEMKGCAE_03680","HKKILDPC_02092","FBFFAOJI_00328","EDINNCHB_00624","MNLBAKIA_01924","FCMCIBEK_00081","DGJMLPEB_02570","PKPKCGOC_00081","NBOJOKHD_01192","GBDLBGEF_03227","OBCHFKCE_04082","IELCNDCB_00943","HIAOCFAH_00663","FDCFMIMA_01409"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"KHLHGNPO_00525","IEMKGCAE_03681","HKKILDPC_02093","FBFFAOJI_00327","EDINNCHB_00625","MNLBAKIA_01923","FCMCIBEK_00082","DGJMLPEB_02571","PKPKCGOC_00082","NBOJOKHD_01193","GBDLBGEF_03226","OBCHFKCE_04081","IELCNDCB_00942","HIAOCFAH_00662","FDCFMIMA_01408"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"KHLHGNPO_00526","IEMKGCAE_03682","HKKILDPC_02094","FBFFAOJI_00326","EDINNCHB_00626","MNLBAKIA_01922","FCMCIBEK_00083","DGJMLPEB_02572","PKPKCGOC_00083","NBOJOKHD_01194","GBDLBGEF_03225","OBCHFKCE_04080","IELCNDCB_00941","HIAOCFAH_00661","FDCFMIMA_01407"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"KHLHGNPO_00541","IEMKGCAE_03697","HKKILDPC_02109","FBFFAOJI_00310","EDINNCHB_00641","MNLBAKIA_01907","FCMCIBEK_00098","DGJMLPEB_02587","PKPKCGOC_00098","NBOJOKHD_01209","GBDLBGEF_04340","OBCHFKCE_02325","IELCNDCB_00926","HIAOCFAH_00646","FDCFMIMA_01392"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"KHLHGNPO_00551","IEMKGCAE_03707","HKKILDPC_02119","FBFFAOJI_00300","EDINNCHB_00651","MNLBAKIA_01897","FCMCIBEK_00108","DGJMLPEB_02597","PKPKCGOC_00108","NBOJOKHD_01219","GBDLBGEF_04350","OBCHFKCE_02315","IELCNDCB_00916","HIAOCFAH_00636","FDCFMIMA_01382"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"KHLHGNPO_00553","IEMKGCAE_03709","HKKILDPC_02121","FBFFAOJI_00298","EDINNCHB_00653","MNLBAKIA_01895","FCMCIBEK_00110","DGJMLPEB_02599","PKPKCGOC_00110","NBOJOKHD_01221","GBDLBGEF_03009","OBCHFKCE_02313","IELCNDCB_00914","HIAOCFAH_00634","FDCFMIMA_01380"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"KHLHGNPO_00578","IEMKGCAE_02600","HKKILDPC_02146","FBFFAOJI_00273","EDINNCHB_00678","MNLBAKIA_01870","FCMCIBEK_00135","DGJMLPEB_02624","PKPKCGOC_00135","NBOJOKHD_01246","GBDLBGEF_02984","OBCHFKCE_02288","IELCNDCB_00889","HIAOCFAH_00609","FDCFMIMA_01355"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"KHLHGNPO_00582","IEMKGCAE_02596","HKKILDPC_02150","FBFFAOJI_00269","EDINNCHB_00682","MNLBAKIA_01866","FCMCIBEK_00139","DGJMLPEB_02628","PKPKCGOC_00139","NBOJOKHD_01250","GBDLBGEF_02980","OBCHFKCE_02284","IELCNDCB_00885","HIAOCFAH_00605","FDCFMIMA_01351"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"KHLHGNPO_00592","IEMKGCAE_02586","HKKILDPC_02160","FBFFAOJI_00259","EDINNCHB_00692","MNLBAKIA_01856","FCMCIBEK_00149","DGJMLPEB_02638","PKPKCGOC_00149","NBOJOKHD_01260","GBDLBGEF_02970","OBCHFKCE_02274","IELCNDCB_00875","HIAOCFAH_00595","FDCFMIMA_01341"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"KHLHGNPO_00593","IEMKGCAE_02585","HKKILDPC_02161","FBFFAOJI_00258","EDINNCHB_00693","MNLBAKIA_01855","FCMCIBEK_00150","DGJMLPEB_02639","PKPKCGOC_00150","NBOJOKHD_01261","GBDLBGEF_02969","OBCHFKCE_02273","IELCNDCB_00874","HIAOCFAH_00594","FDCFMIMA_01340"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"KHLHGNPO_00612","IEMKGCAE_02566","HKKILDPC_02180","FBFFAOJI_00239","EDINNCHB_00712","MNLBAKIA_01836","FCMCIBEK_00169","DGJMLPEB_02658","PKPKCGOC_00169","NBOJOKHD_01280","GBDLBGEF_01866","OBCHFKCE_02254","IELCNDCB_00855","HIAOCFAH_00575","FDCFMIMA_01321"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"KHLHGNPO_00627","IEMKGCAE_02551","HKKILDPC_02195","FBFFAOJI_00224","EDINNCHB_00727","MNLBAKIA_01821","FCMCIBEK_00184","DGJMLPEB_02673","PKPKCGOC_00184","NBOJOKHD_01295","GBDLBGEF_01881","OBCHFKCE_02239","IELCNDCB_00840","HIAOCFAH_00560","FDCFMIMA_01306"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"KHLHGNPO_00641","IEMKGCAE_02537","HKKILDPC_02209","FBFFAOJI_00210","EDINNCHB_00741","MNLBAKIA_01807","FCMCIBEK_00198","DGJMLPEB_02687","PKPKCGOC_00198","NBOJOKHD_01309","GBDLBGEF_01895","OBCHFKCE_02225","IELCNDCB_00826","HIAOCFAH_00546","FDCFMIMA_01292"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"KHLHGNPO_00653","IEMKGCAE_02525","HKKILDPC_02221","FBFFAOJI_00198","EDINNCHB_00753","MNLBAKIA_01795","FCMCIBEK_00210","DGJMLPEB_02699","PKPKCGOC_00210","NBOJOKHD_01321","GBDLBGEF_01907","OBCHFKCE_02213","IELCNDCB_00814","HIAOCFAH_00534","FDCFMIMA_01280"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"KHLHGNPO_00659","IEMKGCAE_02519","HKKILDPC_02227","FBFFAOJI_00192","EDINNCHB_00759","MNLBAKIA_01789","FCMCIBEK_00216","DGJMLPEB_02705","PKPKCGOC_00216","NBOJOKHD_01327","GBDLBGEF_01913","OBCHFKCE_02207","IELCNDCB_00808","HIAOCFAH_00528","FDCFMIMA_01274"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"KHLHGNPO_00660","IEMKGCAE_02518","HKKILDPC_02228","FBFFAOJI_00191","EDINNCHB_00760","MNLBAKIA_01788","FCMCIBEK_00217","DGJMLPEB_02706","PKPKCGOC_00217","NBOJOKHD_01328","GBDLBGEF_01914","OBCHFKCE_02206","IELCNDCB_00807","HIAOCFAH_00527","FDCFMIMA_01273"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"KHLHGNPO_00663","IEMKGCAE_02515","HKKILDPC_02231","FBFFAOJI_00188","EDINNCHB_00763","MNLBAKIA_01785","FCMCIBEK_00220","DGJMLPEB_02709","PKPKCGOC_00220","NBOJOKHD_01331","GBDLBGEF_01917","OBCHFKCE_02203","IELCNDCB_00804","HIAOCFAH_00524","FDCFMIMA_01270"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"KHLHGNPO_00669","IEMKGCAE_02509","HKKILDPC_02237","FBFFAOJI_00182","EDINNCHB_00769","MNLBAKIA_01779","FCMCIBEK_00226","DGJMLPEB_02715","PKPKCGOC_00226","NBOJOKHD_01337","GBDLBGEF_01923","OBCHFKCE_02197","IELCNDCB_00798","HIAOCFAH_00518","FDCFMIMA_01264"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"KHLHGNPO_00670","IEMKGCAE_02508","HKKILDPC_02238","FBFFAOJI_00181","EDINNCHB_00770","MNLBAKIA_01778","FCMCIBEK_00227","DGJMLPEB_02716","PKPKCGOC_00227","NBOJOKHD_01338","GBDLBGEF_01924","OBCHFKCE_02196","IELCNDCB_00797","HIAOCFAH_00517","FDCFMIMA_01263"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"KHLHGNPO_00789","IEMKGCAE_02378","HKKILDPC_02368","FBFFAOJI_00051","EDINNCHB_00890","MNLBAKIA_01648","FCMCIBEK_00357","DGJMLPEB_03675","PKPKCGOC_00357","NBOJOKHD_01468","GBDLBGEF_01983","OBCHFKCE_01814","IELCNDCB_00667","HIAOCFAH_00387","FDCFMIMA_01133"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"KHLHGNPO_00790","IEMKGCAE_02377","HKKILDPC_02369","FBFFAOJI_00050","EDINNCHB_00891","MNLBAKIA_01647","FCMCIBEK_00358","DGJMLPEB_03676","PKPKCGOC_00358","NBOJOKHD_01469","GBDLBGEF_01984","OBCHFKCE_01815","IELCNDCB_00666","HIAOCFAH_00386","FDCFMIMA_01132"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"KHLHGNPO_00793","IEMKGCAE_02374","HKKILDPC_02372","FBFFAOJI_00047","EDINNCHB_00894","MNLBAKIA_01644","FCMCIBEK_00361","DGJMLPEB_03679","PKPKCGOC_00361","NBOJOKHD_01472","GBDLBGEF_01987","OBCHFKCE_01818","IELCNDCB_00663","HIAOCFAH_00383","FDCFMIMA_01129"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"KHLHGNPO_00795","IEMKGCAE_02372","HKKILDPC_02374","FBFFAOJI_00045","EDINNCHB_00896","MNLBAKIA_01642","FCMCIBEK_00363","DGJMLPEB_03681","PKPKCGOC_00363","NBOJOKHD_01474","GBDLBGEF_01989","OBCHFKCE_01820","IELCNDCB_00661","HIAOCFAH_00381","FDCFMIMA_01127"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"KHLHGNPO_00800","IEMKGCAE_02367","HKKILDPC_02379","FBFFAOJI_00040","EDINNCHB_00901","MNLBAKIA_01637","FCMCIBEK_00368","DGJMLPEB_03686","PKPKCGOC_00368","NBOJOKHD_01479","GBDLBGEF_01994","OBCHFKCE_01825","IELCNDCB_00656","HIAOCFAH_00376","FDCFMIMA_01122"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"KHLHGNPO_00838","IEMKGCAE_02329","HKKILDPC_02417","FBFFAOJI_00002","EDINNCHB_00939","MNLBAKIA_01599","FCMCIBEK_00406","DGJMLPEB_03724","PKPKCGOC_00406","NBOJOKHD_01517","GBDLBGEF_04439","OBCHFKCE_01863","IELCNDCB_00618","HIAOCFAH_00338","FDCFMIMA_01084"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"KHLHGNPO_03999","IEMKGCAE_01726","HKKILDPC_03112","FBFFAOJI_03857","EDINNCHB_00946","MNLBAKIA_03063","FCMCIBEK_00413","DGJMLPEB_02485","PKPKCGOC_00413","NBOJOKHD_03665","GBDLBGEF_00438","OBCHFKCE_01518","IELCNDCB_00611","HIAOCFAH_00331","FDCFMIMA_02924"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"KHLHGNPO_03989","IEMKGCAE_01736","HKKILDPC_03122","FBFFAOJI_03867","EDINNCHB_00956","MNLBAKIA_03073","FCMCIBEK_00423","DGJMLPEB_02475","PKPKCGOC_00423","NBOJOKHD_03655","GBDLBGEF_00428","OBCHFKCE_01508","IELCNDCB_00601","HIAOCFAH_00321","FDCFMIMA_02914"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"KHLHGNPO_03982","IEMKGCAE_01743","HKKILDPC_03129","FBFFAOJI_03874","EDINNCHB_00963","MNLBAKIA_03080","FCMCIBEK_00430","DGJMLPEB_02468","PKPKCGOC_00430","NBOJOKHD_03648","GBDLBGEF_00421","OBCHFKCE_01501","IELCNDCB_00594","HIAOCFAH_00314","FDCFMIMA_02907"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"KHLHGNPO_03974","IEMKGCAE_01751","HKKILDPC_03137","FBFFAOJI_03882","EDINNCHB_00971","MNLBAKIA_03088","FCMCIBEK_00438","DGJMLPEB_02460","PKPKCGOC_00438","NBOJOKHD_03640","GBDLBGEF_00413","OBCHFKCE_01493","IELCNDCB_00586","HIAOCFAH_00306","FDCFMIMA_02899"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"KHLHGNPO_03938","IEMKGCAE_01787","HKKILDPC_03173","FBFFAOJI_03918","EDINNCHB_01007","MNLBAKIA_03124","FCMCIBEK_00474","DGJMLPEB_02424","PKPKCGOC_00474","NBOJOKHD_03604","GBDLBGEF_00377","OBCHFKCE_01457","IELCNDCB_02804","HIAOCFAH_00270","FDCFMIMA_02863"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"KHLHGNPO_03908","IEMKGCAE_01817","HKKILDPC_03203","FBFFAOJI_03948","EDINNCHB_01037","MNLBAKIA_03154","FCMCIBEK_00504","DGJMLPEB_02394","PKPKCGOC_00504","NBOJOKHD_03574","GBDLBGEF_00347","OBCHFKCE_01427","IELCNDCB_02774","HIAOCFAH_00240","FDCFMIMA_02833"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"KHLHGNPO_03902","IEMKGCAE_01823","HKKILDPC_03209","FBFFAOJI_03954","EDINNCHB_01043","MNLBAKIA_03160","FCMCIBEK_00510","DGJMLPEB_02388","PKPKCGOC_00510","NBOJOKHD_03568","GBDLBGEF_00341","OBCHFKCE_01421","IELCNDCB_02768","HIAOCFAH_00234","FDCFMIMA_02827"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"KHLHGNPO_03901","IEMKGCAE_01824","HKKILDPC_03210","FBFFAOJI_03955","EDINNCHB_01044","MNLBAKIA_03161","FCMCIBEK_00511","DGJMLPEB_02387","PKPKCGOC_00511","NBOJOKHD_03567","GBDLBGEF_00340","OBCHFKCE_01420","IELCNDCB_02767","HIAOCFAH_00233","FDCFMIMA_02826"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"KHLHGNPO_03335","IEMKGCAE_01855","HKKILDPC_03241","FBFFAOJI_03357","EDINNCHB_01075","MNLBAKIA_03192","FCMCIBEK_00542","DGJMLPEB_02356","PKPKCGOC_00542","NBOJOKHD_03959","GBDLBGEF_00309","OBCHFKCE_01389","IELCNDCB_02736","HIAOCFAH_00203","FDCFMIMA_02795"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"KHLHGNPO_03337","IEMKGCAE_01857","HKKILDPC_03243","FBFFAOJI_03359","EDINNCHB_01077","MNLBAKIA_03194","FCMCIBEK_00544","DGJMLPEB_02354","PKPKCGOC_00544","NBOJOKHD_03957","GBDLBGEF_00307","OBCHFKCE_01387","IELCNDCB_02734","HIAOCFAH_00201","FDCFMIMA_02793"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"KHLHGNPO_03343","IEMKGCAE_01863","HKKILDPC_03249","FBFFAOJI_03365","EDINNCHB_01083","MNLBAKIA_03200","FCMCIBEK_00550","DGJMLPEB_02348","PKPKCGOC_00550","NBOJOKHD_03951","GBDLBGEF_00301","OBCHFKCE_01381","IELCNDCB_02728","HIAOCFAH_00195","FDCFMIMA_02787"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"KHLHGNPO_03350","IEMKGCAE_01870","HKKILDPC_03256","FBFFAOJI_03372","EDINNCHB_01090","MNLBAKIA_03207","FCMCIBEK_00557","DGJMLPEB_02341","PKPKCGOC_00557","NBOJOKHD_03944","GBDLBGEF_00294","OBCHFKCE_01374","IELCNDCB_02721","HIAOCFAH_00188","FDCFMIMA_02780"
