"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR10084895","SRR6475644","SRR10298208","SRR9694200","SRR14766409","SRR2102508","SRR5904974","SRR7011962","NDSU4","SRR15146548","SRR14766432","SRR2077395","SRR14766337","SRR5883586","SRR1578511"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"AIHABEGN_04548","JMHMHBON_04475","MOBEGOEH_04451","GDOIKAKM_04481","MPAHEGDA_04076","PEGBKDIG_04402","EDAOGEGO_04479","KOJFNNPD_04549","MLOHFGPA_03952","EGKOAKEK_04414","MHLDJHJA_04103","CKEGPAKG_04090","FHGKKJNF_03105","PKILBCIH_04468","EJOKNHIB_04594"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"AIHABEGN_04551","JMHMHBON_04478","MOBEGOEH_04448","GDOIKAKM_04484","MPAHEGDA_04079","PEGBKDIG_04399","EDAOGEGO_04476","KOJFNNPD_04552","MLOHFGPA_03949","EGKOAKEK_04417","MHLDJHJA_04106","CKEGPAKG_04087","FHGKKJNF_03102","PKILBCIH_04465","EJOKNHIB_04597"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"AIHABEGN_04572","JMHMHBON_04499","MOBEGOEH_04427","GDOIKAKM_04505","MPAHEGDA_04100","PEGBKDIG_04378","EDAOGEGO_04455","KOJFNNPD_04573","MLOHFGPA_03928","EGKOAKEK_04438","MHLDJHJA_04127","CKEGPAKG_04066","FHGKKJNF_03081","PKILBCIH_04444","EJOKNHIB_04618"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"AIHABEGN_04519","JMHMHBON_04540","MOBEGOEH_04481","GDOIKAKM_04547","MPAHEGDA_00030","PEGBKDIG_04337","EDAOGEGO_04508","KOJFNNPD_04473","MLOHFGPA_04066","EGKOAKEK_04385","MHLDJHJA_04167","CKEGPAKG_04124","FHGKKJNF_02700","PKILBCIH_04497","EJOKNHIB_04560"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"AIHABEGN_04614","JMHMHBON_04592","MOBEGOEH_04532","GDOIKAKM_04598","MPAHEGDA_04371","PEGBKDIG_04538","EDAOGEGO_04584","KOJFNNPD_04624","MLOHFGPA_04313","EGKOAKEK_04479","MHLDJHJA_04499","CKEGPAKG_04262","FHGKKJNF_04168","PKILBCIH_04611","EJOKNHIB_04714"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"AIHABEGN_00074","JMHMHBON_01340","MOBEGOEH_00073","GDOIKAKM_00073","MPAHEGDA_03456","PEGBKDIG_00962","EDAOGEGO_03083","KOJFNNPD_00596","MLOHFGPA_01351","EGKOAKEK_01339","MHLDJHJA_00248","CKEGPAKG_02967","FHGKKJNF_00850","PKILBCIH_02775","EJOKNHIB_00818"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"AIHABEGN_01161","JMHMHBON_01848","MOBEGOEH_01161","GDOIKAKM_01161","MPAHEGDA_04559","PEGBKDIG_01614","EDAOGEGO_00437","KOJFNNPD_04384","MLOHFGPA_03032","EGKOAKEK_01905","MHLDJHJA_03754","CKEGPAKG_03840","FHGKKJNF_04002","PKILBCIH_00008","EJOKNHIB_01905"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"AIHABEGN_00177","JMHMHBON_01237","MOBEGOEH_00177","GDOIKAKM_00176","MPAHEGDA_03950","PEGBKDIG_00859","EDAOGEGO_02980","KOJFNNPD_00493","MLOHFGPA_01454","EGKOAKEK_01236","MHLDJHJA_00145","CKEGPAKG_03213","FHGKKJNF_03838","PKILBCIH_02672","EJOKNHIB_00921"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"AIHABEGN_02370","JMHMHBON_00700","MOBEGOEH_01644","GDOIKAKM_01644","MPAHEGDA_00091","PEGBKDIG_02397","EDAOGEGO_03203","KOJFNNPD_01901","MLOHFGPA_02147","EGKOAKEK_00048","MHLDJHJA_03658","CKEGPAKG_01472","FHGKKJNF_02573","PKILBCIH_00805","EJOKNHIB_00048"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"AIHABEGN_02366","JMHMHBON_00696","MOBEGOEH_01648","GDOIKAKM_01648","MPAHEGDA_00095","PEGBKDIG_02401","EDAOGEGO_03207","KOJFNNPD_01897","MLOHFGPA_02151","EGKOAKEK_00052","MHLDJHJA_03654","CKEGPAKG_01476","FHGKKJNF_02569","PKILBCIH_00801","EJOKNHIB_00052"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"AIHABEGN_02363","JMHMHBON_00693","MOBEGOEH_01651","GDOIKAKM_01651","MPAHEGDA_00098","PEGBKDIG_02404","EDAOGEGO_03210","KOJFNNPD_01894","MLOHFGPA_02154","EGKOAKEK_00055","MHLDJHJA_03651","CKEGPAKG_01479","FHGKKJNF_02566","PKILBCIH_00798","EJOKNHIB_00055"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"AIHABEGN_02362","JMHMHBON_00692","MOBEGOEH_01652","GDOIKAKM_01652","MPAHEGDA_00099","PEGBKDIG_02405","EDAOGEGO_03211","KOJFNNPD_01893","MLOHFGPA_02155","EGKOAKEK_00056","MHLDJHJA_03650","CKEGPAKG_01480","FHGKKJNF_02565","PKILBCIH_00797","EJOKNHIB_00056"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"AIHABEGN_02337","JMHMHBON_00667","MOBEGOEH_01677","GDOIKAKM_01677","MPAHEGDA_00124","PEGBKDIG_02430","EDAOGEGO_03236","KOJFNNPD_01868","MLOHFGPA_02180","EGKOAKEK_00081","MHLDJHJA_03625","CKEGPAKG_01505","FHGKKJNF_02540","PKILBCIH_00772","EJOKNHIB_00081"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"AIHABEGN_02336","JMHMHBON_00666","MOBEGOEH_01678","GDOIKAKM_01678","MPAHEGDA_00125","PEGBKDIG_02431","EDAOGEGO_03237","KOJFNNPD_01867","MLOHFGPA_02181","EGKOAKEK_00082","MHLDJHJA_03624","CKEGPAKG_01506","FHGKKJNF_02539","PKILBCIH_00771","EJOKNHIB_00082"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"AIHABEGN_02335","JMHMHBON_00665","MOBEGOEH_01679","GDOIKAKM_01679","MPAHEGDA_00126","PEGBKDIG_02432","EDAOGEGO_03238","KOJFNNPD_01866","MLOHFGPA_02182","EGKOAKEK_00083","MHLDJHJA_03623","CKEGPAKG_01507","FHGKKJNF_02538","PKILBCIH_00770","EJOKNHIB_00083"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"AIHABEGN_02320","JMHMHBON_00650","MOBEGOEH_01694","GDOIKAKM_01694","MPAHEGDA_00141","PEGBKDIG_02448","EDAOGEGO_03253","KOJFNNPD_01851","MLOHFGPA_02197","EGKOAKEK_00098","MHLDJHJA_00815","CKEGPAKG_01522","FHGKKJNF_02231","PKILBCIH_00754","EJOKNHIB_00099"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"AIHABEGN_02310","JMHMHBON_00640","MOBEGOEH_01704","GDOIKAKM_01704","MPAHEGDA_00151","PEGBKDIG_02458","EDAOGEGO_03263","KOJFNNPD_01841","MLOHFGPA_02207","EGKOAKEK_00108","MHLDJHJA_00825","CKEGPAKG_01532","FHGKKJNF_02221","PKILBCIH_00744","EJOKNHIB_00109"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"AIHABEGN_02308","JMHMHBON_00638","MOBEGOEH_01706","GDOIKAKM_01706","MPAHEGDA_00153","PEGBKDIG_02460","EDAOGEGO_03265","KOJFNNPD_01839","MLOHFGPA_02209","EGKOAKEK_00110","MHLDJHJA_00827","CKEGPAKG_01534","FHGKKJNF_02219","PKILBCIH_00742","EJOKNHIB_00111"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"AIHABEGN_02283","JMHMHBON_00613","MOBEGOEH_01730","GDOIKAKM_01731","MPAHEGDA_00178","PEGBKDIG_02485","EDAOGEGO_03290","KOJFNNPD_01814","MLOHFGPA_01041","EGKOAKEK_00135","MHLDJHJA_00852","CKEGPAKG_01559","FHGKKJNF_02194","PKILBCIH_00717","EJOKNHIB_00136"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"AIHABEGN_02279","JMHMHBON_00609","MOBEGOEH_01734","GDOIKAKM_01735","MPAHEGDA_00182","PEGBKDIG_02489","EDAOGEGO_03294","KOJFNNPD_01810","MLOHFGPA_01037","EGKOAKEK_00139","MHLDJHJA_00856","CKEGPAKG_01563","FHGKKJNF_02190","PKILBCIH_00713","EJOKNHIB_00140"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"AIHABEGN_02269","JMHMHBON_00599","MOBEGOEH_01744","GDOIKAKM_01745","MPAHEGDA_00192","PEGBKDIG_02499","EDAOGEGO_03304","KOJFNNPD_01800","MLOHFGPA_01027","EGKOAKEK_00149","MHLDJHJA_00866","CKEGPAKG_01573","FHGKKJNF_03304","PKILBCIH_00703","EJOKNHIB_00150"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"AIHABEGN_02268","JMHMHBON_00598","MOBEGOEH_01745","GDOIKAKM_01746","MPAHEGDA_00193","PEGBKDIG_02500","EDAOGEGO_03305","KOJFNNPD_01799","MLOHFGPA_01026","EGKOAKEK_00150","MHLDJHJA_00867","CKEGPAKG_01574","FHGKKJNF_03303","PKILBCIH_00702","EJOKNHIB_00151"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"AIHABEGN_02249","JMHMHBON_00579","MOBEGOEH_01764","GDOIKAKM_01765","MPAHEGDA_00212","PEGBKDIG_02519","EDAOGEGO_03324","KOJFNNPD_01780","MLOHFGPA_01007","EGKOAKEK_00169","MHLDJHJA_00886","CKEGPAKG_01593","FHGKKJNF_03284","PKILBCIH_00683","EJOKNHIB_00170"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"AIHABEGN_02234","JMHMHBON_00564","MOBEGOEH_01779","GDOIKAKM_01780","MPAHEGDA_00227","PEGBKDIG_02534","EDAOGEGO_03339","KOJFNNPD_01765","MLOHFGPA_00992","EGKOAKEK_00184","MHLDJHJA_00901","CKEGPAKG_01608","FHGKKJNF_03705","PKILBCIH_00668","EJOKNHIB_00185"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"AIHABEGN_02220","JMHMHBON_00550","MOBEGOEH_01793","GDOIKAKM_01794","MPAHEGDA_00241","PEGBKDIG_02548","EDAOGEGO_03353","KOJFNNPD_01751","MLOHFGPA_00978","EGKOAKEK_00198","MHLDJHJA_00915","CKEGPAKG_01622","FHGKKJNF_03691","PKILBCIH_00654","EJOKNHIB_00199"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"AIHABEGN_02208","JMHMHBON_00538","MOBEGOEH_01805","GDOIKAKM_01806","MPAHEGDA_00253","PEGBKDIG_02560","EDAOGEGO_03365","KOJFNNPD_01739","MLOHFGPA_00966","EGKOAKEK_00210","MHLDJHJA_00927","CKEGPAKG_01634","FHGKKJNF_03236","PKILBCIH_00642","EJOKNHIB_00211"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"AIHABEGN_02202","JMHMHBON_00532","MOBEGOEH_01811","GDOIKAKM_01812","MPAHEGDA_00259","PEGBKDIG_02566","EDAOGEGO_03371","KOJFNNPD_01733","MLOHFGPA_00960","EGKOAKEK_00216","MHLDJHJA_00933","CKEGPAKG_01640","FHGKKJNF_03230","PKILBCIH_00636","EJOKNHIB_00217"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"AIHABEGN_02201","JMHMHBON_00531","MOBEGOEH_01812","GDOIKAKM_01813","MPAHEGDA_00260","PEGBKDIG_02567","EDAOGEGO_03372","KOJFNNPD_01732","MLOHFGPA_00959","EGKOAKEK_00217","MHLDJHJA_00934","CKEGPAKG_01641","FHGKKJNF_03229","PKILBCIH_00635","EJOKNHIB_00218"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"AIHABEGN_02198","JMHMHBON_00528","MOBEGOEH_01815","GDOIKAKM_01816","MPAHEGDA_00263","PEGBKDIG_02570","EDAOGEGO_03375","KOJFNNPD_01729","MLOHFGPA_00956","EGKOAKEK_00220","MHLDJHJA_00937","CKEGPAKG_01644","FHGKKJNF_03226","PKILBCIH_00632","EJOKNHIB_00221"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"AIHABEGN_02192","JMHMHBON_00522","MOBEGOEH_01821","GDOIKAKM_01822","MPAHEGDA_00269","PEGBKDIG_02576","EDAOGEGO_03381","KOJFNNPD_01723","MLOHFGPA_00950","EGKOAKEK_00226","MHLDJHJA_00943","CKEGPAKG_01650","FHGKKJNF_03220","PKILBCIH_00626","EJOKNHIB_00227"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"AIHABEGN_02191","JMHMHBON_00521","MOBEGOEH_01822","GDOIKAKM_01823","MPAHEGDA_00270","PEGBKDIG_02577","EDAOGEGO_03382","KOJFNNPD_01722","MLOHFGPA_00949","EGKOAKEK_00227","MHLDJHJA_00944","CKEGPAKG_01651","FHGKKJNF_03219","PKILBCIH_00625","EJOKNHIB_00228"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"AIHABEGN_02062","JMHMHBON_00391","MOBEGOEH_01952","GDOIKAKM_01952","MPAHEGDA_00400","PEGBKDIG_03584","EDAOGEGO_03985","KOJFNNPD_01591","MLOHFGPA_02336","EGKOAKEK_00357","MHLDJHJA_03184","CKEGPAKG_02352","FHGKKJNF_01221","PKILBCIH_00495","EJOKNHIB_00353"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"AIHABEGN_02061","JMHMHBON_00390","MOBEGOEH_01953","GDOIKAKM_01953","MPAHEGDA_00401","PEGBKDIG_03585","EDAOGEGO_03984","KOJFNNPD_01590","MLOHFGPA_02337","EGKOAKEK_00358","MHLDJHJA_03185","CKEGPAKG_02353","FHGKKJNF_01220","PKILBCIH_00494","EJOKNHIB_00354"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"AIHABEGN_02058","JMHMHBON_00387","MOBEGOEH_01956","GDOIKAKM_01956","MPAHEGDA_00404","PEGBKDIG_03588","EDAOGEGO_03981","KOJFNNPD_01587","MLOHFGPA_02340","EGKOAKEK_00361","MHLDJHJA_03188","CKEGPAKG_02356","FHGKKJNF_01217","PKILBCIH_00491","EJOKNHIB_00357"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"AIHABEGN_02056","JMHMHBON_00385","MOBEGOEH_01958","GDOIKAKM_01958","MPAHEGDA_00406","PEGBKDIG_03590","EDAOGEGO_03979","KOJFNNPD_01585","MLOHFGPA_02342","EGKOAKEK_00363","MHLDJHJA_03190","CKEGPAKG_02358","FHGKKJNF_01215","PKILBCIH_00489","EJOKNHIB_00359"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"AIHABEGN_02051","JMHMHBON_00380","MOBEGOEH_01963","GDOIKAKM_01963","MPAHEGDA_00411","PEGBKDIG_03595","EDAOGEGO_03974","KOJFNNPD_01580","MLOHFGPA_02347","EGKOAKEK_00368","MHLDJHJA_03195","CKEGPAKG_02363","FHGKKJNF_01210","PKILBCIH_00484","EJOKNHIB_00364"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"AIHABEGN_02013","JMHMHBON_00342","MOBEGOEH_02001","GDOIKAKM_02001","MPAHEGDA_00449","PEGBKDIG_03633","EDAOGEGO_03936","KOJFNNPD_01541","MLOHFGPA_02385","EGKOAKEK_00406","MHLDJHJA_03233","CKEGPAKG_02401","FHGKKJNF_04354","PKILBCIH_00446","EJOKNHIB_00402"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"AIHABEGN_03439","JMHMHBON_00335","MOBEGOEH_03354","GDOIKAKM_03863","MPAHEGDA_00456","PEGBKDIG_01040","EDAOGEGO_02254","KOJFNNPD_03025","MLOHFGPA_02392","EGKOAKEK_00413","MHLDJHJA_01428","CKEGPAKG_00670","FHGKKJNF_02183","PKILBCIH_02253","EJOKNHIB_00409"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"AIHABEGN_03429","JMHMHBON_00325","MOBEGOEH_03344","GDOIKAKM_03853","MPAHEGDA_00466","PEGBKDIG_01050","EDAOGEGO_02244","KOJFNNPD_03015","MLOHFGPA_02402","EGKOAKEK_00423","MHLDJHJA_01438","CKEGPAKG_00660","FHGKKJNF_02173","PKILBCIH_02243","EJOKNHIB_00419"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"AIHABEGN_03422","JMHMHBON_00318","MOBEGOEH_03337","GDOIKAKM_03846","MPAHEGDA_00473","PEGBKDIG_01057","EDAOGEGO_02237","KOJFNNPD_03008","MLOHFGPA_02409","EGKOAKEK_00430","MHLDJHJA_01445","CKEGPAKG_00653","FHGKKJNF_02166","PKILBCIH_02236","EJOKNHIB_00426"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"AIHABEGN_03414","JMHMHBON_00310","MOBEGOEH_03329","GDOIKAKM_03838","MPAHEGDA_00481","PEGBKDIG_01065","EDAOGEGO_02229","KOJFNNPD_03000","MLOHFGPA_02417","EGKOAKEK_00438","MHLDJHJA_01453","CKEGPAKG_00645","FHGKKJNF_02158","PKILBCIH_02228","EJOKNHIB_00434"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"AIHABEGN_03378","JMHMHBON_00274","MOBEGOEH_03293","GDOIKAKM_03802","MPAHEGDA_00517","PEGBKDIG_01101","EDAOGEGO_02193","KOJFNNPD_02964","MLOHFGPA_03403","EGKOAKEK_00474","MHLDJHJA_01489","CKEGPAKG_00609","FHGKKJNF_02122","PKILBCIH_02192","EJOKNHIB_00470"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"AIHABEGN_03348","JMHMHBON_00244","MOBEGOEH_03263","GDOIKAKM_03772","MPAHEGDA_00547","PEGBKDIG_01131","EDAOGEGO_02163","KOJFNNPD_02934","MLOHFGPA_03373","EGKOAKEK_00504","MHLDJHJA_01519","CKEGPAKG_00579","FHGKKJNF_00948","PKILBCIH_02162","EJOKNHIB_00500"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"AIHABEGN_03342","JMHMHBON_00238","MOBEGOEH_03257","GDOIKAKM_03766","MPAHEGDA_00553","PEGBKDIG_01137","EDAOGEGO_02157","KOJFNNPD_02928","MLOHFGPA_03367","EGKOAKEK_00510","MHLDJHJA_01525","CKEGPAKG_00573","FHGKKJNF_00954","PKILBCIH_02156","EJOKNHIB_00506"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"AIHABEGN_03341","JMHMHBON_00237","MOBEGOEH_03256","GDOIKAKM_03765","MPAHEGDA_00554","PEGBKDIG_01138","EDAOGEGO_02156","KOJFNNPD_02927","MLOHFGPA_03366","EGKOAKEK_00511","MHLDJHJA_01526","CKEGPAKG_00572","FHGKKJNF_00955","PKILBCIH_02155","EJOKNHIB_00507"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"AIHABEGN_03310","JMHMHBON_00206","MOBEGOEH_03225","GDOIKAKM_03734","MPAHEGDA_00585","PEGBKDIG_01169","EDAOGEGO_02125","KOJFNNPD_02896","MLOHFGPA_01262","EGKOAKEK_00542","MHLDJHJA_01556","CKEGPAKG_00542","FHGKKJNF_00985","PKILBCIH_02124","EJOKNHIB_00538"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"AIHABEGN_03308","JMHMHBON_00204","MOBEGOEH_03223","GDOIKAKM_03732","MPAHEGDA_00587","PEGBKDIG_01171","EDAOGEGO_02123","KOJFNNPD_02894","MLOHFGPA_01260","EGKOAKEK_00544","MHLDJHJA_01558","CKEGPAKG_00540","FHGKKJNF_00987","PKILBCIH_02122","EJOKNHIB_00540"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"AIHABEGN_03302","JMHMHBON_00198","MOBEGOEH_03217","GDOIKAKM_03726","MPAHEGDA_00593","PEGBKDIG_01177","EDAOGEGO_02117","KOJFNNPD_02888","MLOHFGPA_01254","EGKOAKEK_00550","MHLDJHJA_01564","CKEGPAKG_00534","FHGKKJNF_00993","PKILBCIH_02116","EJOKNHIB_00546"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"AIHABEGN_03295","JMHMHBON_00191","MOBEGOEH_03210","GDOIKAKM_03719","MPAHEGDA_00600","PEGBKDIG_01184","EDAOGEGO_02110","KOJFNNPD_02881","MLOHFGPA_01247","EGKOAKEK_00557","MHLDJHJA_01571","CKEGPAKG_00527","FHGKKJNF_01000","PKILBCIH_02109","EJOKNHIB_00553"
