"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR14272156","SRR14272154","SRR28323368","NDSU24","SRR19513358","SRR10037239","SRR28323382","SRR7041622","SRR27779120","SRR16506855","NDSU8","SRR5666360","SRR25926991","SRR4292607","SRR5905016"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"HKKILDPC_04468","HAANCNKA_04481","FCMCIBEK_04574","DFEIMHLH_04562","NAFJMCME_04437","OOMIMPCI_04535","KOLBENFC_04477","KJAFDFOC_04043","BONMFOJB_04498","MMJAGEHG_04511","CDDPGOFG_03958","KHAGAGIB_04417","MAFDEBPG_04187","MKNEJKNF_03952","BIBHBEME_03547"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"HKKILDPC_04465","HAANCNKA_04478","FCMCIBEK_04571","DFEIMHLH_04559","NAFJMCME_04440","OOMIMPCI_04538","KOLBENFC_04474","KJAFDFOC_04046","BONMFOJB_04501","MMJAGEHG_04514","CDDPGOFG_03955","KHAGAGIB_04414","MAFDEBPG_04184","MKNEJKNF_03949","BIBHBEME_03550"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"HKKILDPC_04444","HAANCNKA_04457","FCMCIBEK_04550","DFEIMHLH_04538","NAFJMCME_04461","OOMIMPCI_04559","KOLBENFC_04453","KJAFDFOC_04067","BONMFOJB_04522","MMJAGEHG_04535","CDDPGOFG_03934","KHAGAGIB_04393","MAFDEBPG_04163","MKNEJKNF_03928","BIBHBEME_03571"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"HKKILDPC_04498","HAANCNKA_00433","FCMCIBEK_04505","DFEIMHLH_04591","NAFJMCME_04502","OOMIMPCI_04600","KOLBENFC_04506","KJAFDFOC_04152","BONMFOJB_04564","MMJAGEHG_04482","CDDPGOFG_04214","KHAGAGIB_00446","MAFDEBPG_02501","MKNEJKNF_01621","BIBHBEME_03663"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"HKKILDPC_04527","HAANCNKA_04518","FCMCIBEK_04581","DFEIMHLH_04621","NAFJMCME_04562","OOMIMPCI_04660","KOLBENFC_04558","KJAFDFOC_04540","BONMFOJB_04593","MMJAGEHG_04604","CDDPGOFG_04492","KHAGAGIB_04468","MAFDEBPG_04333","MKNEJKNF_04523","BIBHBEME_04500"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"HKKILDPC_00074","HAANCNKA_01545","FCMCIBEK_00818","DFEIMHLH_00916","NAFJMCME_03049","OOMIMPCI_01340","KOLBENFC_00814","KJAFDFOC_01312","BONMFOJB_01338","MMJAGEHG_00074","CDDPGOFG_02791","KHAGAGIB_01245","MAFDEBPG_00425","MKNEJKNF_02391","BIBHBEME_01301"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"HKKILDPC_01161","HAANCNKA_01626","FCMCIBEK_01864","DFEIMHLH_02082","NAFJMCME_01675","OOMIMPCI_02338","KOLBENFC_02330","KJAFDFOC_04492","BONMFOJB_01904","MMJAGEHG_01161","CDDPGOFG_03479","KHAGAGIB_02206","MAFDEBPG_04552","MKNEJKNF_04447","BIBHBEME_04415"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"HKKILDPC_00177","HAANCNKA_01442","FCMCIBEK_00921","DFEIMHLH_01019","NAFJMCME_02946","OOMIMPCI_01237","KOLBENFC_00917","KJAFDFOC_04400","BONMFOJB_01235","MMJAGEHG_00177","CDDPGOFG_02434","KHAGAGIB_01142","MAFDEBPG_00528","MKNEJKNF_02074","BIBHBEME_02817"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"HKKILDPC_02059","HAANCNKA_00360","FCMCIBEK_00048","DFEIMHLH_00797","NAFJMCME_00704","OOMIMPCI_00700","KOLBENFC_00696","KJAFDFOC_03361","BONMFOJB_00047","MMJAGEHG_01644","CDDPGOFG_01734","KHAGAGIB_04059","MAFDEBPG_01562","MKNEJKNF_03809","BIBHBEME_02677"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"HKKILDPC_02063","HAANCNKA_00356","FCMCIBEK_00052","DFEIMHLH_00793","NAFJMCME_00700","OOMIMPCI_00696","KOLBENFC_00692","KJAFDFOC_03357","BONMFOJB_00051","MMJAGEHG_01648","CDDPGOFG_01730","KHAGAGIB_04055","MAFDEBPG_01558","MKNEJKNF_03805","BIBHBEME_02673"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"HKKILDPC_02066","HAANCNKA_00353","FCMCIBEK_00055","DFEIMHLH_00790","NAFJMCME_00697","OOMIMPCI_00693","KOLBENFC_00689","KJAFDFOC_03354","BONMFOJB_00054","MMJAGEHG_01651","CDDPGOFG_01727","KHAGAGIB_04052","MAFDEBPG_01555","MKNEJKNF_03802","BIBHBEME_02670"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"HKKILDPC_02067","HAANCNKA_00352","FCMCIBEK_00056","DFEIMHLH_00789","NAFJMCME_00696","OOMIMPCI_00692","KOLBENFC_00688","KJAFDFOC_03353","BONMFOJB_00055","MMJAGEHG_01652","CDDPGOFG_01726","KHAGAGIB_04051","MAFDEBPG_01554","MKNEJKNF_03801","BIBHBEME_02669"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"HKKILDPC_02092","HAANCNKA_00327","FCMCIBEK_00081","DFEIMHLH_00764","NAFJMCME_00671","OOMIMPCI_00667","KOLBENFC_00663","KJAFDFOC_03328","BONMFOJB_00080","MMJAGEHG_01677","CDDPGOFG_01701","KHAGAGIB_04026","MAFDEBPG_01529","MKNEJKNF_03776","BIBHBEME_02644"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"HKKILDPC_02093","HAANCNKA_00326","FCMCIBEK_00082","DFEIMHLH_00763","NAFJMCME_00670","OOMIMPCI_00666","KOLBENFC_00662","KJAFDFOC_03327","BONMFOJB_00081","MMJAGEHG_01678","CDDPGOFG_01700","KHAGAGIB_04025","MAFDEBPG_01528","MKNEJKNF_03775","BIBHBEME_02643"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"HKKILDPC_02094","HAANCNKA_00325","FCMCIBEK_00083","DFEIMHLH_00762","NAFJMCME_00669","OOMIMPCI_00665","KOLBENFC_00661","KJAFDFOC_03326","BONMFOJB_00082","MMJAGEHG_01679","CDDPGOFG_01699","KHAGAGIB_04024","MAFDEBPG_01527","MKNEJKNF_03774","BIBHBEME_02642"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"HKKILDPC_02109","HAANCNKA_00310","FCMCIBEK_00098","DFEIMHLH_00747","NAFJMCME_00654","OOMIMPCI_00650","KOLBENFC_00646","KJAFDFOC_00330","BONMFOJB_00097","MMJAGEHG_01694","CDDPGOFG_01684","KHAGAGIB_01328","MAFDEBPG_01512","MKNEJKNF_04024","BIBHBEME_01659"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"HKKILDPC_02119","HAANCNKA_00300","FCMCIBEK_00108","DFEIMHLH_00737","NAFJMCME_00644","OOMIMPCI_00640","KOLBENFC_00636","KJAFDFOC_00340","BONMFOJB_00107","MMJAGEHG_01704","CDDPGOFG_01674","KHAGAGIB_01338","MAFDEBPG_01502","MKNEJKNF_04014","BIBHBEME_01669"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"HKKILDPC_02121","HAANCNKA_00298","FCMCIBEK_00110","DFEIMHLH_00735","NAFJMCME_00642","OOMIMPCI_00638","KOLBENFC_00634","KJAFDFOC_00342","BONMFOJB_00109","MMJAGEHG_01706","CDDPGOFG_01672","KHAGAGIB_01340","MAFDEBPG_01500","MKNEJKNF_04012","BIBHBEME_01671"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"HKKILDPC_02146","HAANCNKA_00273","FCMCIBEK_00135","DFEIMHLH_00710","NAFJMCME_00617","OOMIMPCI_00613","KOLBENFC_00609","KJAFDFOC_00367","BONMFOJB_00134","MMJAGEHG_01731","CDDPGOFG_01647","KHAGAGIB_01365","MAFDEBPG_01475","MKNEJKNF_02667","BIBHBEME_01696"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"HKKILDPC_02150","HAANCNKA_00269","FCMCIBEK_00139","DFEIMHLH_00706","NAFJMCME_00613","OOMIMPCI_00609","KOLBENFC_00605","KJAFDFOC_00371","BONMFOJB_00138","MMJAGEHG_01735","CDDPGOFG_01643","KHAGAGIB_01369","MAFDEBPG_01471","MKNEJKNF_02663","BIBHBEME_01700"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"HKKILDPC_02160","HAANCNKA_00259","FCMCIBEK_00149","DFEIMHLH_00696","NAFJMCME_00603","OOMIMPCI_00599","KOLBENFC_00595","KJAFDFOC_00381","BONMFOJB_00148","MMJAGEHG_01745","CDDPGOFG_01633","KHAGAGIB_01379","MAFDEBPG_01461","MKNEJKNF_02653","BIBHBEME_01710"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"HKKILDPC_02161","HAANCNKA_00258","FCMCIBEK_00150","DFEIMHLH_00695","NAFJMCME_00602","OOMIMPCI_00598","KOLBENFC_00594","KJAFDFOC_00382","BONMFOJB_00149","MMJAGEHG_01746","CDDPGOFG_01632","KHAGAGIB_01380","MAFDEBPG_01460","MKNEJKNF_02652","BIBHBEME_01711"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"HKKILDPC_02180","HAANCNKA_00239","FCMCIBEK_00169","DFEIMHLH_00676","NAFJMCME_00583","OOMIMPCI_00579","KOLBENFC_00575","KJAFDFOC_00401","BONMFOJB_00168","MMJAGEHG_01765","CDDPGOFG_01613","KHAGAGIB_01399","MAFDEBPG_01441","MKNEJKNF_02633","BIBHBEME_01730"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"HKKILDPC_02195","HAANCNKA_00224","FCMCIBEK_00184","DFEIMHLH_00661","NAFJMCME_00568","OOMIMPCI_00564","KOLBENFC_00560","KJAFDFOC_00416","BONMFOJB_00183","MMJAGEHG_01780","CDDPGOFG_00359","KHAGAGIB_01414","MAFDEBPG_01426","MKNEJKNF_02618","BIBHBEME_00009"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"HKKILDPC_02209","HAANCNKA_00210","FCMCIBEK_00198","DFEIMHLH_00647","NAFJMCME_00554","OOMIMPCI_00550","KOLBENFC_00546","KJAFDFOC_00430","BONMFOJB_00197","MMJAGEHG_01794","CDDPGOFG_00373","KHAGAGIB_01428","MAFDEBPG_01412","MKNEJKNF_02604","BIBHBEME_00023"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"HKKILDPC_02221","HAANCNKA_00198","FCMCIBEK_00210","DFEIMHLH_00635","NAFJMCME_00542","OOMIMPCI_00538","KOLBENFC_00534","KJAFDFOC_00442","BONMFOJB_00209","MMJAGEHG_01806","CDDPGOFG_00385","KHAGAGIB_01440","MAFDEBPG_02278","MKNEJKNF_02592","BIBHBEME_00035"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"HKKILDPC_02227","HAANCNKA_00192","FCMCIBEK_00216","DFEIMHLH_00629","NAFJMCME_00536","OOMIMPCI_00532","KOLBENFC_00528","KJAFDFOC_00448","BONMFOJB_00215","MMJAGEHG_01812","CDDPGOFG_00391","KHAGAGIB_01446","MAFDEBPG_02284","MKNEJKNF_02586","BIBHBEME_00041"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"HKKILDPC_02228","HAANCNKA_00191","FCMCIBEK_00217","DFEIMHLH_00628","NAFJMCME_00535","OOMIMPCI_00531","KOLBENFC_00527","KJAFDFOC_00449","BONMFOJB_00216","MMJAGEHG_01813","CDDPGOFG_00392","KHAGAGIB_01447","MAFDEBPG_02285","MKNEJKNF_02585","BIBHBEME_00042"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"HKKILDPC_02231","HAANCNKA_00188","FCMCIBEK_00220","DFEIMHLH_00625","NAFJMCME_00532","OOMIMPCI_00528","KOLBENFC_00524","KJAFDFOC_00452","BONMFOJB_00219","MMJAGEHG_01816","CDDPGOFG_00395","KHAGAGIB_01450","MAFDEBPG_02288","MKNEJKNF_02582","BIBHBEME_00045"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"HKKILDPC_02237","HAANCNKA_00182","FCMCIBEK_00226","DFEIMHLH_00619","NAFJMCME_00526","OOMIMPCI_00522","KOLBENFC_00518","KJAFDFOC_00458","BONMFOJB_00225","MMJAGEHG_01822","CDDPGOFG_00401","KHAGAGIB_01456","MAFDEBPG_02294","MKNEJKNF_02576","BIBHBEME_00051"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"HKKILDPC_02238","HAANCNKA_00181","FCMCIBEK_00227","DFEIMHLH_00618","NAFJMCME_00525","OOMIMPCI_00521","KOLBENFC_00517","KJAFDFOC_00459","BONMFOJB_00226","MMJAGEHG_01823","CDDPGOFG_00402","KHAGAGIB_01457","MAFDEBPG_02295","MKNEJKNF_02575","BIBHBEME_00052"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"HKKILDPC_02368","HAANCNKA_00051","FCMCIBEK_00357","DFEIMHLH_00488","NAFJMCME_00395","OOMIMPCI_00391","KOLBENFC_00387","KJAFDFOC_00589","BONMFOJB_00356","MMJAGEHG_01953","CDDPGOFG_00532","KHAGAGIB_01587","MAFDEBPG_02423","MKNEJKNF_03284","BIBHBEME_00182"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"HKKILDPC_02369","HAANCNKA_00050","FCMCIBEK_00358","DFEIMHLH_00487","NAFJMCME_00394","OOMIMPCI_00390","KOLBENFC_00386","KJAFDFOC_00590","BONMFOJB_00357","MMJAGEHG_01954","CDDPGOFG_00533","KHAGAGIB_01588","MAFDEBPG_02422","MKNEJKNF_03285","BIBHBEME_00183"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"HKKILDPC_02372","HAANCNKA_00047","FCMCIBEK_00361","DFEIMHLH_00484","NAFJMCME_00391","OOMIMPCI_00387","KOLBENFC_00383","KJAFDFOC_00593","BONMFOJB_00360","MMJAGEHG_01957","CDDPGOFG_00536","KHAGAGIB_01591","MAFDEBPG_02419","MKNEJKNF_03288","BIBHBEME_00186"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"HKKILDPC_02374","HAANCNKA_00045","FCMCIBEK_00363","DFEIMHLH_00482","NAFJMCME_00389","OOMIMPCI_00385","KOLBENFC_00381","KJAFDFOC_00595","BONMFOJB_00362","MMJAGEHG_01959","CDDPGOFG_00538","KHAGAGIB_01593","MAFDEBPG_02417","MKNEJKNF_03290","BIBHBEME_00188"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"HKKILDPC_02379","HAANCNKA_00040","FCMCIBEK_00368","DFEIMHLH_00477","NAFJMCME_00384","OOMIMPCI_00380","KOLBENFC_00376","KJAFDFOC_00600","BONMFOJB_00367","MMJAGEHG_01964","CDDPGOFG_00543","KHAGAGIB_01598","MAFDEBPG_02412","MKNEJKNF_03295","BIBHBEME_00193"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"HKKILDPC_02417","HAANCNKA_00002","FCMCIBEK_00406","DFEIMHLH_00439","NAFJMCME_00346","OOMIMPCI_00342","KOLBENFC_00338","KJAFDFOC_00638","BONMFOJB_00405","MMJAGEHG_02002","CDDPGOFG_00581","KHAGAGIB_01636","MAFDEBPG_02374","MKNEJKNF_00699","BIBHBEME_03403"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"HKKILDPC_03112","HAANCNKA_03175","FCMCIBEK_00413","DFEIMHLH_00432","NAFJMCME_00339","OOMIMPCI_00335","KOLBENFC_00331","KJAFDFOC_03771","BONMFOJB_00412","MMJAGEHG_03392","CDDPGOFG_00588","KHAGAGIB_04210","MAFDEBPG_03868","MKNEJKNF_00706","BIBHBEME_03410"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"HKKILDPC_03122","HAANCNKA_03165","FCMCIBEK_00423","DFEIMHLH_00422","NAFJMCME_00329","OOMIMPCI_00325","KOLBENFC_00321","KJAFDFOC_03781","BONMFOJB_00422","MMJAGEHG_03382","CDDPGOFG_00598","KHAGAGIB_04200","MAFDEBPG_03878","MKNEJKNF_00716","BIBHBEME_03420"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"HKKILDPC_03129","HAANCNKA_03158","FCMCIBEK_00430","DFEIMHLH_00415","NAFJMCME_00322","OOMIMPCI_00318","KOLBENFC_00314","KJAFDFOC_03788","BONMFOJB_00429","MMJAGEHG_03375","CDDPGOFG_00605","KHAGAGIB_04193","MAFDEBPG_03885","MKNEJKNF_00723","BIBHBEME_03427"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"HKKILDPC_03137","HAANCNKA_03150","FCMCIBEK_00438","DFEIMHLH_00407","NAFJMCME_00314","OOMIMPCI_00310","KOLBENFC_00306","KJAFDFOC_03796","BONMFOJB_00437","MMJAGEHG_03367","CDDPGOFG_00613","KHAGAGIB_04185","MAFDEBPG_03893","MKNEJKNF_00731","BIBHBEME_03435"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"HKKILDPC_03173","HAANCNKA_03114","FCMCIBEK_00474","DFEIMHLH_00371","NAFJMCME_00278","OOMIMPCI_00274","KOLBENFC_00270","KJAFDFOC_03832","BONMFOJB_00473","MMJAGEHG_03331","CDDPGOFG_00871","KHAGAGIB_04149","MAFDEBPG_03929","MKNEJKNF_00767","BIBHBEME_00673"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"HKKILDPC_03203","HAANCNKA_03084","FCMCIBEK_00504","DFEIMHLH_00341","NAFJMCME_00248","OOMIMPCI_00244","KOLBENFC_00240","KJAFDFOC_02008","BONMFOJB_00503","MMJAGEHG_03301","CDDPGOFG_00901","KHAGAGIB_02466","MAFDEBPG_01186","MKNEJKNF_00797","BIBHBEME_00643"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"HKKILDPC_03209","HAANCNKA_03078","FCMCIBEK_00510","DFEIMHLH_00335","NAFJMCME_00242","OOMIMPCI_00238","KOLBENFC_00234","KJAFDFOC_02002","BONMFOJB_00509","MMJAGEHG_03295","CDDPGOFG_00907","KHAGAGIB_02472","MAFDEBPG_01180","MKNEJKNF_00803","BIBHBEME_00637"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"HKKILDPC_03210","HAANCNKA_03077","FCMCIBEK_00511","DFEIMHLH_00334","NAFJMCME_00241","OOMIMPCI_00237","KOLBENFC_00233","KJAFDFOC_02001","BONMFOJB_00510","MMJAGEHG_03294","CDDPGOFG_00908","KHAGAGIB_02473","MAFDEBPG_01179","MKNEJKNF_00804","BIBHBEME_00636"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"HKKILDPC_03241","HAANCNKA_03046","FCMCIBEK_00542","DFEIMHLH_00303","NAFJMCME_00210","OOMIMPCI_00206","KOLBENFC_00202","KJAFDFOC_01969","BONMFOJB_00541","MMJAGEHG_03263","CDDPGOFG_00939","KHAGAGIB_02504","MAFDEBPG_01149","MKNEJKNF_00835","BIBHBEME_00605"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"HKKILDPC_03243","HAANCNKA_03044","FCMCIBEK_00544","DFEIMHLH_00301","NAFJMCME_00208","OOMIMPCI_00204","KOLBENFC_00200","KJAFDFOC_01967","BONMFOJB_00543","MMJAGEHG_03261","CDDPGOFG_00941","KHAGAGIB_02506","MAFDEBPG_01147","MKNEJKNF_00837","BIBHBEME_00603"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"HKKILDPC_03249","HAANCNKA_03038","FCMCIBEK_00550","DFEIMHLH_00295","NAFJMCME_00202","OOMIMPCI_00198","KOLBENFC_00194","KJAFDFOC_01961","BONMFOJB_00549","MMJAGEHG_03255","CDDPGOFG_00947","KHAGAGIB_02512","MAFDEBPG_01141","MKNEJKNF_00843","BIBHBEME_00597"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"HKKILDPC_03256","HAANCNKA_03031","FCMCIBEK_00557","DFEIMHLH_00288","NAFJMCME_00195","OOMIMPCI_00191","KOLBENFC_00187","KJAFDFOC_01954","BONMFOJB_00556","MMJAGEHG_03248","CDDPGOFG_00954","KHAGAGIB_02519","MAFDEBPG_01134","MKNEJKNF_00850","BIBHBEME_00590"
"cho","","Excinuclease cho",581,581,1,1,5337,NA,NA,"",881,908,881,"HKKILDPC_03260","HAANCNKA_03027","FCMCIBEK_00561","DFEIMHLH_00284","NAFJMCME_00191","OOMIMPCI_00187","KOLBENFC_00183","KJAFDFOC_01950","BONMFOJB_00560","MMJAGEHG_03244","CDDPGOFG_00958","KHAGAGIB_02523","MAFDEBPG_01130","MKNEJKNF_00854","BIBHBEME_00586"
