"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","NDSU7","SRR7010294","SRR14766451","SRR15146546","SRR28323382","SRR23043676","SRR14766379","SRR5905513","SRR14766388","SRR6310053","SRR14766438","SRR23043674","SRR14766396","SRR28830416","SRR16297816"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"IGPMGEKP_00498","FNDKDPDO_03322","JKFJINKE_01635","NAPOKNNJ_00690","KOLBENFC_00689","MKCMHNPK_01650","LAONLALK_03460","JLGLOGEO_04016","NAOOLHEA_01064","DNOEEKHJ_01136","EJBBKOOG_01328","HLOGJBDP_00055","OHGNPAHP_00599","KJPJOPGC_01657","IIHPGJAB_00054"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"IGPMGEKP_00499","FNDKDPDO_03321","JKFJINKE_01634","NAPOKNNJ_00689","KOLBENFC_00688","MKCMHNPK_01651","LAONLALK_03459","JLGLOGEO_04017","NAOOLHEA_01063","DNOEEKHJ_01137","EJBBKOOG_01327","HLOGJBDP_00056","OHGNPAHP_00600","KJPJOPGC_01658","IIHPGJAB_00055"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"IGPMGEKP_00524","FNDKDPDO_03296","JKFJINKE_01609","NAPOKNNJ_00664","KOLBENFC_00663","MKCMHNPK_01676","LAONLALK_03434","JLGLOGEO_04042","NAOOLHEA_01038","DNOEEKHJ_01162","EJBBKOOG_01302","HLOGJBDP_00081","OHGNPAHP_00625","KJPJOPGC_01683","IIHPGJAB_00080"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"IGPMGEKP_00525","FNDKDPDO_03295","JKFJINKE_01608","NAPOKNNJ_00663","KOLBENFC_00662","MKCMHNPK_01677","LAONLALK_03433","JLGLOGEO_04043","NAOOLHEA_01037","DNOEEKHJ_01163","EJBBKOOG_01301","HLOGJBDP_00082","OHGNPAHP_00626","KJPJOPGC_01684","IIHPGJAB_00081"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"IGPMGEKP_00526","FNDKDPDO_03294","JKFJINKE_01607","NAPOKNNJ_00662","KOLBENFC_00661","MKCMHNPK_01678","LAONLALK_03432","JLGLOGEO_04044","NAOOLHEA_01036","DNOEEKHJ_01164","EJBBKOOG_01300","HLOGJBDP_00083","OHGNPAHP_00627","KJPJOPGC_01685","IIHPGJAB_00082"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"IGPMGEKP_00541","FNDKDPDO_01248","JKFJINKE_02176","NAPOKNNJ_00647","KOLBENFC_00646","MKCMHNPK_01693","LAONLALK_01742","JLGLOGEO_00351","NAOOLHEA_01021","DNOEEKHJ_01179","EJBBKOOG_01284","HLOGJBDP_00098","OHGNPAHP_00642","KJPJOPGC_01700","IIHPGJAB_00097"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"IGPMGEKP_00551","FNDKDPDO_01238","JKFJINKE_02186","NAPOKNNJ_00637","KOLBENFC_00636","MKCMHNPK_01703","LAONLALK_01732","JLGLOGEO_00361","NAOOLHEA_01011","DNOEEKHJ_01189","EJBBKOOG_01274","HLOGJBDP_00108","OHGNPAHP_00652","KJPJOPGC_01710","IIHPGJAB_00107"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"IGPMGEKP_00553","FNDKDPDO_01236","JKFJINKE_02188","NAPOKNNJ_00635","KOLBENFC_00634","MKCMHNPK_01705","LAONLALK_01730","JLGLOGEO_00363","NAOOLHEA_01009","DNOEEKHJ_01191","EJBBKOOG_01272","HLOGJBDP_00110","OHGNPAHP_00654","KJPJOPGC_01712","IIHPGJAB_00109"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"IGPMGEKP_00578","FNDKDPDO_01211","JKFJINKE_02213","NAPOKNNJ_00610","KOLBENFC_00609","MKCMHNPK_01729","LAONLALK_01705","JLGLOGEO_00388","NAOOLHEA_03524","DNOEEKHJ_01216","EJBBKOOG_01247","HLOGJBDP_00135","OHGNPAHP_00679","KJPJOPGC_01737","IIHPGJAB_00134"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"IGPMGEKP_00582","FNDKDPDO_01207","JKFJINKE_02217","NAPOKNNJ_00606","KOLBENFC_00605","MKCMHNPK_01733","LAONLALK_01701","JLGLOGEO_00392","NAOOLHEA_03520","DNOEEKHJ_01220","EJBBKOOG_01243","HLOGJBDP_00139","OHGNPAHP_00683","KJPJOPGC_01741","IIHPGJAB_00138"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"IGPMGEKP_00592","FNDKDPDO_01197","JKFJINKE_01325","NAPOKNNJ_00596","KOLBENFC_00595","MKCMHNPK_01743","LAONLALK_01691","JLGLOGEO_00402","NAOOLHEA_03510","DNOEEKHJ_01230","EJBBKOOG_01233","HLOGJBDP_00149","OHGNPAHP_00693","KJPJOPGC_01751","IIHPGJAB_00148"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"IGPMGEKP_00593","FNDKDPDO_01196","JKFJINKE_01324","NAPOKNNJ_00595","KOLBENFC_00594","MKCMHNPK_01744","LAONLALK_01690","JLGLOGEO_00403","NAOOLHEA_03509","DNOEEKHJ_01231","EJBBKOOG_01232","HLOGJBDP_00150","OHGNPAHP_00694","KJPJOPGC_01752","IIHPGJAB_00149"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"IGPMGEKP_00612","FNDKDPDO_01177","JKFJINKE_01305","NAPOKNNJ_00576","KOLBENFC_00575","MKCMHNPK_01763","LAONLALK_01671","JLGLOGEO_00422","NAOOLHEA_03490","DNOEEKHJ_01250","EJBBKOOG_01213","HLOGJBDP_00169","OHGNPAHP_00713","KJPJOPGC_01771","IIHPGJAB_00168"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"IGPMGEKP_00627","FNDKDPDO_01162","JKFJINKE_01290","NAPOKNNJ_00561","KOLBENFC_00560","MKCMHNPK_01778","LAONLALK_01656","JLGLOGEO_00437","NAOOLHEA_03475","DNOEEKHJ_01265","EJBBKOOG_01198","HLOGJBDP_00184","OHGNPAHP_00728","KJPJOPGC_01786","IIHPGJAB_00183"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"IGPMGEKP_00641","FNDKDPDO_01148","JKFJINKE_01276","NAPOKNNJ_00547","KOLBENFC_00546","MKCMHNPK_01792","LAONLALK_01642","JLGLOGEO_00451","NAOOLHEA_04482","DNOEEKHJ_01279","EJBBKOOG_01184","HLOGJBDP_00198","OHGNPAHP_00742","KJPJOPGC_01800","IIHPGJAB_00197"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"IGPMGEKP_00653","FNDKDPDO_01136","JKFJINKE_01264","NAPOKNNJ_00535","KOLBENFC_00534","MKCMHNPK_01804","LAONLALK_04385","JLGLOGEO_00463","NAOOLHEA_03992","DNOEEKHJ_01291","EJBBKOOG_02528","HLOGJBDP_00210","OHGNPAHP_00754","KJPJOPGC_01812","IIHPGJAB_00209"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"IGPMGEKP_00659","FNDKDPDO_01130","JKFJINKE_01258","NAPOKNNJ_00529","KOLBENFC_00528","MKCMHNPK_01810","LAONLALK_04379","JLGLOGEO_00469","NAOOLHEA_03986","DNOEEKHJ_01297","EJBBKOOG_02522","HLOGJBDP_00216","OHGNPAHP_00760","KJPJOPGC_01818","IIHPGJAB_00215"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"IGPMGEKP_00660","FNDKDPDO_01129","JKFJINKE_01257","NAPOKNNJ_00528","KOLBENFC_00527","MKCMHNPK_01811","LAONLALK_04378","JLGLOGEO_00470","NAOOLHEA_03985","DNOEEKHJ_01298","EJBBKOOG_02521","HLOGJBDP_00217","OHGNPAHP_00761","KJPJOPGC_01819","IIHPGJAB_00216"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"IGPMGEKP_00663","FNDKDPDO_01126","JKFJINKE_01254","NAPOKNNJ_00525","KOLBENFC_00524","MKCMHNPK_01814","LAONLALK_04375","JLGLOGEO_00473","NAOOLHEA_03982","DNOEEKHJ_01301","EJBBKOOG_02518","HLOGJBDP_00220","OHGNPAHP_00764","KJPJOPGC_01822","IIHPGJAB_00219"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"IGPMGEKP_00669","FNDKDPDO_04215","JKFJINKE_04164","NAPOKNNJ_00519","KOLBENFC_00518","MKCMHNPK_01820","LAONLALK_04369","JLGLOGEO_00479","NAOOLHEA_03976","DNOEEKHJ_01307","EJBBKOOG_02512","HLOGJBDP_00226","OHGNPAHP_00770","KJPJOPGC_01828","IIHPGJAB_00225"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"IGPMGEKP_00670","FNDKDPDO_04214","JKFJINKE_04165","NAPOKNNJ_00518","KOLBENFC_00517","MKCMHNPK_01821","LAONLALK_04464","JLGLOGEO_00480","NAOOLHEA_03975","DNOEEKHJ_01308","EJBBKOOG_02511","HLOGJBDP_00227","OHGNPAHP_00771","KJPJOPGC_01829","IIHPGJAB_00226"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"IGPMGEKP_00799","FNDKDPDO_01791","JKFJINKE_01703","NAPOKNNJ_00388","KOLBENFC_00387","MKCMHNPK_01951","LAONLALK_01993","JLGLOGEO_03451","NAOOLHEA_02564","DNOEEKHJ_01437","EJBBKOOG_00400","HLOGJBDP_00357","OHGNPAHP_00901","KJPJOPGC_01958","IIHPGJAB_00356"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"IGPMGEKP_00800","FNDKDPDO_01792","JKFJINKE_01704","NAPOKNNJ_00387","KOLBENFC_00386","MKCMHNPK_01952","LAONLALK_01992","JLGLOGEO_03452","NAOOLHEA_02563","DNOEEKHJ_01438","EJBBKOOG_00401","HLOGJBDP_00358","OHGNPAHP_00902","KJPJOPGC_01959","IIHPGJAB_00357"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"IGPMGEKP_00803","FNDKDPDO_01795","JKFJINKE_01707","NAPOKNNJ_00384","KOLBENFC_00383","MKCMHNPK_01955","LAONLALK_01989","JLGLOGEO_03455","NAOOLHEA_02560","DNOEEKHJ_01441","EJBBKOOG_00404","HLOGJBDP_00361","OHGNPAHP_00905","KJPJOPGC_01962","IIHPGJAB_00360"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"IGPMGEKP_00805","FNDKDPDO_01797","JKFJINKE_01709","NAPOKNNJ_00382","KOLBENFC_00381","MKCMHNPK_01957","LAONLALK_01987","JLGLOGEO_03457","NAOOLHEA_02558","DNOEEKHJ_01443","EJBBKOOG_00406","HLOGJBDP_00363","OHGNPAHP_00907","KJPJOPGC_01964","IIHPGJAB_00362"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"IGPMGEKP_00810","FNDKDPDO_01802","JKFJINKE_01714","NAPOKNNJ_00377","KOLBENFC_00376","MKCMHNPK_01962","LAONLALK_01982","JLGLOGEO_03462","NAOOLHEA_02553","DNOEEKHJ_01448","EJBBKOOG_00411","HLOGJBDP_00368","OHGNPAHP_00912","KJPJOPGC_01969","IIHPGJAB_00367"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"IGPMGEKP_00848","FNDKDPDO_01840","JKFJINKE_02703","NAPOKNNJ_00339","KOLBENFC_00338","MKCMHNPK_02000","LAONLALK_01944","JLGLOGEO_03500","NAOOLHEA_02515","DNOEEKHJ_01486","EJBBKOOG_00449","HLOGJBDP_00406","OHGNPAHP_00950","KJPJOPGC_02007","IIHPGJAB_00405"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"IGPMGEKP_04378","FNDKDPDO_03789","JKFJINKE_02696","NAPOKNNJ_00332","KOLBENFC_00331","MKCMHNPK_03393","LAONLALK_00627","JLGLOGEO_01042","NAOOLHEA_00770","DNOEEKHJ_02835","EJBBKOOG_00456","HLOGJBDP_00413","OHGNPAHP_03170","KJPJOPGC_03072","IIHPGJAB_00412"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"IGPMGEKP_04368","FNDKDPDO_03779","JKFJINKE_02686","NAPOKNNJ_00322","KOLBENFC_00321","MKCMHNPK_03383","LAONLALK_00617","JLGLOGEO_01052","NAOOLHEA_00780","DNOEEKHJ_02825","EJBBKOOG_00466","HLOGJBDP_00423","OHGNPAHP_03180","KJPJOPGC_03082","IIHPGJAB_00422"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"IGPMGEKP_04361","FNDKDPDO_03772","JKFJINKE_02679","NAPOKNNJ_00315","KOLBENFC_00314","MKCMHNPK_03376","LAONLALK_00610","JLGLOGEO_01059","NAOOLHEA_00787","DNOEEKHJ_02818","EJBBKOOG_00473","HLOGJBDP_00430","OHGNPAHP_03187","KJPJOPGC_03089","IIHPGJAB_00429"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"IGPMGEKP_04353","FNDKDPDO_03764","JKFJINKE_02671","NAPOKNNJ_00307","KOLBENFC_00306","MKCMHNPK_03368","LAONLALK_00602","JLGLOGEO_01067","NAOOLHEA_00795","DNOEEKHJ_02810","EJBBKOOG_00481","HLOGJBDP_00438","OHGNPAHP_03195","KJPJOPGC_03097","IIHPGJAB_00437"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"IGPMGEKP_03764","FNDKDPDO_04302","JKFJINKE_01834","NAPOKNNJ_00271","KOLBENFC_00270","MKCMHNPK_03332","LAONLALK_00566","JLGLOGEO_01103","NAOOLHEA_00831","DNOEEKHJ_02774","EJBBKOOG_00517","HLOGJBDP_00474","OHGNPAHP_03231","KJPJOPGC_03133","IIHPGJAB_00473"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"IGPMGEKP_03794","FNDKDPDO_00585","JKFJINKE_01864","NAPOKNNJ_00241","KOLBENFC_00240","MKCMHNPK_03302","LAONLALK_00536","JLGLOGEO_01133","NAOOLHEA_00861","DNOEEKHJ_02744","EJBBKOOG_00547","HLOGJBDP_00504","OHGNPAHP_03261","KJPJOPGC_03163","IIHPGJAB_00503"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"IGPMGEKP_03800","FNDKDPDO_00591","JKFJINKE_01870","NAPOKNNJ_00235","KOLBENFC_00234","MKCMHNPK_03296","LAONLALK_00530","JLGLOGEO_01139","NAOOLHEA_00867","DNOEEKHJ_02738","EJBBKOOG_00553","HLOGJBDP_00510","OHGNPAHP_03267","KJPJOPGC_03169","IIHPGJAB_00509"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"IGPMGEKP_03801","FNDKDPDO_00592","JKFJINKE_01871","NAPOKNNJ_00234","KOLBENFC_00233","MKCMHNPK_03295","LAONLALK_00529","JLGLOGEO_01140","NAOOLHEA_00868","DNOEEKHJ_02737","EJBBKOOG_00554","HLOGJBDP_00511","OHGNPAHP_03268","KJPJOPGC_03170","IIHPGJAB_00510"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"IGPMGEKP_03832","FNDKDPDO_00622","JKFJINKE_01096","NAPOKNNJ_00203","KOLBENFC_00202","MKCMHNPK_03264","LAONLALK_00499","JLGLOGEO_01171","NAOOLHEA_00899","DNOEEKHJ_02706","EJBBKOOG_00584","HLOGJBDP_00542","OHGNPAHP_03299","KJPJOPGC_03201","IIHPGJAB_00541"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"IGPMGEKP_03834","FNDKDPDO_00624","JKFJINKE_01098","NAPOKNNJ_00201","KOLBENFC_00200","MKCMHNPK_03262","LAONLALK_00497","JLGLOGEO_01173","NAOOLHEA_00901","DNOEEKHJ_02704","EJBBKOOG_00586","HLOGJBDP_00544","OHGNPAHP_03301","KJPJOPGC_03203","IIHPGJAB_00543"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"IGPMGEKP_03840","FNDKDPDO_00630","JKFJINKE_01104","NAPOKNNJ_00195","KOLBENFC_00194","MKCMHNPK_03256","LAONLALK_00491","JLGLOGEO_01179","NAOOLHEA_00907","DNOEEKHJ_02698","EJBBKOOG_00592","HLOGJBDP_00550","OHGNPAHP_03307","KJPJOPGC_03209","IIHPGJAB_00549"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"IGPMGEKP_03847","FNDKDPDO_00637","JKFJINKE_01111","NAPOKNNJ_00188","KOLBENFC_00187","MKCMHNPK_03249","LAONLALK_00484","JLGLOGEO_01186","NAOOLHEA_00914","DNOEEKHJ_02691","EJBBKOOG_00599","HLOGJBDP_00557","OHGNPAHP_03314","KJPJOPGC_03216","IIHPGJAB_00556"
