"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR11068404","SRR7041896","SRR1411125","SRR14766396","SRR14272159","NDSU28","SRR9301046","SRR1556977","SRR5666360","SRR13001984","SRR14766435","SRR5928137","SRR14766343","SRR2994392","SRR18233394"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"NHHFDHOA_04642","LNFOPOPD_04480","LNNOOKGB_04390","OHGNPAHP_04590","GLJEHEMI_04507","KBLPGKMM_04313","FIBKOHBH_04434","KLKGDDID_04435","KHAGAGIB_04417","DLEBNIDD_04003","IJNFKBKA_04275","FHJCNOBE_04532","CLBIFFHN_03255","FBFFAOJI_04381","BCOIPCNK_04383"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"NHHFDHOA_04318","LNFOPOPD_04477","LNNOOKGB_04387","OHGNPAHP_04587","GLJEHEMI_04510","KBLPGKMM_04310","FIBKOHBH_04431","KLKGDDID_04438","KHAGAGIB_04414","DLEBNIDD_04006","IJNFKBKA_04272","FHJCNOBE_04529","CLBIFFHN_03258","FBFFAOJI_04384","BCOIPCNK_04380"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"NHHFDHOA_04339","LNFOPOPD_04456","LNNOOKGB_04366","OHGNPAHP_04566","GLJEHEMI_04531","KBLPGKMM_04289","FIBKOHBH_04410","KLKGDDID_04459","KHAGAGIB_04393","DLEBNIDD_04027","IJNFKBKA_04251","FHJCNOBE_04508","CLBIFFHN_03279","FBFFAOJI_04405","BCOIPCNK_04359"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"NHHFDHOA_04381","LNFOPOPD_04510","LNNOOKGB_04325","OHGNPAHP_00518","GLJEHEMI_04572","KBLPGKMM_04388","FIBKOHBH_04463","KLKGDDID_04406","KHAGAGIB_00446","DLEBNIDD_02252","IJNFKBKA_04160","FHJCNOBE_04562","CLBIFFHN_02619","FBFFAOJI_04450","BCOIPCNK_04276"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"NHHFDHOA_04563","LNFOPOPD_04539","LNNOOKGB_04445","OHGNPAHP_04627","GLJEHEMI_04624","KBLPGKMM_04454","FIBKOHBH_04493","KLKGDDID_04618","KHAGAGIB_04468","DLEBNIDD_04500","IJNFKBKA_04566","FHJCNOBE_04591","CLBIFFHN_03743","FBFFAOJI_04500","BCOIPCNK_04435"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"NHHFDHOA_03028","LNFOPOPD_02307","LNNOOKGB_00597","OHGNPAHP_01025","GLJEHEMI_01367","KBLPGKMM_00759","FIBKOHBH_03055","KLKGDDID_01338","KHAGAGIB_01245","DLEBNIDD_01881","IJNFKBKA_02703","FHJCNOBE_00745","CLBIFFHN_01570","FBFFAOJI_01875","BCOIPCNK_00595"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"NHHFDHOA_00437","LNFOPOPD_04276","LNNOOKGB_04127","OHGNPAHP_02058","GLJEHEMI_03521","KBLPGKMM_03742","FIBKOHBH_03763","KLKGDDID_01420","KHAGAGIB_02206","DLEBNIDD_04454","IJNFKBKA_03976","FHJCNOBE_03306","CLBIFFHN_04226","FBFFAOJI_02723","BCOIPCNK_04043"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"NHHFDHOA_03365","LNFOPOPD_02410","LNNOOKGB_00494","OHGNPAHP_01128","GLJEHEMI_01264","KBLPGKMM_00862","FIBKOHBH_03713","KLKGDDID_01235","KHAGAGIB_01142","DLEBNIDD_02680","IJNFKBKA_03418","FHJCNOBE_00642","CLBIFFHN_03977","FBFFAOJI_01978","BCOIPCNK_00492"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"NHHFDHOA_00804","LNFOPOPD_03878","LNNOOKGB_03513","OHGNPAHP_00592","GLJEHEMI_00047","KBLPGKMM_00397","FIBKOHBH_03917","KLKGDDID_00696","KHAGAGIB_04059","DLEBNIDD_03657","IJNFKBKA_00414","FHJCNOBE_04036","CLBIFFHN_02523","FBFFAOJI_00361","BCOIPCNK_03346"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"NHHFDHOA_00800","LNFOPOPD_03874","LNNOOKGB_03509","OHGNPAHP_00596","GLJEHEMI_00051","KBLPGKMM_00401","FIBKOHBH_03921","KLKGDDID_00692","KHAGAGIB_04055","DLEBNIDD_03653","IJNFKBKA_00418","FHJCNOBE_04040","CLBIFFHN_02527","FBFFAOJI_00357","BCOIPCNK_03342"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"NHHFDHOA_00797","LNFOPOPD_03871","LNNOOKGB_03506","OHGNPAHP_00599","GLJEHEMI_00054","KBLPGKMM_00404","FIBKOHBH_03924","KLKGDDID_00689","KHAGAGIB_04052","DLEBNIDD_03650","IJNFKBKA_00421","FHJCNOBE_04043","CLBIFFHN_02530","FBFFAOJI_00354","BCOIPCNK_03339"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"NHHFDHOA_00796","LNFOPOPD_03870","LNNOOKGB_03505","OHGNPAHP_00600","GLJEHEMI_00055","KBLPGKMM_00405","FIBKOHBH_03925","KLKGDDID_00688","KHAGAGIB_04051","DLEBNIDD_03649","IJNFKBKA_00422","FHJCNOBE_04044","CLBIFFHN_02531","FBFFAOJI_00353","BCOIPCNK_03338"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"NHHFDHOA_00771","LNFOPOPD_03845","LNNOOKGB_03480","OHGNPAHP_00625","GLJEHEMI_00080","KBLPGKMM_00430","FIBKOHBH_03950","KLKGDDID_00663","KHAGAGIB_04026","DLEBNIDD_03624","IJNFKBKA_00447","FHJCNOBE_04069","CLBIFFHN_02556","FBFFAOJI_00328","BCOIPCNK_03313"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"NHHFDHOA_00770","LNFOPOPD_03844","LNNOOKGB_03479","OHGNPAHP_00626","GLJEHEMI_00081","KBLPGKMM_00431","FIBKOHBH_03951","KLKGDDID_00662","KHAGAGIB_04025","DLEBNIDD_03623","IJNFKBKA_00448","FHJCNOBE_04070","CLBIFFHN_02557","FBFFAOJI_00327","BCOIPCNK_03312"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"NHHFDHOA_00769","LNFOPOPD_03843","LNNOOKGB_03478","OHGNPAHP_00627","GLJEHEMI_00082","KBLPGKMM_00432","FIBKOHBH_03952","KLKGDDID_00661","KHAGAGIB_04024","DLEBNIDD_03622","IJNFKBKA_00449","FHJCNOBE_04071","CLBIFFHN_02558","FBFFAOJI_00326","BCOIPCNK_03311"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"NHHFDHOA_00754","LNFOPOPD_01884","LNNOOKGB_03463","OHGNPAHP_00642","GLJEHEMI_00097","KBLPGKMM_00447","FIBKOHBH_00374","KLKGDDID_00646","KHAGAGIB_01328","DLEBNIDD_00010","IJNFKBKA_00464","FHJCNOBE_02398","CLBIFFHN_01071","FBFFAOJI_00310","BCOIPCNK_03296"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"NHHFDHOA_00744","LNFOPOPD_01874","LNNOOKGB_03453","OHGNPAHP_00652","GLJEHEMI_00107","KBLPGKMM_00457","FIBKOHBH_00384","KLKGDDID_00636","KHAGAGIB_01338","DLEBNIDD_00020","IJNFKBKA_00474","FHJCNOBE_02408","CLBIFFHN_01081","FBFFAOJI_00300","BCOIPCNK_03286"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"NHHFDHOA_00742","LNFOPOPD_01872","LNNOOKGB_03451","OHGNPAHP_00654","GLJEHEMI_00109","KBLPGKMM_00459","FIBKOHBH_00386","KLKGDDID_00634","KHAGAGIB_01340","DLEBNIDD_00022","IJNFKBKA_00476","FHJCNOBE_02410","CLBIFFHN_01083","FBFFAOJI_00298","BCOIPCNK_01280"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"NHHFDHOA_00717","LNFOPOPD_01847","LNNOOKGB_03241","OHGNPAHP_00679","GLJEHEMI_00134","KBLPGKMM_00484","FIBKOHBH_00411","KLKGDDID_00609","KHAGAGIB_01365","DLEBNIDD_00047","IJNFKBKA_00501","FHJCNOBE_02435","CLBIFFHN_01108","FBFFAOJI_00273","BCOIPCNK_01305"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"NHHFDHOA_00713","LNFOPOPD_01843","LNNOOKGB_03245","OHGNPAHP_00683","GLJEHEMI_00138","KBLPGKMM_00488","FIBKOHBH_00415","KLKGDDID_00605","KHAGAGIB_01369","DLEBNIDD_00051","IJNFKBKA_00505","FHJCNOBE_02439","CLBIFFHN_01112","FBFFAOJI_00269","BCOIPCNK_01309"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"NHHFDHOA_00703","LNFOPOPD_01833","LNNOOKGB_03255","OHGNPAHP_00693","GLJEHEMI_00148","KBLPGKMM_00498","FIBKOHBH_00425","KLKGDDID_00595","KHAGAGIB_01379","DLEBNIDD_00061","IJNFKBKA_00515","FHJCNOBE_02449","CLBIFFHN_01122","FBFFAOJI_00259","BCOIPCNK_01319"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"NHHFDHOA_00702","LNFOPOPD_01832","LNNOOKGB_03256","OHGNPAHP_00694","GLJEHEMI_00149","KBLPGKMM_00499","FIBKOHBH_00426","KLKGDDID_00594","KHAGAGIB_01380","DLEBNIDD_00062","IJNFKBKA_00516","FHJCNOBE_02450","CLBIFFHN_01123","FBFFAOJI_00258","BCOIPCNK_01320"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"NHHFDHOA_00683","LNFOPOPD_01813","LNNOOKGB_03275","OHGNPAHP_00713","GLJEHEMI_00168","KBLPGKMM_00518","FIBKOHBH_00445","KLKGDDID_00575","KHAGAGIB_01399","DLEBNIDD_00081","IJNFKBKA_00535","FHJCNOBE_02469","CLBIFFHN_01142","FBFFAOJI_00239","BCOIPCNK_01339"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"NHHFDHOA_00668","LNFOPOPD_01798","LNNOOKGB_03290","OHGNPAHP_00728","GLJEHEMI_00183","KBLPGKMM_00533","FIBKOHBH_00460","KLKGDDID_00560","KHAGAGIB_01414","DLEBNIDD_00097","IJNFKBKA_00550","FHJCNOBE_02484","CLBIFFHN_01157","FBFFAOJI_00224","BCOIPCNK_01354"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"NHHFDHOA_00654","LNFOPOPD_01784","LNNOOKGB_03304","OHGNPAHP_00742","GLJEHEMI_00197","KBLPGKMM_00547","FIBKOHBH_00474","KLKGDDID_00546","KHAGAGIB_01428","DLEBNIDD_00111","IJNFKBKA_00564","FHJCNOBE_02498","CLBIFFHN_01171","FBFFAOJI_00210","BCOIPCNK_01368"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"NHHFDHOA_00642","LNFOPOPD_01772","LNNOOKGB_03316","OHGNPAHP_00754","GLJEHEMI_00209","KBLPGKMM_00559","FIBKOHBH_00486","KLKGDDID_00534","KHAGAGIB_01440","DLEBNIDD_00123","IJNFKBKA_00576","FHJCNOBE_02510","CLBIFFHN_03794","FBFFAOJI_00198","BCOIPCNK_01380"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"NHHFDHOA_00636","LNFOPOPD_01766","LNNOOKGB_03322","OHGNPAHP_00760","GLJEHEMI_00215","KBLPGKMM_00565","FIBKOHBH_00492","KLKGDDID_00528","KHAGAGIB_01446","DLEBNIDD_00129","IJNFKBKA_00582","FHJCNOBE_02516","CLBIFFHN_03788","FBFFAOJI_00192","BCOIPCNK_01386"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"NHHFDHOA_00635","LNFOPOPD_01765","LNNOOKGB_03323","OHGNPAHP_00761","GLJEHEMI_00216","KBLPGKMM_00566","FIBKOHBH_00493","KLKGDDID_00527","KHAGAGIB_01447","DLEBNIDD_00130","IJNFKBKA_00583","FHJCNOBE_02517","CLBIFFHN_03787","FBFFAOJI_00191","BCOIPCNK_01387"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"NHHFDHOA_00632","LNFOPOPD_01762","LNNOOKGB_03326","OHGNPAHP_00764","GLJEHEMI_00219","KBLPGKMM_00569","FIBKOHBH_00496","KLKGDDID_00524","KHAGAGIB_01450","DLEBNIDD_00133","IJNFKBKA_00586","FHJCNOBE_02520","CLBIFFHN_03784","FBFFAOJI_00188","BCOIPCNK_01390"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"NHHFDHOA_00626","LNFOPOPD_01756","LNNOOKGB_03332","OHGNPAHP_00770","GLJEHEMI_00225","KBLPGKMM_00575","FIBKOHBH_00502","KLKGDDID_00518","KHAGAGIB_01456","DLEBNIDD_00139","IJNFKBKA_00592","FHJCNOBE_02526","CLBIFFHN_03778","FBFFAOJI_00182","BCOIPCNK_01396"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"NHHFDHOA_00625","LNFOPOPD_01755","LNNOOKGB_03333","OHGNPAHP_00771","GLJEHEMI_00226","KBLPGKMM_00576","FIBKOHBH_00503","KLKGDDID_00517","KHAGAGIB_01457","DLEBNIDD_00140","IJNFKBKA_00593","FHJCNOBE_02527","CLBIFFHN_03777","FBFFAOJI_00181","BCOIPCNK_01397"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"NHHFDHOA_00495","LNFOPOPD_01625","LNNOOKGB_01153","OHGNPAHP_00901","GLJEHEMI_00356","KBLPGKMM_03673","FIBKOHBH_00633","KLKGDDID_00392","KHAGAGIB_01587","DLEBNIDD_00269","IJNFKBKA_03152","FHJCNOBE_04120","CLBIFFHN_01446","FBFFAOJI_00051","BCOIPCNK_01527"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"NHHFDHOA_00494","LNFOPOPD_01624","LNNOOKGB_01154","OHGNPAHP_00902","GLJEHEMI_00357","KBLPGKMM_03672","FIBKOHBH_00634","KLKGDDID_00391","KHAGAGIB_01588","DLEBNIDD_00270","IJNFKBKA_03151","FHJCNOBE_04121","CLBIFFHN_01447","FBFFAOJI_00050","BCOIPCNK_01528"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"NHHFDHOA_00491","LNFOPOPD_01621","LNNOOKGB_01157","OHGNPAHP_00905","GLJEHEMI_00360","KBLPGKMM_03669","FIBKOHBH_00637","KLKGDDID_00388","KHAGAGIB_01591","DLEBNIDD_00273","IJNFKBKA_03148","FHJCNOBE_04124","CLBIFFHN_01450","FBFFAOJI_00047","BCOIPCNK_01531"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"NHHFDHOA_00489","LNFOPOPD_01619","LNNOOKGB_01159","OHGNPAHP_00907","GLJEHEMI_00362","KBLPGKMM_03667","FIBKOHBH_00639","KLKGDDID_00386","KHAGAGIB_01593","DLEBNIDD_00275","IJNFKBKA_03146","FHJCNOBE_04126","CLBIFFHN_01452","FBFFAOJI_00045","BCOIPCNK_01533"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"NHHFDHOA_00484","LNFOPOPD_01614","LNNOOKGB_01164","OHGNPAHP_00912","GLJEHEMI_00367","KBLPGKMM_03662","FIBKOHBH_00644","KLKGDDID_00381","KHAGAGIB_01598","DLEBNIDD_00280","IJNFKBKA_03141","FHJCNOBE_04131","CLBIFFHN_01457","FBFFAOJI_00040","BCOIPCNK_01538"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"NHHFDHOA_00446","LNFOPOPD_01576","LNNOOKGB_01202","OHGNPAHP_00950","GLJEHEMI_00405","KBLPGKMM_03624","FIBKOHBH_00682","KLKGDDID_00343","KHAGAGIB_01636","DLEBNIDD_00318","IJNFKBKA_03103","FHJCNOBE_04693","CLBIFFHN_01495","FBFFAOJI_00002","BCOIPCNK_01576"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"NHHFDHOA_01088","LNFOPOPD_02228","LNNOOKGB_01209","OHGNPAHP_03170","GLJEHEMI_00412","KBLPGKMM_04111","FIBKOHBH_00994","KLKGDDID_00336","KHAGAGIB_04210","DLEBNIDD_00325","IJNFKBKA_01032","FHJCNOBE_02836","CLBIFFHN_00653","FBFFAOJI_03857","BCOIPCNK_02370"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"NHHFDHOA_01098","LNFOPOPD_02218","LNNOOKGB_01219","OHGNPAHP_03180","GLJEHEMI_00422","KBLPGKMM_04121","FIBKOHBH_01004","KLKGDDID_00326","KHAGAGIB_04200","DLEBNIDD_00335","IJNFKBKA_01042","FHJCNOBE_02826","CLBIFFHN_00643","FBFFAOJI_03867","BCOIPCNK_02360"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"NHHFDHOA_01105","LNFOPOPD_02211","LNNOOKGB_01226","OHGNPAHP_03187","GLJEHEMI_00429","KBLPGKMM_04128","FIBKOHBH_01011","KLKGDDID_00319","KHAGAGIB_04193","DLEBNIDD_00342","IJNFKBKA_01049","FHJCNOBE_02819","CLBIFFHN_00636","FBFFAOJI_03874","BCOIPCNK_02353"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"NHHFDHOA_01113","LNFOPOPD_02203","LNNOOKGB_01234","OHGNPAHP_03195","GLJEHEMI_00437","KBLPGKMM_04136","FIBKOHBH_01019","KLKGDDID_00311","KHAGAGIB_04185","DLEBNIDD_00350","IJNFKBKA_01057","FHJCNOBE_02811","CLBIFFHN_00628","FBFFAOJI_03882","BCOIPCNK_02345"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"NHHFDHOA_01149","LNFOPOPD_02167","LNNOOKGB_01270","OHGNPAHP_03231","GLJEHEMI_00473","KBLPGKMM_04172","FIBKOHBH_01055","KLKGDDID_00275","KHAGAGIB_04149","DLEBNIDD_00386","IJNFKBKA_01093","FHJCNOBE_02775","CLBIFFHN_00592","FBFFAOJI_03918","BCOIPCNK_02309"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"NHHFDHOA_01179","LNFOPOPD_02137","LNNOOKGB_01300","OHGNPAHP_03261","GLJEHEMI_00503","KBLPGKMM_01295","FIBKOHBH_01085","KLKGDDID_00245","KHAGAGIB_02466","DLEBNIDD_00416","IJNFKBKA_01123","FHJCNOBE_02745","CLBIFFHN_00562","FBFFAOJI_03948","BCOIPCNK_02279"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"NHHFDHOA_01185","LNFOPOPD_02131","LNNOOKGB_01306","OHGNPAHP_03267","GLJEHEMI_00509","KBLPGKMM_01301","FIBKOHBH_01091","KLKGDDID_00239","KHAGAGIB_02472","DLEBNIDD_00422","IJNFKBKA_01129","FHJCNOBE_02739","CLBIFFHN_00556","FBFFAOJI_03954","BCOIPCNK_02273"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"NHHFDHOA_01186","LNFOPOPD_02130","LNNOOKGB_01307","OHGNPAHP_03268","GLJEHEMI_00510","KBLPGKMM_01302","FIBKOHBH_01092","KLKGDDID_00238","KHAGAGIB_02473","DLEBNIDD_00423","IJNFKBKA_01130","FHJCNOBE_02738","CLBIFFHN_00555","FBFFAOJI_03955","BCOIPCNK_02272"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"NHHFDHOA_01217","LNFOPOPD_02099","LNNOOKGB_01338","OHGNPAHP_03299","GLJEHEMI_00541","KBLPGKMM_01332","FIBKOHBH_01123","KLKGDDID_00207","KHAGAGIB_02504","DLEBNIDD_00454","IJNFKBKA_01161","FHJCNOBE_02707","CLBIFFHN_00525","FBFFAOJI_03357","BCOIPCNK_02242"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"NHHFDHOA_01219","LNFOPOPD_02097","LNNOOKGB_01340","OHGNPAHP_03301","GLJEHEMI_00543","KBLPGKMM_01334","FIBKOHBH_01125","KLKGDDID_00205","KHAGAGIB_02506","DLEBNIDD_00456","IJNFKBKA_01163","FHJCNOBE_02705","CLBIFFHN_00523","FBFFAOJI_03359","BCOIPCNK_02240"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"NHHFDHOA_01225","LNFOPOPD_02091","LNNOOKGB_01346","OHGNPAHP_03307","GLJEHEMI_00549","KBLPGKMM_01340","FIBKOHBH_01131","KLKGDDID_00199","KHAGAGIB_02512","DLEBNIDD_00462","IJNFKBKA_01169","FHJCNOBE_02699","CLBIFFHN_00517","FBFFAOJI_03365","BCOIPCNK_02234"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"NHHFDHOA_01232","LNFOPOPD_02084","LNNOOKGB_01353","OHGNPAHP_03314","GLJEHEMI_00556","KBLPGKMM_01347","FIBKOHBH_01138","KLKGDDID_00192","KHAGAGIB_02519","DLEBNIDD_00469","IJNFKBKA_01176","FHJCNOBE_02692","CLBIFFHN_00510","FBFFAOJI_03372","BCOIPCNK_02227"
