"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR1461785","SRR3097426","SRR5877170","SRR14766359","SRR8728065","SRR11068404","NDSU1","SRR14766419","SRR12075372","SRR14766452","SRR11101167","SRR1333873","SRR14766421","SRR14766430","SRR12418434"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"JAFODMFN_04439","PBDKJOHP_04424","GJPDLPPO_04402","PLKMKOCD_03456","OMPAEEHE_04474","NHHFDHOA_04642","GEPIEMCB_04536","JCGPGLCM_04033","OHGDDBEJ_04422","APEDILLO_04359","ELELPFCC_04472","DCMJPIDO_04479","HEDGDFAA_04546","GHDKDIHM_04659","FECNONKH_04301"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"JAFODMFN_04436","PBDKJOHP_04421","GJPDLPPO_04405","PLKMKOCD_03453","OMPAEEHE_04471","NHHFDHOA_04318","GEPIEMCB_04539","JCGPGLCM_04030","OHGDDBEJ_04425","APEDILLO_04356","ELELPFCC_04475","DCMJPIDO_04482","HEDGDFAA_03321","GHDKDIHM_04451","FECNONKH_04304"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"JAFODMFN_04415","PBDKJOHP_04400","GJPDLPPO_04426","PLKMKOCD_03432","OMPAEEHE_04450","NHHFDHOA_04339","GEPIEMCB_04560","JCGPGLCM_04009","OHGDDBEJ_04446","APEDILLO_04335","ELELPFCC_04496","DCMJPIDO_04503","HEDGDFAA_03342","GHDKDIHM_04430","FECNONKH_04325"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"JAFODMFN_04469","PBDKJOHP_04449","GJPDLPPO_04466","PLKMKOCD_03733","OMPAEEHE_04503","NHHFDHOA_04381","GEPIEMCB_04602","JCGPGLCM_00429","OHGDDBEJ_04348","APEDILLO_04389","ELELPFCC_04443","DCMJPIDO_04544","HEDGDFAA_03045","GHDKDIHM_04476","FECNONKH_04268"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"JAFODMFN_04563","PBDKJOHP_01598","GJPDLPPO_04626","PLKMKOCD_04283","OMPAEEHE_04533","NHHFDHOA_04563","GEPIEMCB_04720","JCGPGLCM_04245","OHGDDBEJ_04526","APEDILLO_04418","ELELPFCC_04589","DCMJPIDO_04574","HEDGDFAA_04096","GHDKDIHM_04506","FECNONKH_04564"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"JAFODMFN_00075","PBDKJOHP_01724","GJPDLPPO_03079","PLKMKOCD_00440","OMPAEEHE_02852","NHHFDHOA_03028","GEPIEMCB_01338","JCGPGLCM_00331","OHGDDBEJ_00599","APEDILLO_00074","ELELPFCC_03115","DCMJPIDO_00074","HEDGDFAA_01272","GHDKDIHM_02504","FECNONKH_02164"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"JAFODMFN_01162","PBDKJOHP_04112","GJPDLPPO_04103","PLKMKOCD_04123","OMPAEEHE_02077","NHHFDHOA_00437","GEPIEMCB_02412","JCGPGLCM_03432","OHGDDBEJ_01109","APEDILLO_01859","ELELPFCC_00437","DCMJPIDO_01701","HEDGDFAA_04241","GHDKDIHM_04040","FECNONKH_00785"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"JAFODMFN_00178","PBDKJOHP_01621","GJPDLPPO_04077","PLKMKOCD_03506","OMPAEEHE_02749","NHHFDHOA_03365","GEPIEMCB_01235","JCGPGLCM_00228","OHGDDBEJ_00495","APEDILLO_00177","ELELPFCC_03012","DCMJPIDO_00177","HEDGDFAA_03691","GHDKDIHM_02401","FECNONKH_03946"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"JAFODMFN_01646","PBDKJOHP_00238","GJPDLPPO_00809","PLKMKOCD_02407","OMPAEEHE_04008","NHHFDHOA_00804","GEPIEMCB_00047","JCGPGLCM_03060","OHGDDBEJ_01476","APEDILLO_04219","ELELPFCC_00803","DCMJPIDO_01161","HEDGDFAA_02996","GHDKDIHM_00415","FECNONKH_01491"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"JAFODMFN_01650","PBDKJOHP_00242","GJPDLPPO_00805","PLKMKOCD_02403","OMPAEEHE_04012","NHHFDHOA_00800","GEPIEMCB_00051","JCGPGLCM_03056","OHGDDBEJ_01472","APEDILLO_04215","ELELPFCC_00799","DCMJPIDO_01157","HEDGDFAA_02992","GHDKDIHM_00419","FECNONKH_01487"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"JAFODMFN_01653","PBDKJOHP_00245","GJPDLPPO_00802","PLKMKOCD_02400","OMPAEEHE_04015","NHHFDHOA_00797","GEPIEMCB_00054","JCGPGLCM_03053","OHGDDBEJ_01469","APEDILLO_04212","ELELPFCC_00796","DCMJPIDO_01154","HEDGDFAA_02989","GHDKDIHM_00422","FECNONKH_01484"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"JAFODMFN_01654","PBDKJOHP_00246","GJPDLPPO_00801","PLKMKOCD_02399","OMPAEEHE_04016","NHHFDHOA_00796","GEPIEMCB_00055","JCGPGLCM_03052","OHGDDBEJ_01468","APEDILLO_04211","ELELPFCC_00795","DCMJPIDO_01153","HEDGDFAA_02988","GHDKDIHM_00423","FECNONKH_01483"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"JAFODMFN_01679","PBDKJOHP_00271","GJPDLPPO_00776","PLKMKOCD_02374","OMPAEEHE_04041","NHHFDHOA_00771","GEPIEMCB_00080","JCGPGLCM_03027","OHGDDBEJ_01443","APEDILLO_02970","ELELPFCC_00770","DCMJPIDO_01128","HEDGDFAA_02963","GHDKDIHM_00448","FECNONKH_01458"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"JAFODMFN_01680","PBDKJOHP_00272","GJPDLPPO_00775","PLKMKOCD_02373","OMPAEEHE_04042","NHHFDHOA_00770","GEPIEMCB_00081","JCGPGLCM_03026","OHGDDBEJ_01442","APEDILLO_02969","ELELPFCC_00769","DCMJPIDO_01127","HEDGDFAA_02962","GHDKDIHM_00449","FECNONKH_01457"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"JAFODMFN_01681","PBDKJOHP_00273","GJPDLPPO_00774","PLKMKOCD_02372","OMPAEEHE_04043","NHHFDHOA_00769","GEPIEMCB_00082","JCGPGLCM_03025","OHGDDBEJ_01441","APEDILLO_02968","ELELPFCC_00768","DCMJPIDO_01126","HEDGDFAA_02961","GHDKDIHM_00450","FECNONKH_01456"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"JAFODMFN_01696","PBDKJOHP_00288","GJPDLPPO_00759","PLKMKOCD_04089","OMPAEEHE_02337","NHHFDHOA_00754","GEPIEMCB_00097","JCGPGLCM_03565","OHGDDBEJ_01426","APEDILLO_02953","ELELPFCC_00753","DCMJPIDO_01110","HEDGDFAA_03938","GHDKDIHM_02349","FECNONKH_01441"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"JAFODMFN_01706","PBDKJOHP_00298","GJPDLPPO_00749","PLKMKOCD_04079","OMPAEEHE_02347","NHHFDHOA_00744","GEPIEMCB_00107","JCGPGLCM_03575","OHGDDBEJ_01416","APEDILLO_02943","ELELPFCC_00743","DCMJPIDO_01100","HEDGDFAA_03948","GHDKDIHM_02339","FECNONKH_01431"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"JAFODMFN_01708","PBDKJOHP_00300","GJPDLPPO_00747","PLKMKOCD_04133","OMPAEEHE_02349","NHHFDHOA_00742","GEPIEMCB_00109","JCGPGLCM_03577","OHGDDBEJ_01414","APEDILLO_02941","ELELPFCC_00741","DCMJPIDO_01098","HEDGDFAA_04004","GHDKDIHM_02337","FECNONKH_01429"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"JAFODMFN_01733","PBDKJOHP_00325","GJPDLPPO_00722","PLKMKOCD_01211","OMPAEEHE_02374","NHHFDHOA_00717","GEPIEMCB_00134","JCGPGLCM_03602","OHGDDBEJ_01389","APEDILLO_02916","ELELPFCC_00716","DCMJPIDO_01073","HEDGDFAA_04299","GHDKDIHM_02312","FECNONKH_01404"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"JAFODMFN_01737","PBDKJOHP_00329","GJPDLPPO_00718","PLKMKOCD_01207","OMPAEEHE_02378","NHHFDHOA_00713","GEPIEMCB_00138","JCGPGLCM_03606","OHGDDBEJ_01385","APEDILLO_02912","ELELPFCC_00712","DCMJPIDO_01069","HEDGDFAA_04303","GHDKDIHM_02308","FECNONKH_01400"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"JAFODMFN_01747","PBDKJOHP_00339","GJPDLPPO_00708","PLKMKOCD_01197","OMPAEEHE_02388","NHHFDHOA_00703","GEPIEMCB_00148","JCGPGLCM_02875","OHGDDBEJ_01375","APEDILLO_02902","ELELPFCC_00702","DCMJPIDO_01059","HEDGDFAA_02349","GHDKDIHM_02298","FECNONKH_01390"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"JAFODMFN_01748","PBDKJOHP_00340","GJPDLPPO_00707","PLKMKOCD_01196","OMPAEEHE_02389","NHHFDHOA_00702","GEPIEMCB_00149","JCGPGLCM_02874","OHGDDBEJ_01374","APEDILLO_02901","ELELPFCC_00701","DCMJPIDO_01058","HEDGDFAA_02348","GHDKDIHM_02297","FECNONKH_01389"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"JAFODMFN_01767","PBDKJOHP_00359","GJPDLPPO_00688","PLKMKOCD_01177","OMPAEEHE_02408","NHHFDHOA_00683","GEPIEMCB_00168","JCGPGLCM_02855","OHGDDBEJ_01355","APEDILLO_02882","ELELPFCC_00682","DCMJPIDO_01039","HEDGDFAA_02329","GHDKDIHM_02278","FECNONKH_01370"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"JAFODMFN_01782","PBDKJOHP_00374","GJPDLPPO_00673","PLKMKOCD_01162","OMPAEEHE_02423","NHHFDHOA_00668","GEPIEMCB_00183","JCGPGLCM_02840","OHGDDBEJ_01340","APEDILLO_02867","ELELPFCC_00667","DCMJPIDO_01024","HEDGDFAA_02314","GHDKDIHM_02263","FECNONKH_01355"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"JAFODMFN_01796","PBDKJOHP_00388","GJPDLPPO_00659","PLKMKOCD_01148","OMPAEEHE_02437","NHHFDHOA_00654","GEPIEMCB_00197","JCGPGLCM_02826","OHGDDBEJ_01326","APEDILLO_02853","ELELPFCC_00653","DCMJPIDO_01010","HEDGDFAA_02300","GHDKDIHM_02249","FECNONKH_01341"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"JAFODMFN_01808","PBDKJOHP_00400","GJPDLPPO_00647","PLKMKOCD_01136","OMPAEEHE_02449","NHHFDHOA_00642","GEPIEMCB_00209","JCGPGLCM_02814","OHGDDBEJ_01314","APEDILLO_02841","ELELPFCC_00641","DCMJPIDO_00997","HEDGDFAA_03521","GHDKDIHM_02237","FECNONKH_01329"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"JAFODMFN_01814","PBDKJOHP_00406","GJPDLPPO_00641","PLKMKOCD_01130","OMPAEEHE_02455","NHHFDHOA_00636","GEPIEMCB_00215","JCGPGLCM_02808","OHGDDBEJ_01308","APEDILLO_02835","ELELPFCC_00635","DCMJPIDO_00991","HEDGDFAA_03515","GHDKDIHM_02231","FECNONKH_01323"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"JAFODMFN_01815","PBDKJOHP_00407","GJPDLPPO_00640","PLKMKOCD_01129","OMPAEEHE_02456","NHHFDHOA_00635","GEPIEMCB_00216","JCGPGLCM_02807","OHGDDBEJ_01307","APEDILLO_02834","ELELPFCC_00634","DCMJPIDO_00990","HEDGDFAA_03514","GHDKDIHM_02230","FECNONKH_01322"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"JAFODMFN_01818","PBDKJOHP_00410","GJPDLPPO_00637","PLKMKOCD_01126","OMPAEEHE_02459","NHHFDHOA_00632","GEPIEMCB_00219","JCGPGLCM_02804","OHGDDBEJ_01304","APEDILLO_02831","ELELPFCC_00631","DCMJPIDO_00987","HEDGDFAA_03511","GHDKDIHM_02227","FECNONKH_01319"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"JAFODMFN_01824","PBDKJOHP_00416","GJPDLPPO_00631","PLKMKOCD_01120","OMPAEEHE_02465","NHHFDHOA_00626","GEPIEMCB_00225","JCGPGLCM_02798","OHGDDBEJ_01298","APEDILLO_02825","ELELPFCC_00625","DCMJPIDO_00981","HEDGDFAA_03505","GHDKDIHM_02221","FECNONKH_01313"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"JAFODMFN_01825","PBDKJOHP_00417","GJPDLPPO_00630","PLKMKOCD_01119","OMPAEEHE_02466","NHHFDHOA_00625","GEPIEMCB_00226","JCGPGLCM_02797","OHGDDBEJ_01297","APEDILLO_02824","ELELPFCC_00624","DCMJPIDO_00980","HEDGDFAA_03504","GHDKDIHM_02220","FECNONKH_04530"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"JAFODMFN_01949","PBDKJOHP_00547","GJPDLPPO_00500","PLKMKOCD_02771","OMPAEEHE_03822","NHHFDHOA_00495","GEPIEMCB_00356","JCGPGLCM_01883","OHGDDBEJ_01167","APEDILLO_03628","ELELPFCC_00495","DCMJPIDO_00850","HEDGDFAA_03302","GHDKDIHM_03359","FECNONKH_03542"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"JAFODMFN_01950","PBDKJOHP_00548","GJPDLPPO_00499","PLKMKOCD_02770","OMPAEEHE_03821","NHHFDHOA_00494","GEPIEMCB_00357","JCGPGLCM_01884","OHGDDBEJ_01166","APEDILLO_03629","ELELPFCC_00494","DCMJPIDO_00849","HEDGDFAA_03301","GHDKDIHM_03360","FECNONKH_03543"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"JAFODMFN_01953","PBDKJOHP_00551","GJPDLPPO_00496","PLKMKOCD_02767","OMPAEEHE_03818","NHHFDHOA_00491","GEPIEMCB_00360","JCGPGLCM_01887","OHGDDBEJ_01163","APEDILLO_03632","ELELPFCC_00491","DCMJPIDO_00846","HEDGDFAA_03298","GHDKDIHM_03363","FECNONKH_03546"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"JAFODMFN_01955","PBDKJOHP_00553","GJPDLPPO_00494","PLKMKOCD_02765","OMPAEEHE_03816","NHHFDHOA_00489","GEPIEMCB_00362","JCGPGLCM_01889","OHGDDBEJ_01161","APEDILLO_03634","ELELPFCC_00489","DCMJPIDO_00844","HEDGDFAA_03296","GHDKDIHM_03365","FECNONKH_03548"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"JAFODMFN_01960","PBDKJOHP_00558","GJPDLPPO_00489","PLKMKOCD_02760","OMPAEEHE_03811","NHHFDHOA_00484","GEPIEMCB_00367","JCGPGLCM_01894","OHGDDBEJ_01156","APEDILLO_03639","ELELPFCC_00484","DCMJPIDO_00839","HEDGDFAA_03291","GHDKDIHM_03370","FECNONKH_03553"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"JAFODMFN_01998","PBDKJOHP_00596","GJPDLPPO_00451","PLKMKOCD_04379","OMPAEEHE_04642","NHHFDHOA_00446","GEPIEMCB_00405","JCGPGLCM_01932","OHGDDBEJ_01118","APEDILLO_03677","ELELPFCC_00446","DCMJPIDO_00801","HEDGDFAA_04264","GHDKDIHM_03408","FECNONKH_04428"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"JAFODMFN_03884","PBDKJOHP_01999","GJPDLPPO_03278","PLKMKOCD_02137","OMPAEEHE_01238","NHHFDHOA_01088","GEPIEMCB_00412","JCGPGLCM_01376","OHGDDBEJ_02497","APEDILLO_02786","ELELPFCC_02784","DCMJPIDO_00794","HEDGDFAA_03406","GHDKDIHM_01853","FECNONKH_04081"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"JAFODMFN_03874","PBDKJOHP_02009","GJPDLPPO_03288","PLKMKOCD_02127","OMPAEEHE_01248","NHHFDHOA_01098","GEPIEMCB_00422","JCGPGLCM_01366","OHGDDBEJ_02487","APEDILLO_02776","ELELPFCC_02794","DCMJPIDO_00784","HEDGDFAA_03416","GHDKDIHM_01843","FECNONKH_04091"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"JAFODMFN_03867","PBDKJOHP_02016","GJPDLPPO_03295","PLKMKOCD_02120","OMPAEEHE_01255","NHHFDHOA_01105","GEPIEMCB_00429","JCGPGLCM_01359","OHGDDBEJ_02480","APEDILLO_02769","ELELPFCC_02801","DCMJPIDO_00777","HEDGDFAA_03423","GHDKDIHM_01836","FECNONKH_04098"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"JAFODMFN_03859","PBDKJOHP_02024","GJPDLPPO_03303","PLKMKOCD_02112","OMPAEEHE_01263","NHHFDHOA_01113","GEPIEMCB_00437","JCGPGLCM_01351","OHGDDBEJ_02472","APEDILLO_02761","ELELPFCC_02809","DCMJPIDO_00769","HEDGDFAA_03431","GHDKDIHM_01828","FECNONKH_04106"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"JAFODMFN_03823","PBDKJOHP_02060","GJPDLPPO_03339","PLKMKOCD_02076","OMPAEEHE_01299","NHHFDHOA_01149","GEPIEMCB_00473","JCGPGLCM_01315","OHGDDBEJ_02436","APEDILLO_02725","ELELPFCC_02845","DCMJPIDO_00733","HEDGDFAA_00798","GHDKDIHM_01792","FECNONKH_04142"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"JAFODMFN_03793","PBDKJOHP_02090","GJPDLPPO_03369","PLKMKOCD_00634","OMPAEEHE_01329","NHHFDHOA_01179","GEPIEMCB_00503","JCGPGLCM_01285","OHGDDBEJ_02406","APEDILLO_02695","ELELPFCC_02875","DCMJPIDO_00703","HEDGDFAA_00768","GHDKDIHM_01762","FECNONKH_00818"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"JAFODMFN_03787","PBDKJOHP_02096","GJPDLPPO_03375","PLKMKOCD_00640","OMPAEEHE_01335","NHHFDHOA_01185","GEPIEMCB_00509","JCGPGLCM_01279","OHGDDBEJ_02400","APEDILLO_02689","ELELPFCC_02881","DCMJPIDO_00697","HEDGDFAA_00762","GHDKDIHM_01756","FECNONKH_00824"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"JAFODMFN_03786","PBDKJOHP_02097","GJPDLPPO_03376","PLKMKOCD_00641","OMPAEEHE_01336","NHHFDHOA_01186","GEPIEMCB_00510","JCGPGLCM_01278","OHGDDBEJ_02399","APEDILLO_02688","ELELPFCC_02882","DCMJPIDO_00696","HEDGDFAA_00761","GHDKDIHM_01755","FECNONKH_00825"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"JAFODMFN_04102","PBDKJOHP_02127","GJPDLPPO_02466","PLKMKOCD_00671","OMPAEEHE_01366","NHHFDHOA_01217","GEPIEMCB_00541","JCGPGLCM_01247","OHGDDBEJ_02368","APEDILLO_02657","ELELPFCC_02913","DCMJPIDO_03808","HEDGDFAA_00731","GHDKDIHM_01724","FECNONKH_00856"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"JAFODMFN_04100","PBDKJOHP_02129","GJPDLPPO_02464","PLKMKOCD_00673","OMPAEEHE_01368","NHHFDHOA_01219","GEPIEMCB_00543","JCGPGLCM_01245","OHGDDBEJ_02366","APEDILLO_02655","ELELPFCC_02915","DCMJPIDO_03806","HEDGDFAA_00729","GHDKDIHM_01722","FECNONKH_00858"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"JAFODMFN_04094","PBDKJOHP_02135","GJPDLPPO_02458","PLKMKOCD_00679","OMPAEEHE_01374","NHHFDHOA_01225","GEPIEMCB_00549","JCGPGLCM_01239","OHGDDBEJ_02360","APEDILLO_02649","ELELPFCC_02921","DCMJPIDO_03800","HEDGDFAA_00723","GHDKDIHM_01716","FECNONKH_00864"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"JAFODMFN_04087","PBDKJOHP_02142","GJPDLPPO_02451","PLKMKOCD_00686","OMPAEEHE_01381","NHHFDHOA_01232","GEPIEMCB_00556","JCGPGLCM_01232","OHGDDBEJ_02353","APEDILLO_02642","ELELPFCC_02928","DCMJPIDO_03793","HEDGDFAA_00716","GHDKDIHM_01709","FECNONKH_00871"
"cho","","Excinuclease cho",581,581,1,1,5337,NA,NA,"",881,908,881,"JAFODMFN_04083","PBDKJOHP_02146","GJPDLPPO_02447","PLKMKOCD_00690","OMPAEEHE_01385","NHHFDHOA_01236","GEPIEMCB_00560","JCGPGLCM_01228","OHGDDBEJ_02349","APEDILLO_02638","ELELPFCC_02932","DCMJPIDO_03789","HEDGDFAA_00712","GHDKDIHM_01705","FECNONKH_00875"
