"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","NDSU10","SRR6310053","SRR3037435","SRR3097528","SRR15146546","SRR980326","SRR15146530","SRR8137073","SRR14766361","SRR14766414","SRR17585407","SRR5905513","NDSU12","SRR14766337","SRR27708427"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"PGKCJFEA_01818","DNOEEKHJ_01189","CKPEMOEN_00108","ALLEBCBP_00349","NAPOKNNJ_00637","ICDMIJBP_01381","MNLBAKIA_01897","JJPGFOPI_01917","MGNDMLEC_00593","CBFLKJKM_00108","MAIOMPIG_01899","JLGLOGEO_00361","KMJDPIGG_00107","FHGKKJNF_02221","LBMEENEJ_04300"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"PGKCJFEA_01816","DNOEEKHJ_01191","CKPEMOEN_00110","ALLEBCBP_00351","NAPOKNNJ_00635","ICDMIJBP_01379","MNLBAKIA_01895","JJPGFOPI_01915","MGNDMLEC_00595","CBFLKJKM_00110","MAIOMPIG_01897","JLGLOGEO_00363","KMJDPIGG_00109","FHGKKJNF_02219","LBMEENEJ_04298"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"PGKCJFEA_00725","DNOEEKHJ_01216","CKPEMOEN_00135","ALLEBCBP_00376","NAPOKNNJ_00610","ICDMIJBP_01354","MNLBAKIA_01870","JJPGFOPI_02252","MGNDMLEC_00620","CBFLKJKM_00135","MAIOMPIG_01872","JLGLOGEO_00388","KMJDPIGG_00134","FHGKKJNF_02194","LBMEENEJ_04284"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"PGKCJFEA_00721","DNOEEKHJ_01220","CKPEMOEN_00139","ALLEBCBP_00380","NAPOKNNJ_00606","ICDMIJBP_01350","MNLBAKIA_01866","JJPGFOPI_02248","MGNDMLEC_00624","CBFLKJKM_00139","MAIOMPIG_01868","JLGLOGEO_00392","KMJDPIGG_00138","FHGKKJNF_02190","LBMEENEJ_04288"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"PGKCJFEA_00711","DNOEEKHJ_01230","CKPEMOEN_00149","ALLEBCBP_00390","NAPOKNNJ_00596","ICDMIJBP_01340","MNLBAKIA_01856","JJPGFOPI_02238","MGNDMLEC_00634","CBFLKJKM_00149","MAIOMPIG_01858","JLGLOGEO_00402","KMJDPIGG_00148","FHGKKJNF_03304","LBMEENEJ_00896"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"PGKCJFEA_00710","DNOEEKHJ_01231","CKPEMOEN_00150","ALLEBCBP_00391","NAPOKNNJ_00595","ICDMIJBP_01339","MNLBAKIA_01855","JJPGFOPI_02237","MGNDMLEC_00635","CBFLKJKM_00150","MAIOMPIG_01857","JLGLOGEO_00403","KMJDPIGG_00149","FHGKKJNF_03303","LBMEENEJ_00897"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"PGKCJFEA_00691","DNOEEKHJ_01250","CKPEMOEN_00169","ALLEBCBP_00410","NAPOKNNJ_00576","ICDMIJBP_01320","MNLBAKIA_01836","JJPGFOPI_02218","MGNDMLEC_00654","CBFLKJKM_00169","MAIOMPIG_01838","JLGLOGEO_00422","KMJDPIGG_00168","FHGKKJNF_03284","LBMEENEJ_00916"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"PGKCJFEA_00676","DNOEEKHJ_01265","CKPEMOEN_00184","ALLEBCBP_00425","NAPOKNNJ_00561","ICDMIJBP_01305","MNLBAKIA_01821","JJPGFOPI_02203","MGNDMLEC_00669","CBFLKJKM_00184","MAIOMPIG_01823","JLGLOGEO_00437","KMJDPIGG_00183","FHGKKJNF_03705","LBMEENEJ_00931"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"PGKCJFEA_00662","DNOEEKHJ_01279","CKPEMOEN_00198","ALLEBCBP_00439","NAPOKNNJ_00547","ICDMIJBP_01291","MNLBAKIA_01807","JJPGFOPI_02189","MGNDMLEC_00683","CBFLKJKM_00198","MAIOMPIG_01809","JLGLOGEO_00451","KMJDPIGG_00197","FHGKKJNF_03691","LBMEENEJ_00945"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"PGKCJFEA_00650","DNOEEKHJ_01291","CKPEMOEN_00210","ALLEBCBP_00451","NAPOKNNJ_00535","ICDMIJBP_01279","MNLBAKIA_01795","JJPGFOPI_02177","MGNDMLEC_00695","CBFLKJKM_00210","MAIOMPIG_01797","JLGLOGEO_00463","KMJDPIGG_00209","FHGKKJNF_03236","LBMEENEJ_00957"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"PGKCJFEA_00644","DNOEEKHJ_01297","CKPEMOEN_00216","ALLEBCBP_00457","NAPOKNNJ_00529","ICDMIJBP_01273","MNLBAKIA_01789","JJPGFOPI_02171","MGNDMLEC_00701","CBFLKJKM_00216","MAIOMPIG_01791","JLGLOGEO_00469","KMJDPIGG_00215","FHGKKJNF_03230","LBMEENEJ_00963"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"PGKCJFEA_00643","DNOEEKHJ_01298","CKPEMOEN_00217","ALLEBCBP_00458","NAPOKNNJ_00528","ICDMIJBP_01272","MNLBAKIA_01788","JJPGFOPI_02170","MGNDMLEC_00702","CBFLKJKM_00217","MAIOMPIG_01790","JLGLOGEO_00470","KMJDPIGG_00216","FHGKKJNF_03229","LBMEENEJ_00964"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"PGKCJFEA_00640","DNOEEKHJ_01301","CKPEMOEN_00220","ALLEBCBP_00461","NAPOKNNJ_00525","ICDMIJBP_01269","MNLBAKIA_01785","JJPGFOPI_02167","MGNDMLEC_00705","CBFLKJKM_00220","MAIOMPIG_01787","JLGLOGEO_00473","KMJDPIGG_00219","FHGKKJNF_03226","LBMEENEJ_00967"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"PGKCJFEA_00634","DNOEEKHJ_01307","CKPEMOEN_00226","ALLEBCBP_00467","NAPOKNNJ_00519","ICDMIJBP_01263","MNLBAKIA_01779","JJPGFOPI_02161","MGNDMLEC_00711","CBFLKJKM_00226","MAIOMPIG_01781","JLGLOGEO_00479","KMJDPIGG_00225","FHGKKJNF_03220","LBMEENEJ_00973"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"PGKCJFEA_00633","DNOEEKHJ_01308","CKPEMOEN_00227","ALLEBCBP_00468","NAPOKNNJ_00518","ICDMIJBP_01262","MNLBAKIA_01778","JJPGFOPI_02160","MGNDMLEC_00712","CBFLKJKM_00227","MAIOMPIG_01780","JLGLOGEO_00480","KMJDPIGG_00226","FHGKKJNF_03219","LBMEENEJ_00974"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"PGKCJFEA_03320","DNOEEKHJ_01437","CKPEMOEN_00357","ALLEBCBP_00598","NAPOKNNJ_00388","ICDMIJBP_01132","MNLBAKIA_01648","JJPGFOPI_02652","MGNDMLEC_00842","CBFLKJKM_00357","MAIOMPIG_01649","JLGLOGEO_03451","KMJDPIGG_00356","FHGKKJNF_01221","LBMEENEJ_03009"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"PGKCJFEA_03321","DNOEEKHJ_01438","CKPEMOEN_00358","ALLEBCBP_00599","NAPOKNNJ_00387","ICDMIJBP_01131","MNLBAKIA_01647","JJPGFOPI_02651","MGNDMLEC_00843","CBFLKJKM_00358","MAIOMPIG_01648","JLGLOGEO_03452","KMJDPIGG_00357","FHGKKJNF_01220","LBMEENEJ_03008"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"PGKCJFEA_03324","DNOEEKHJ_01441","CKPEMOEN_00361","ALLEBCBP_00602","NAPOKNNJ_00384","ICDMIJBP_01128","MNLBAKIA_01644","JJPGFOPI_02648","MGNDMLEC_00846","CBFLKJKM_00361","MAIOMPIG_01645","JLGLOGEO_03455","KMJDPIGG_00360","FHGKKJNF_01217","LBMEENEJ_03005"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"PGKCJFEA_03326","DNOEEKHJ_01443","CKPEMOEN_00363","ALLEBCBP_00604","NAPOKNNJ_00382","ICDMIJBP_01126","MNLBAKIA_01642","JJPGFOPI_02646","MGNDMLEC_00848","CBFLKJKM_00363","MAIOMPIG_01643","JLGLOGEO_03457","KMJDPIGG_00362","FHGKKJNF_01215","LBMEENEJ_03003"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"PGKCJFEA_03331","DNOEEKHJ_01448","CKPEMOEN_00368","ALLEBCBP_00609","NAPOKNNJ_00377","ICDMIJBP_01121","MNLBAKIA_01637","JJPGFOPI_02641","MGNDMLEC_00853","CBFLKJKM_00368","MAIOMPIG_01638","JLGLOGEO_03462","KMJDPIGG_00367","FHGKKJNF_01210","LBMEENEJ_02998"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"PGKCJFEA_03134","DNOEEKHJ_01486","CKPEMOEN_00406","ALLEBCBP_04409","NAPOKNNJ_00339","ICDMIJBP_01083","MNLBAKIA_01599","JJPGFOPI_02603","MGNDMLEC_00891","CBFLKJKM_00406","MAIOMPIG_01599","JLGLOGEO_03500","KMJDPIGG_00405","FHGKKJNF_04354","LBMEENEJ_02960"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"PGKCJFEA_03141","DNOEEKHJ_02835","CKPEMOEN_02675","ALLEBCBP_01772","NAPOKNNJ_00332","ICDMIJBP_02836","MNLBAKIA_03063","JJPGFOPI_03691","MGNDMLEC_02996","CBFLKJKM_02496","MAIOMPIG_03391","JLGLOGEO_01042","KMJDPIGG_00412","FHGKKJNF_02183","LBMEENEJ_01257"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"PGKCJFEA_03151","DNOEEKHJ_02825","CKPEMOEN_02665","ALLEBCBP_01762","NAPOKNNJ_00322","ICDMIJBP_02826","MNLBAKIA_03073","JJPGFOPI_03681","MGNDMLEC_02986","CBFLKJKM_02486","MAIOMPIG_03381","JLGLOGEO_01052","KMJDPIGG_00422","FHGKKJNF_02173","LBMEENEJ_01267"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"PGKCJFEA_03158","DNOEEKHJ_02818","CKPEMOEN_02658","ALLEBCBP_01755","NAPOKNNJ_00315","ICDMIJBP_02819","MNLBAKIA_03080","JJPGFOPI_03674","MGNDMLEC_02979","CBFLKJKM_02479","MAIOMPIG_03374","JLGLOGEO_01059","KMJDPIGG_00429","FHGKKJNF_02166","LBMEENEJ_01274"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"PGKCJFEA_04524","DNOEEKHJ_02810","CKPEMOEN_02650","ALLEBCBP_01747","NAPOKNNJ_00307","ICDMIJBP_02811","MNLBAKIA_03088","JJPGFOPI_03666","MGNDMLEC_02971","CBFLKJKM_02471","MAIOMPIG_03366","JLGLOGEO_01067","KMJDPIGG_00437","FHGKKJNF_02158","LBMEENEJ_01282"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"PGKCJFEA_02322","DNOEEKHJ_02774","CKPEMOEN_02614","ALLEBCBP_01711","NAPOKNNJ_00271","ICDMIJBP_02775","MNLBAKIA_03124","JJPGFOPI_03630","MGNDMLEC_02935","CBFLKJKM_02435","MAIOMPIG_03330","JLGLOGEO_01103","KMJDPIGG_00473","FHGKKJNF_02122","LBMEENEJ_01318"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"PGKCJFEA_02352","DNOEEKHJ_02744","CKPEMOEN_02584","ALLEBCBP_01681","NAPOKNNJ_00241","ICDMIJBP_02745","MNLBAKIA_03154","JJPGFOPI_01874","MGNDMLEC_02905","CBFLKJKM_02405","MAIOMPIG_03300","JLGLOGEO_01133","KMJDPIGG_00503","FHGKKJNF_00948","LBMEENEJ_01348"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"PGKCJFEA_02358","DNOEEKHJ_02738","CKPEMOEN_02578","ALLEBCBP_01675","NAPOKNNJ_00235","ICDMIJBP_02738","MNLBAKIA_03160","JJPGFOPI_01868","MGNDMLEC_02899","CBFLKJKM_02399","MAIOMPIG_03294","JLGLOGEO_01139","KMJDPIGG_00509","FHGKKJNF_00954","LBMEENEJ_01354"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"PGKCJFEA_02359","DNOEEKHJ_02737","CKPEMOEN_02577","ALLEBCBP_01674","NAPOKNNJ_00234","ICDMIJBP_02737","MNLBAKIA_03161","JJPGFOPI_01867","MGNDMLEC_02898","CBFLKJKM_02398","MAIOMPIG_03293","JLGLOGEO_01140","KMJDPIGG_00510","FHGKKJNF_00955","LBMEENEJ_01355"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"PGKCJFEA_02390","DNOEEKHJ_02706","CKPEMOEN_02546","ALLEBCBP_01644","NAPOKNNJ_00203","ICDMIJBP_02706","MNLBAKIA_03192","JJPGFOPI_01837","MGNDMLEC_02867","CBFLKJKM_02367","MAIOMPIG_03262","JLGLOGEO_01171","KMJDPIGG_00541","FHGKKJNF_00985","LBMEENEJ_01385"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"PGKCJFEA_02392","DNOEEKHJ_02704","CKPEMOEN_02544","ALLEBCBP_01642","NAPOKNNJ_00201","ICDMIJBP_02704","MNLBAKIA_03194","JJPGFOPI_01835","MGNDMLEC_02865","CBFLKJKM_02365","MAIOMPIG_03260","JLGLOGEO_01173","KMJDPIGG_00543","FHGKKJNF_00987","LBMEENEJ_01387"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"PGKCJFEA_02398","DNOEEKHJ_02698","CKPEMOEN_02538","ALLEBCBP_01636","NAPOKNNJ_00195","ICDMIJBP_02698","MNLBAKIA_03200","JJPGFOPI_01829","MGNDMLEC_02859","CBFLKJKM_02359","MAIOMPIG_03254","JLGLOGEO_01179","KMJDPIGG_00549","FHGKKJNF_00993","LBMEENEJ_01393"
