"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR28262169","SRR14766389","SRR10257879","SRR1299304","NDSU1","SRR28323368","SRR3000888","SRR9016907","SRR14766457","SRR14766402","SRR14766350","SRR19512134","NDSU22","SRR3037436","SRR27779118"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"ANCOLAMI_04572","JNEDFIJH_03256","OBCHFKCE_04161","NEANDPFB_04515","GEPIEMCB_04536","FCMCIBEK_04574","HAJGLMEJ_04224","BONMBINM_04394","GIBMOCCN_04590","IEMKGCAE_04427","KNJLKBEO_04170","NHCEEELK_04466","DLEGJOHP_04343","PEJBPJLM_04521","KJDDDPDM_04403"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"ANCOLAMI_04569","JNEDFIJH_03253","OBCHFKCE_04164","NEANDPFB_04512","GEPIEMCB_04539","FCMCIBEK_04571","HAJGLMEJ_04227","BONMBINM_04391","GIBMOCCN_04295","IEMKGCAE_04424","KNJLKBEO_04167","NHCEEELK_04463","DLEGJOHP_04340","PEJBPJLM_04518","KJDDDPDM_04406"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"ANCOLAMI_04548","JNEDFIJH_03232","OBCHFKCE_04185","NEANDPFB_04491","GEPIEMCB_04560","FCMCIBEK_04550","HAJGLMEJ_04248","BONMBINM_04370","GIBMOCCN_04316","IEMKGCAE_04403","KNJLKBEO_04146","NHCEEELK_04442","DLEGJOHP_04319","PEJBPJLM_04497","KJDDDPDM_04427"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"ANCOLAMI_04502","JNEDFIJH_03284","OBCHFKCE_03960","NEANDPFB_00750","GEPIEMCB_04602","FCMCIBEK_04505","HAJGLMEJ_04107","BONMBINM_03037","GIBMOCCN_03891","IEMKGCAE_04362","KNJLKBEO_04105","NHCEEELK_04496","DLEGJOHP_04415","PEJBPJLM_04551","KJDDDPDM_04511"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"ANCOLAMI_04601","JNEDFIJH_04342","OBCHFKCE_04538","NEANDPFB_04614","GEPIEMCB_04720","FCMCIBEK_04581","HAJGLMEJ_04373","BONMBINM_04401","GIBMOCCN_04357","IEMKGCAE_04503","KNJLKBEO_04581","NHCEEELK_04636","DLEGJOHP_04489","PEJBPJLM_04602","KJDDDPDM_04585"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"ANCOLAMI_01337","JNEDFIJH_00904","OBCHFKCE_02674","NEANDPFB_01339","GEPIEMCB_01338","FCMCIBEK_00818","HAJGLMEJ_00341","BONMBINM_00486","GIBMOCCN_01609","IEMKGCAE_00597","KNJLKBEO_03038","NHCEEELK_00074","DLEGJOHP_01341","PEJBPJLM_00074","KJDDDPDM_00815"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"ANCOLAMI_02333","JNEDFIJH_04222","OBCHFKCE_03323","NEANDPFB_02371","GEPIEMCB_02412","FCMCIBEK_01864","HAJGLMEJ_03988","BONMBINM_04001","GIBMOCCN_04475","IEMKGCAE_02320","KNJLKBEO_03807","NHCEEELK_01589","DLEGJOHP_01850","PEJBPJLM_01164","KJDDDPDM_01782"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"ANCOLAMI_01234","JNEDFIJH_02927","OBCHFKCE_03882","NEANDPFB_01442","GEPIEMCB_01235","FCMCIBEK_00921","HAJGLMEJ_00238","BONMBINM_00589","GIBMOCCN_01712","IEMKGCAE_00494","KNJLKBEO_02872","NHCEEELK_00177","DLEGJOHP_01238","PEJBPJLM_00178","KJDDDPDM_00918"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"ANCOLAMI_00696","JNEDFIJH_02977","OBCHFKCE_04115","NEANDPFB_00677","GEPIEMCB_00047","FCMCIBEK_00048","HAJGLMEJ_03861","BONMBINM_02452","GIBMOCCN_03711","IEMKGCAE_03647","KNJLKBEO_00360","NHCEEELK_02057","DLEGJOHP_00047","PEJBPJLM_01960","KJDDDPDM_00696"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"ANCOLAMI_00692","JNEDFIJH_02981","OBCHFKCE_04111","NEANDPFB_00673","GEPIEMCB_00051","FCMCIBEK_00052","HAJGLMEJ_03865","BONMBINM_02456","GIBMOCCN_03707","IEMKGCAE_03651","KNJLKBEO_00356","NHCEEELK_02061","DLEGJOHP_00051","PEJBPJLM_01956","KJDDDPDM_00692"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"ANCOLAMI_00689","JNEDFIJH_02984","OBCHFKCE_04108","NEANDPFB_00670","GEPIEMCB_00054","FCMCIBEK_00055","HAJGLMEJ_03868","BONMBINM_02459","GIBMOCCN_03704","IEMKGCAE_03654","KNJLKBEO_00353","NHCEEELK_02064","DLEGJOHP_00054","PEJBPJLM_01953","KJDDDPDM_00689"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"ANCOLAMI_00688","JNEDFIJH_02985","OBCHFKCE_04107","NEANDPFB_00669","GEPIEMCB_00055","FCMCIBEK_00056","HAJGLMEJ_03869","BONMBINM_02460","GIBMOCCN_03703","IEMKGCAE_03655","KNJLKBEO_00352","NHCEEELK_02065","DLEGJOHP_00055","PEJBPJLM_01952","KJDDDPDM_00688"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"ANCOLAMI_00663","JNEDFIJH_03010","OBCHFKCE_04082","NEANDPFB_00644","GEPIEMCB_00080","FCMCIBEK_00081","HAJGLMEJ_03894","BONMBINM_02485","GIBMOCCN_03678","IEMKGCAE_03680","KNJLKBEO_00327","NHCEEELK_02090","DLEGJOHP_00080","PEJBPJLM_01927","KJDDDPDM_00663"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"ANCOLAMI_00662","JNEDFIJH_03011","OBCHFKCE_04081","NEANDPFB_00643","GEPIEMCB_00081","FCMCIBEK_00082","HAJGLMEJ_03895","BONMBINM_02486","GIBMOCCN_03677","IEMKGCAE_03681","KNJLKBEO_00326","NHCEEELK_02091","DLEGJOHP_00081","PEJBPJLM_01926","KJDDDPDM_00662"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"ANCOLAMI_00661","JNEDFIJH_03012","OBCHFKCE_04080","NEANDPFB_00642","GEPIEMCB_00082","FCMCIBEK_00083","HAJGLMEJ_03896","BONMBINM_02487","GIBMOCCN_03676","IEMKGCAE_03682","KNJLKBEO_00325","NHCEEELK_02092","DLEGJOHP_00082","PEJBPJLM_01925","KJDDDPDM_00661"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"ANCOLAMI_00646","JNEDFIJH_03856","OBCHFKCE_02325","NEANDPFB_00627","GEPIEMCB_00097","FCMCIBEK_00098","HAJGLMEJ_02838","BONMBINM_02502","GIBMOCCN_02651","IEMKGCAE_03697","KNJLKBEO_00310","NHCEEELK_02107","DLEGJOHP_00097","PEJBPJLM_01910","KJDDDPDM_00646"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"ANCOLAMI_00636","JNEDFIJH_03866","OBCHFKCE_02315","NEANDPFB_00617","GEPIEMCB_00107","FCMCIBEK_00108","HAJGLMEJ_02828","BONMBINM_02512","GIBMOCCN_02661","IEMKGCAE_03707","KNJLKBEO_00300","NHCEEELK_02117","DLEGJOHP_00107","PEJBPJLM_01900","KJDDDPDM_00636"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"ANCOLAMI_00634","JNEDFIJH_03868","OBCHFKCE_02313","NEANDPFB_00615","GEPIEMCB_00109","FCMCIBEK_00110","HAJGLMEJ_02826","BONMBINM_02514","GIBMOCCN_02663","IEMKGCAE_03709","KNJLKBEO_00298","NHCEEELK_02119","DLEGJOHP_00109","PEJBPJLM_01898","KJDDDPDM_00634"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"ANCOLAMI_00609","JNEDFIJH_04443","OBCHFKCE_02288","NEANDPFB_00590","GEPIEMCB_00134","FCMCIBEK_00135","HAJGLMEJ_02801","BONMBINM_02539","GIBMOCCN_02688","IEMKGCAE_02600","KNJLKBEO_00273","NHCEEELK_02144","DLEGJOHP_00134","PEJBPJLM_01873","KJDDDPDM_00609"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"ANCOLAMI_00605","JNEDFIJH_04447","OBCHFKCE_02284","NEANDPFB_00586","GEPIEMCB_00138","FCMCIBEK_00139","HAJGLMEJ_02797","BONMBINM_02543","GIBMOCCN_02692","IEMKGCAE_02596","KNJLKBEO_00269","NHCEEELK_02148","DLEGJOHP_00138","PEJBPJLM_01869","KJDDDPDM_00605"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"ANCOLAMI_00595","JNEDFIJH_03535","OBCHFKCE_02274","NEANDPFB_00576","GEPIEMCB_00148","FCMCIBEK_00149","HAJGLMEJ_02787","BONMBINM_02553","GIBMOCCN_02702","IEMKGCAE_02586","KNJLKBEO_00259","NHCEEELK_02158","DLEGJOHP_00148","PEJBPJLM_01859","KJDDDPDM_00595"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"ANCOLAMI_00594","JNEDFIJH_03534","OBCHFKCE_02273","NEANDPFB_00575","GEPIEMCB_00149","FCMCIBEK_00150","HAJGLMEJ_02786","BONMBINM_02554","GIBMOCCN_02703","IEMKGCAE_02585","KNJLKBEO_00258","NHCEEELK_02159","DLEGJOHP_00149","PEJBPJLM_01858","KJDDDPDM_00594"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"ANCOLAMI_00575","JNEDFIJH_03515","OBCHFKCE_02254","NEANDPFB_00556","GEPIEMCB_00168","FCMCIBEK_00169","HAJGLMEJ_02767","BONMBINM_02573","GIBMOCCN_02722","IEMKGCAE_02566","KNJLKBEO_00239","NHCEEELK_02178","DLEGJOHP_00168","PEJBPJLM_01839","KJDDDPDM_00575"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"ANCOLAMI_00560","JNEDFIJH_03840","OBCHFKCE_02239","NEANDPFB_00541","GEPIEMCB_00183","FCMCIBEK_00184","HAJGLMEJ_02752","BONMBINM_03584","GIBMOCCN_02737","IEMKGCAE_02551","KNJLKBEO_00224","NHCEEELK_02193","DLEGJOHP_00183","PEJBPJLM_01824","KJDDDPDM_00560"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"ANCOLAMI_00546","JNEDFIJH_03826","OBCHFKCE_02225","NEANDPFB_00527","GEPIEMCB_00197","FCMCIBEK_00198","HAJGLMEJ_02738","BONMBINM_03598","GIBMOCCN_02751","IEMKGCAE_02537","KNJLKBEO_00210","NHCEEELK_02207","DLEGJOHP_00197","PEJBPJLM_01810","KJDDDPDM_00546"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"ANCOLAMI_00534","JNEDFIJH_03423","OBCHFKCE_02213","NEANDPFB_00515","GEPIEMCB_00209","FCMCIBEK_00210","HAJGLMEJ_02726","BONMBINM_03610","GIBMOCCN_02763","IEMKGCAE_02525","KNJLKBEO_00198","NHCEEELK_02219","DLEGJOHP_00209","PEJBPJLM_01798","KJDDDPDM_00534"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"ANCOLAMI_00528","JNEDFIJH_03417","OBCHFKCE_02207","NEANDPFB_00509","GEPIEMCB_00215","FCMCIBEK_00216","HAJGLMEJ_02720","BONMBINM_03616","GIBMOCCN_02769","IEMKGCAE_02519","KNJLKBEO_00192","NHCEEELK_02225","DLEGJOHP_00215","PEJBPJLM_01792","KJDDDPDM_00528"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"ANCOLAMI_00527","JNEDFIJH_03416","OBCHFKCE_02206","NEANDPFB_00508","GEPIEMCB_00216","FCMCIBEK_00217","HAJGLMEJ_02719","BONMBINM_03617","GIBMOCCN_02770","IEMKGCAE_02518","KNJLKBEO_00191","NHCEEELK_02226","DLEGJOHP_00216","PEJBPJLM_01791","KJDDDPDM_00527"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"ANCOLAMI_00524","JNEDFIJH_03413","OBCHFKCE_02203","NEANDPFB_00505","GEPIEMCB_00219","FCMCIBEK_00220","HAJGLMEJ_02716","BONMBINM_03620","GIBMOCCN_02773","IEMKGCAE_02515","KNJLKBEO_00188","NHCEEELK_02229","DLEGJOHP_00219","PEJBPJLM_01788","KJDDDPDM_00524"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"ANCOLAMI_00518","JNEDFIJH_03407","OBCHFKCE_02197","NEANDPFB_00499","GEPIEMCB_00225","FCMCIBEK_00226","HAJGLMEJ_01996","BONMBINM_03626","GIBMOCCN_02779","IEMKGCAE_02509","KNJLKBEO_00182","NHCEEELK_02235","DLEGJOHP_00225","PEJBPJLM_01782","KJDDDPDM_00518"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"ANCOLAMI_00517","JNEDFIJH_03406","OBCHFKCE_02196","NEANDPFB_00498","GEPIEMCB_00226","FCMCIBEK_00227","HAJGLMEJ_01995","BONMBINM_03627","GIBMOCCN_02780","IEMKGCAE_02508","KNJLKBEO_00181","NHCEEELK_02236","DLEGJOHP_00226","PEJBPJLM_01781","KJDDDPDM_00517"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"ANCOLAMI_00388","JNEDFIJH_02148","OBCHFKCE_01814","NEANDPFB_00392","GEPIEMCB_00356","FCMCIBEK_00357","HAJGLMEJ_01865","BONMBINM_03740","GIBMOCCN_02275","IEMKGCAE_02378","KNJLKBEO_00051","NHCEEELK_02367","DLEGJOHP_00356","PEJBPJLM_01651","KJDDDPDM_00387"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"ANCOLAMI_00387","JNEDFIJH_02149","OBCHFKCE_01815","NEANDPFB_00391","GEPIEMCB_00357","FCMCIBEK_00358","HAJGLMEJ_01864","BONMBINM_03739","GIBMOCCN_02276","IEMKGCAE_02377","KNJLKBEO_00050","NHCEEELK_02368","DLEGJOHP_00357","PEJBPJLM_01650","KJDDDPDM_00386"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"ANCOLAMI_00384","JNEDFIJH_02152","OBCHFKCE_01818","NEANDPFB_00388","GEPIEMCB_00360","FCMCIBEK_00361","HAJGLMEJ_01861","BONMBINM_03736","GIBMOCCN_02279","IEMKGCAE_02374","KNJLKBEO_00047","NHCEEELK_02371","DLEGJOHP_00360","PEJBPJLM_01647","KJDDDPDM_00383"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"ANCOLAMI_00382","JNEDFIJH_02154","OBCHFKCE_01820","NEANDPFB_00386","GEPIEMCB_00362","FCMCIBEK_00363","HAJGLMEJ_01859","BONMBINM_03734","GIBMOCCN_02281","IEMKGCAE_02372","KNJLKBEO_00045","NHCEEELK_02373","DLEGJOHP_00362","PEJBPJLM_01645","KJDDDPDM_00381"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"ANCOLAMI_00377","JNEDFIJH_02159","OBCHFKCE_01825","NEANDPFB_00381","GEPIEMCB_00367","FCMCIBEK_00368","HAJGLMEJ_01854","BONMBINM_03729","GIBMOCCN_02286","IEMKGCAE_02367","KNJLKBEO_00040","NHCEEELK_02378","DLEGJOHP_00367","PEJBPJLM_01640","KJDDDPDM_00376"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"ANCOLAMI_00339","JNEDFIJH_02197","OBCHFKCE_01863","NEANDPFB_00343","GEPIEMCB_00405","FCMCIBEK_00406","HAJGLMEJ_01816","BONMBINM_03691","GIBMOCCN_02324","IEMKGCAE_02329","KNJLKBEO_00002","NHCEEELK_02416","DLEGJOHP_00405","PEJBPJLM_01602","KJDDDPDM_00338"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"ANCOLAMI_00332","JNEDFIJH_00838","OBCHFKCE_01518","NEANDPFB_00336","GEPIEMCB_00412","FCMCIBEK_00413","HAJGLMEJ_03664","BONMBINM_00739","GIBMOCCN_00359","IEMKGCAE_01726","KNJLKBEO_01601","NHCEEELK_03441","DLEGJOHP_00412","PEJBPJLM_03066","KJDDDPDM_00331"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"ANCOLAMI_00322","JNEDFIJH_00828","OBCHFKCE_01508","NEANDPFB_00326","GEPIEMCB_00422","FCMCIBEK_00423","HAJGLMEJ_03654","BONMBINM_00749","GIBMOCCN_00369","IEMKGCAE_01736","KNJLKBEO_01611","NHCEEELK_03431","DLEGJOHP_00422","PEJBPJLM_03056","KJDDDPDM_00321"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"ANCOLAMI_00315","JNEDFIJH_00821","OBCHFKCE_01501","NEANDPFB_00319","GEPIEMCB_00429","FCMCIBEK_00430","HAJGLMEJ_03647","BONMBINM_00756","GIBMOCCN_00376","IEMKGCAE_01743","KNJLKBEO_01618","NHCEEELK_03424","DLEGJOHP_00429","PEJBPJLM_03049","KJDDDPDM_00314"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"ANCOLAMI_00307","JNEDFIJH_00813","OBCHFKCE_01493","NEANDPFB_00311","GEPIEMCB_00437","FCMCIBEK_00438","HAJGLMEJ_03639","BONMBINM_00764","GIBMOCCN_00384","IEMKGCAE_01751","KNJLKBEO_01626","NHCEEELK_03416","DLEGJOHP_00437","PEJBPJLM_03041","KJDDDPDM_00306"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"ANCOLAMI_00271","JNEDFIJH_00777","OBCHFKCE_01457","NEANDPFB_00275","GEPIEMCB_00473","FCMCIBEK_00474","HAJGLMEJ_03603","BONMBINM_00800","GIBMOCCN_00420","IEMKGCAE_01787","KNJLKBEO_01662","NHCEEELK_03380","DLEGJOHP_00473","PEJBPJLM_03005","KJDDDPDM_00270"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"ANCOLAMI_00241","JNEDFIJH_00747","OBCHFKCE_01427","NEANDPFB_00245","GEPIEMCB_00503","FCMCIBEK_00504","HAJGLMEJ_03087","BONMBINM_00830","GIBMOCCN_00450","IEMKGCAE_01817","KNJLKBEO_01692","NHCEEELK_03350","DLEGJOHP_00503","PEJBPJLM_02975","KJDDDPDM_00240"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"ANCOLAMI_00235","JNEDFIJH_00741","OBCHFKCE_01421","NEANDPFB_00239","GEPIEMCB_00509","FCMCIBEK_00510","HAJGLMEJ_03093","BONMBINM_00836","GIBMOCCN_00456","IEMKGCAE_01823","KNJLKBEO_01698","NHCEEELK_03344","DLEGJOHP_00509","PEJBPJLM_02969","KJDDDPDM_00234"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"ANCOLAMI_00234","JNEDFIJH_00740","OBCHFKCE_01420","NEANDPFB_00238","GEPIEMCB_00510","FCMCIBEK_00511","HAJGLMEJ_03094","BONMBINM_00837","GIBMOCCN_00457","IEMKGCAE_01824","KNJLKBEO_01699","NHCEEELK_03343","DLEGJOHP_00510","PEJBPJLM_02968","KJDDDPDM_00233"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"ANCOLAMI_00203","JNEDFIJH_00710","OBCHFKCE_01389","NEANDPFB_00207","GEPIEMCB_00541","FCMCIBEK_00542","HAJGLMEJ_03125","BONMBINM_00868","GIBMOCCN_00488","IEMKGCAE_01855","KNJLKBEO_01730","NHCEEELK_03312","DLEGJOHP_00541","PEJBPJLM_02937","KJDDDPDM_00202"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"ANCOLAMI_00201","JNEDFIJH_00708","OBCHFKCE_01387","NEANDPFB_00205","GEPIEMCB_00543","FCMCIBEK_00544","HAJGLMEJ_03127","BONMBINM_00870","GIBMOCCN_00490","IEMKGCAE_01857","KNJLKBEO_01732","NHCEEELK_03310","DLEGJOHP_00543","PEJBPJLM_02935","KJDDDPDM_00200"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"ANCOLAMI_00195","JNEDFIJH_00702","OBCHFKCE_01381","NEANDPFB_00199","GEPIEMCB_00549","FCMCIBEK_00550","HAJGLMEJ_03133","BONMBINM_00876","GIBMOCCN_00496","IEMKGCAE_01863","KNJLKBEO_01738","NHCEEELK_03304","DLEGJOHP_00549","PEJBPJLM_02929","KJDDDPDM_00194"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"ANCOLAMI_00188","JNEDFIJH_00695","OBCHFKCE_01374","NEANDPFB_00192","GEPIEMCB_00556","FCMCIBEK_00557","HAJGLMEJ_03140","BONMBINM_00883","GIBMOCCN_00503","IEMKGCAE_01870","KNJLKBEO_01745","NHCEEELK_03297","DLEGJOHP_00556","PEJBPJLM_02922","KJDDDPDM_00187"
