"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR7010294","SRR5905016","SRR14766362","SRR18233382","SRR2911768","SRR14766451","SRR9017024","SRR14766433","SRR5905275","SRR14766368","SRR18233388","SRR1461785","NDSU16","SRR6308366","SRR14766393"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"FNDKDPDO_03514","BIBHBEME_03547","ADMPKBAP_04408","GMDHGEDP_04168","HFBCCMPJ_03887","JKFJINKE_04527","HFHLPAEB_04479","JOCLDNKJ_04174","MIPDHJCF_04582","DLDIJGFH_04386","ACOJFAEA_04537","JAFODMFN_04439","PJHKJHDN_04414","ABOIEABI_04289","FFKIDJGC_02751"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"FNDKDPDO_03511","BIBHBEME_03550","ADMPKBAP_04405","GMDHGEDP_04171","HFBCCMPJ_03884","JKFJINKE_03427","HFHLPAEB_04476","JOCLDNKJ_04171","MIPDHJCF_04579","DLDIJGFH_04389","ACOJFAEA_04534","JAFODMFN_04436","PJHKJHDN_04411","ABOIEABI_04286","FFKIDJGC_02754"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"FNDKDPDO_03490","BIBHBEME_03571","ADMPKBAP_04384","GMDHGEDP_04192","HFBCCMPJ_03863","JKFJINKE_03406","HFHLPAEB_04455","JOCLDNKJ_04150","MIPDHJCF_04558","DLDIJGFH_04410","ACOJFAEA_04513","JAFODMFN_04415","PJHKJHDN_04390","ABOIEABI_04265","FFKIDJGC_02775"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"FNDKDPDO_03445","BIBHBEME_03663","ADMPKBAP_04438","GMDHGEDP_04232","HFBCCMPJ_03822","JKFJINKE_03160","HFHLPAEB_04355","JOCLDNKJ_04207","MIPDHJCF_04612","DLDIJGFH_04452","ACOJFAEA_04467","JAFODMFN_04469","PJHKJHDN_04443","ABOIEABI_04183","FFKIDJGC_02675"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"FNDKDPDO_04360","BIBHBEME_04500","ADMPKBAP_04555","GMDHGEDP_04431","HFBCCMPJ_04351","JKFJINKE_04265","HFHLPAEB_04508","JOCLDNKJ_04318","MIPDHJCF_04641","DLDIJGFH_04546","ACOJFAEA_04544","JAFODMFN_04563","PJHKJHDN_04535","ABOIEABI_04578","FFKIDJGC_04055"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"FNDKDPDO_02135","BIBHBEME_01301","ADMPKBAP_00595","GMDHGEDP_00248","HFBCCMPJ_00781","JKFJINKE_00697","HFHLPAEB_00895","JOCLDNKJ_02035","MIPDHJCF_00737","DLDIJGFH_02748","ACOJFAEA_00074","JAFODMFN_00075","PJHKJHDN_01341","ABOIEABI_02490","FFKIDJGC_03034"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"FNDKDPDO_04226","BIBHBEME_04415","ADMPKBAP_01105","GMDHGEDP_03821","HFBCCMPJ_03273","JKFJINKE_04311","HFHLPAEB_03930","JOCLDNKJ_03393","MIPDHJCF_02105","DLDIJGFH_00008","ACOJFAEA_01548","JAFODMFN_01162","PJHKJHDN_02474","ABOIEABI_01903","FFKIDJGC_03986"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"FNDKDPDO_04072","BIBHBEME_02817","ADMPKBAP_00492","GMDHGEDP_00145","HFBCCMPJ_00884","JKFJINKE_01975","HFHLPAEB_00998","JOCLDNKJ_03880","MIPDHJCF_00634","DLDIJGFH_02851","ACOJFAEA_00177","JAFODMFN_00178","PJHKJHDN_01238","ABOIEABI_02594","FFKIDJGC_02847"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"FNDKDPDO_03329","BIBHBEME_02677","ADMPKBAP_01159","GMDHGEDP_03503","HFBCCMPJ_00444","JKFJINKE_01642","HFHLPAEB_00048","JOCLDNKJ_02494","MIPDHJCF_00047","DLDIJGFH_01218","ACOJFAEA_01603","JAFODMFN_01646","PJHKJHDN_00699","ABOIEABI_02370","FFKIDJGC_02506"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"FNDKDPDO_03325","BIBHBEME_02673","ADMPKBAP_01163","GMDHGEDP_03499","HFBCCMPJ_00440","JKFJINKE_01638","HFHLPAEB_00052","JOCLDNKJ_02490","MIPDHJCF_00051","DLDIJGFH_01214","ACOJFAEA_01607","JAFODMFN_01650","PJHKJHDN_00695","ABOIEABI_02366","FFKIDJGC_02510"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"FNDKDPDO_03322","BIBHBEME_02670","ADMPKBAP_01166","GMDHGEDP_03496","HFBCCMPJ_00437","JKFJINKE_01635","HFHLPAEB_00055","JOCLDNKJ_02487","MIPDHJCF_00054","DLDIJGFH_01211","ACOJFAEA_01610","JAFODMFN_01653","PJHKJHDN_00692","ABOIEABI_02363","FFKIDJGC_02513"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"FNDKDPDO_03321","BIBHBEME_02669","ADMPKBAP_01167","GMDHGEDP_03495","HFBCCMPJ_00436","JKFJINKE_01634","HFHLPAEB_00056","JOCLDNKJ_02486","MIPDHJCF_00055","DLDIJGFH_01210","ACOJFAEA_01611","JAFODMFN_01654","PJHKJHDN_00691","ABOIEABI_02362","FFKIDJGC_02514"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"FNDKDPDO_03296","BIBHBEME_02644","ADMPKBAP_01192","GMDHGEDP_03470","HFBCCMPJ_00411","JKFJINKE_01609","HFHLPAEB_00081","JOCLDNKJ_02461","MIPDHJCF_00080","DLDIJGFH_01185","ACOJFAEA_01636","JAFODMFN_01679","PJHKJHDN_00666","ABOIEABI_02337","FFKIDJGC_02539"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"FNDKDPDO_03295","BIBHBEME_02643","ADMPKBAP_01193","GMDHGEDP_03469","HFBCCMPJ_00410","JKFJINKE_01608","HFHLPAEB_00082","JOCLDNKJ_02460","MIPDHJCF_00081","DLDIJGFH_01184","ACOJFAEA_01637","JAFODMFN_01680","PJHKJHDN_00665","ABOIEABI_02336","FFKIDJGC_02540"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"FNDKDPDO_03294","BIBHBEME_02642","ADMPKBAP_01194","GMDHGEDP_03468","HFBCCMPJ_00409","JKFJINKE_01607","HFHLPAEB_00083","JOCLDNKJ_02459","MIPDHJCF_00082","DLDIJGFH_01183","ACOJFAEA_01638","JAFODMFN_01681","PJHKJHDN_00664","ABOIEABI_02335","FFKIDJGC_02541"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"FNDKDPDO_01248","BIBHBEME_01659","ADMPKBAP_01209","GMDHGEDP_02268","HFBCCMPJ_00394","JKFJINKE_02176","HFHLPAEB_00098","JOCLDNKJ_02444","MIPDHJCF_00097","DLDIJGFH_01168","ACOJFAEA_01653","JAFODMFN_01696","PJHKJHDN_00649","ABOIEABI_02320","FFKIDJGC_03781"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"FNDKDPDO_01238","BIBHBEME_01669","ADMPKBAP_01219","GMDHGEDP_02258","HFBCCMPJ_00384","JKFJINKE_02186","HFHLPAEB_00108","JOCLDNKJ_02434","MIPDHJCF_00107","DLDIJGFH_01158","ACOJFAEA_01663","JAFODMFN_01706","PJHKJHDN_00639","ABOIEABI_02310","FFKIDJGC_03791"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"FNDKDPDO_01236","BIBHBEME_01671","ADMPKBAP_01221","GMDHGEDP_02256","HFBCCMPJ_00382","JKFJINKE_02188","HFHLPAEB_00110","JOCLDNKJ_02432","MIPDHJCF_00109","DLDIJGFH_01156","ACOJFAEA_01665","JAFODMFN_01708","PJHKJHDN_00637","ABOIEABI_02308","FFKIDJGC_03793"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"FNDKDPDO_01211","BIBHBEME_01696","ADMPKBAP_01246","GMDHGEDP_02231","HFBCCMPJ_00357","JKFJINKE_02213","HFHLPAEB_00135","JOCLDNKJ_02407","MIPDHJCF_00134","DLDIJGFH_01131","ACOJFAEA_01690","JAFODMFN_01733","PJHKJHDN_00612","ABOIEABI_02283","FFKIDJGC_02983"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"FNDKDPDO_01207","BIBHBEME_01700","ADMPKBAP_01250","GMDHGEDP_02227","HFBCCMPJ_00353","JKFJINKE_02217","HFHLPAEB_00139","JOCLDNKJ_02403","MIPDHJCF_00138","DLDIJGFH_01127","ACOJFAEA_01694","JAFODMFN_01737","PJHKJHDN_00608","ABOIEABI_02279","FFKIDJGC_02979"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"FNDKDPDO_01197","BIBHBEME_01710","ADMPKBAP_01260","GMDHGEDP_02217","HFBCCMPJ_00343","JKFJINKE_01325","HFHLPAEB_00149","JOCLDNKJ_00556","MIPDHJCF_00148","DLDIJGFH_01117","ACOJFAEA_01704","JAFODMFN_01747","PJHKJHDN_00598","ABOIEABI_02269","FFKIDJGC_02969"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"FNDKDPDO_01196","BIBHBEME_01711","ADMPKBAP_01261","GMDHGEDP_02216","HFBCCMPJ_00342","JKFJINKE_01324","HFHLPAEB_00150","JOCLDNKJ_00557","MIPDHJCF_00149","DLDIJGFH_01116","ACOJFAEA_01705","JAFODMFN_01748","PJHKJHDN_00597","ABOIEABI_02268","FFKIDJGC_02968"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"FNDKDPDO_01177","BIBHBEME_01730","ADMPKBAP_01280","GMDHGEDP_02197","HFBCCMPJ_00323","JKFJINKE_01305","HFHLPAEB_00169","JOCLDNKJ_00576","MIPDHJCF_00168","DLDIJGFH_01097","ACOJFAEA_01724","JAFODMFN_01767","PJHKJHDN_00578","ABOIEABI_02249","FFKIDJGC_01826"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"FNDKDPDO_01162","BIBHBEME_00009","ADMPKBAP_01295","GMDHGEDP_02182","HFBCCMPJ_00308","JKFJINKE_01290","HFHLPAEB_00184","JOCLDNKJ_00591","MIPDHJCF_00183","DLDIJGFH_01082","ACOJFAEA_01739","JAFODMFN_01782","PJHKJHDN_00563","ABOIEABI_02234","FFKIDJGC_01811"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"FNDKDPDO_01148","BIBHBEME_00023","ADMPKBAP_01309","GMDHGEDP_02168","HFBCCMPJ_00294","JKFJINKE_01276","HFHLPAEB_00198","JOCLDNKJ_00605","MIPDHJCF_00197","DLDIJGFH_01068","ACOJFAEA_01753","JAFODMFN_01796","PJHKJHDN_00549","ABOIEABI_02220","FFKIDJGC_01797"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"FNDKDPDO_01136","BIBHBEME_00035","ADMPKBAP_01321","GMDHGEDP_02156","HFBCCMPJ_00282","JKFJINKE_01264","HFHLPAEB_00211","JOCLDNKJ_00617","MIPDHJCF_00209","DLDIJGFH_01056","ACOJFAEA_01765","JAFODMFN_01808","PJHKJHDN_00537","ABOIEABI_02208","FFKIDJGC_01785"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"FNDKDPDO_01130","BIBHBEME_00041","ADMPKBAP_01327","GMDHGEDP_02150","HFBCCMPJ_00276","JKFJINKE_01258","HFHLPAEB_00217","JOCLDNKJ_00623","MIPDHJCF_00215","DLDIJGFH_01050","ACOJFAEA_01771","JAFODMFN_01814","PJHKJHDN_00531","ABOIEABI_02202","FFKIDJGC_04261"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"FNDKDPDO_01129","BIBHBEME_00042","ADMPKBAP_01328","GMDHGEDP_02149","HFBCCMPJ_00275","JKFJINKE_01257","HFHLPAEB_00218","JOCLDNKJ_00624","MIPDHJCF_00216","DLDIJGFH_01049","ACOJFAEA_01772","JAFODMFN_01815","PJHKJHDN_00530","ABOIEABI_02201","FFKIDJGC_04262"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"FNDKDPDO_01126","BIBHBEME_00045","ADMPKBAP_01331","GMDHGEDP_02146","HFBCCMPJ_00272","JKFJINKE_01254","HFHLPAEB_00221","JOCLDNKJ_00627","MIPDHJCF_00219","DLDIJGFH_01046","ACOJFAEA_01775","JAFODMFN_01818","PJHKJHDN_00527","ABOIEABI_02198","FFKIDJGC_04265"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"FNDKDPDO_04215","BIBHBEME_00051","ADMPKBAP_01337","GMDHGEDP_02140","HFBCCMPJ_00266","JKFJINKE_04164","HFHLPAEB_00227","JOCLDNKJ_00633","MIPDHJCF_00225","DLDIJGFH_01040","ACOJFAEA_01781","JAFODMFN_01824","PJHKJHDN_00521","ABOIEABI_02192","FFKIDJGC_04271"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"FNDKDPDO_04214","BIBHBEME_00052","ADMPKBAP_01338","GMDHGEDP_02139","HFBCCMPJ_00265","JKFJINKE_04165","HFHLPAEB_00228","JOCLDNKJ_00634","MIPDHJCF_00226","DLDIJGFH_01039","ACOJFAEA_01782","JAFODMFN_01825","PJHKJHDN_00520","ABOIEABI_02191","FFKIDJGC_04386"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"FNDKDPDO_01791","BIBHBEME_00182","ADMPKBAP_01468","GMDHGEDP_02317","HFBCCMPJ_02386","JKFJINKE_01703","HFHLPAEB_00357","JOCLDNKJ_00763","MIPDHJCF_00356","DLDIJGFH_00909","ACOJFAEA_01912","JAFODMFN_01949","PJHKJHDN_00391","ABOIEABI_02748","FFKIDJGC_01089"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"FNDKDPDO_01792","BIBHBEME_00183","ADMPKBAP_01469","GMDHGEDP_02316","HFBCCMPJ_02387","JKFJINKE_01704","HFHLPAEB_00358","JOCLDNKJ_00764","MIPDHJCF_00357","DLDIJGFH_00908","ACOJFAEA_01913","JAFODMFN_01950","PJHKJHDN_00390","ABOIEABI_02749","FFKIDJGC_01088"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"FNDKDPDO_01795","BIBHBEME_00186","ADMPKBAP_01472","GMDHGEDP_02313","HFBCCMPJ_02390","JKFJINKE_01707","HFHLPAEB_00361","JOCLDNKJ_00767","MIPDHJCF_00360","DLDIJGFH_00905","ACOJFAEA_01916","JAFODMFN_01953","PJHKJHDN_00387","ABOIEABI_02752","FFKIDJGC_01085"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"FNDKDPDO_01797","BIBHBEME_00188","ADMPKBAP_01474","GMDHGEDP_02311","HFBCCMPJ_02392","JKFJINKE_01709","HFHLPAEB_00363","JOCLDNKJ_00769","MIPDHJCF_00362","DLDIJGFH_00903","ACOJFAEA_01918","JAFODMFN_01955","PJHKJHDN_00385","ABOIEABI_02754","FFKIDJGC_01083"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"FNDKDPDO_01802","BIBHBEME_00193","ADMPKBAP_01479","GMDHGEDP_02306","HFBCCMPJ_02397","JKFJINKE_01714","HFHLPAEB_00368","JOCLDNKJ_00774","MIPDHJCF_00367","DLDIJGFH_00898","ACOJFAEA_01923","JAFODMFN_01960","PJHKJHDN_00380","ABOIEABI_02759","FFKIDJGC_01078"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"FNDKDPDO_01840","BIBHBEME_03403","ADMPKBAP_04658","GMDHGEDP_04611","HFBCCMPJ_02435","JKFJINKE_02703","HFHLPAEB_00406","JOCLDNKJ_00812","MIPDHJCF_00405","DLDIJGFH_00860","ACOJFAEA_01961","JAFODMFN_01998","PJHKJHDN_00342","ABOIEABI_02797","FFKIDJGC_01040"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"FNDKDPDO_03789","BIBHBEME_03410","ADMPKBAP_02495","GMDHGEDP_00643","HFBCCMPJ_03588","JKFJINKE_02696","HFHLPAEB_01928","JOCLDNKJ_01484","MIPDHJCF_01507","DLDIJGFH_02669","ACOJFAEA_03021","JAFODMFN_03884","PJHKJHDN_00335","ABOIEABI_01100","FFKIDJGC_02191"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"FNDKDPDO_03779","BIBHBEME_03420","ADMPKBAP_02485","GMDHGEDP_00633","HFBCCMPJ_03598","JKFJINKE_02686","HFHLPAEB_01938","JOCLDNKJ_01474","MIPDHJCF_01517","DLDIJGFH_02659","ACOJFAEA_03031","JAFODMFN_03874","PJHKJHDN_00325","ABOIEABI_01090","FFKIDJGC_02181"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"FNDKDPDO_03772","BIBHBEME_03427","ADMPKBAP_02478","GMDHGEDP_00626","HFBCCMPJ_03605","JKFJINKE_02679","HFHLPAEB_01945","JOCLDNKJ_01467","MIPDHJCF_01524","DLDIJGFH_02652","ACOJFAEA_03038","JAFODMFN_03867","PJHKJHDN_00318","ABOIEABI_01083","FFKIDJGC_02174"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"FNDKDPDO_03764","BIBHBEME_03435","ADMPKBAP_02470","GMDHGEDP_00618","HFBCCMPJ_03613","JKFJINKE_02671","HFHLPAEB_01953","JOCLDNKJ_01459","MIPDHJCF_01532","DLDIJGFH_02644","ACOJFAEA_03046","JAFODMFN_03859","PJHKJHDN_00310","ABOIEABI_01075","FFKIDJGC_02166"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"FNDKDPDO_04302","BIBHBEME_00673","ADMPKBAP_02434","GMDHGEDP_00582","HFBCCMPJ_03649","JKFJINKE_01834","HFHLPAEB_01989","JOCLDNKJ_01423","MIPDHJCF_01568","DLDIJGFH_02608","ACOJFAEA_03082","JAFODMFN_03823","PJHKJHDN_00274","ABOIEABI_01039","FFKIDJGC_02130"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"FNDKDPDO_00585","BIBHBEME_00643","ADMPKBAP_02404","GMDHGEDP_00552","HFBCCMPJ_03514","JKFJINKE_01864","HFHLPAEB_02019","JOCLDNKJ_01393","MIPDHJCF_01598","DLDIJGFH_02578","ACOJFAEA_03112","JAFODMFN_03793","PJHKJHDN_00244","ABOIEABI_01009","FFKIDJGC_00950"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"FNDKDPDO_00591","BIBHBEME_00637","ADMPKBAP_02398","GMDHGEDP_00546","HFBCCMPJ_03508","JKFJINKE_01870","HFHLPAEB_02025","JOCLDNKJ_01387","MIPDHJCF_01604","DLDIJGFH_02572","ACOJFAEA_03118","JAFODMFN_03787","PJHKJHDN_00238","ABOIEABI_01003","FFKIDJGC_00944"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"FNDKDPDO_00592","BIBHBEME_00636","ADMPKBAP_02397","GMDHGEDP_00545","HFBCCMPJ_03507","JKFJINKE_01871","HFHLPAEB_02026","JOCLDNKJ_01386","MIPDHJCF_01605","DLDIJGFH_02571","ACOJFAEA_03119","JAFODMFN_03786","PJHKJHDN_00237","ABOIEABI_01002","FFKIDJGC_00943"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"FNDKDPDO_00622","BIBHBEME_00605","ADMPKBAP_02366","GMDHGEDP_00515","HFBCCMPJ_03112","JKFJINKE_01096","HFHLPAEB_02057","JOCLDNKJ_01356","MIPDHJCF_01636","DLDIJGFH_02540","ACOJFAEA_03150","JAFODMFN_04102","PJHKJHDN_00206","ABOIEABI_00971","FFKIDJGC_00912"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"FNDKDPDO_00624","BIBHBEME_00603","ADMPKBAP_02364","GMDHGEDP_00513","HFBCCMPJ_03110","JKFJINKE_01098","HFHLPAEB_02059","JOCLDNKJ_01354","MIPDHJCF_01638","DLDIJGFH_02538","ACOJFAEA_03152","JAFODMFN_04100","PJHKJHDN_00204","ABOIEABI_00969","FFKIDJGC_00910"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"FNDKDPDO_00630","BIBHBEME_00597","ADMPKBAP_02358","GMDHGEDP_00507","HFBCCMPJ_03104","JKFJINKE_01104","HFHLPAEB_02065","JOCLDNKJ_01348","MIPDHJCF_01644","DLDIJGFH_02532","ACOJFAEA_03158","JAFODMFN_04094","PJHKJHDN_00198","ABOIEABI_00963","FFKIDJGC_00904"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"FNDKDPDO_00637","BIBHBEME_00590","ADMPKBAP_02351","GMDHGEDP_00500","HFBCCMPJ_03097","JKFJINKE_01111","HFHLPAEB_02072","JOCLDNKJ_01341","MIPDHJCF_01651","DLDIJGFH_02525","ACOJFAEA_03165","JAFODMFN_04087","PJHKJHDN_00191","ABOIEABI_00955","FFKIDJGC_00897"
