"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","NDSU8","SRR7041622","SRR27313648","SRR14766454","SRR28830416","SRR5905502","SRR27708439","SRR5905278","SRR1556962","SRR3000888","SRR5883584","SRR14766398","SRR14766355","SRR18233389","SRR5905019"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"CDDPGOFG_03958","KJAFDFOC_04043","MMJCEBPP_04447","DHLDAANJ_02910","KJPJOPGC_04537","ALBBHPCD_04378","JJJDFGFB_04396","PDACKNEK_04440","BILPJOLC_04528","HAJGLMEJ_04224","KOJKBHOL_04401","POCPDFCE_04351","KIGINCLF_04077","MCIBGAHP_04487","BIAKFFOC_04124"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"CDDPGOFG_03955","KJAFDFOC_04046","MMJCEBPP_04450","DHLDAANJ_02907","KJPJOPGC_04540","ALBBHPCD_04375","JJJDFGFB_04399","PDACKNEK_04437","BILPJOLC_04525","HAJGLMEJ_04227","KOJKBHOL_04404","POCPDFCE_01645","KIGINCLF_04080","MCIBGAHP_04484","BIAKFFOC_04121"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"CDDPGOFG_03934","KJAFDFOC_04067","MMJCEBPP_04471","DHLDAANJ_02886","KJPJOPGC_04561","ALBBHPCD_04354","JJJDFGFB_04420","PDACKNEK_04416","BILPJOLC_04504","HAJGLMEJ_04248","KOJKBHOL_04425","POCPDFCE_01666","KIGINCLF_04101","MCIBGAHP_04463","BIAKFFOC_04100"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"CDDPGOFG_04214","KJAFDFOC_04152","MMJCEBPP_04417","DHLDAANJ_03017","KJPJOPGC_04508","ALBBHPCD_04407","JJJDFGFB_04462","PDACKNEK_04469","BILPJOLC_04463","HAJGLMEJ_04107","KOJKBHOL_04466","POCPDFCE_02629","KIGINCLF_04044","MCIBGAHP_04545","BIAKFFOC_03968"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"CDDPGOFG_04492","KJAFDFOC_04540","MMJCEBPP_04512","DHLDAANJ_04187","KJPJOPGC_04602","ALBBHPCD_04459","JJJDFGFB_04491","PDACKNEK_04622","BILPJOLC_04611","HAJGLMEJ_04373","KOJKBHOL_04518","POCPDFCE_03774","KIGINCLF_04311","MCIBGAHP_04494","BIAKFFOC_04466"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"CDDPGOFG_02791","KJAFDFOC_01312","MMJCEBPP_00595","DHLDAANJ_00462","KJPJOPGC_00596","ALBBHPCD_00595","JJJDFGFB_00818","PDACKNEK_02261","BILPJOLC_01337","HAJGLMEJ_00341","KOJKBHOL_03546","POCPDFCE_00311","KIGINCLF_00358","MCIBGAHP_00530","BIAKFFOC_01639"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"CDDPGOFG_03479","KJAFDFOC_04492","MMJCEBPP_01162","DHLDAANJ_04239","KJPJOPGC_01595","ALBBHPCD_04519","JJJDFGFB_01904","PDACKNEK_04239","BILPJOLC_01905","HAJGLMEJ_03988","KOJKBHOL_00753","POCPDFCE_03753","KIGINCLF_04466","MCIBGAHP_02338","BIAKFFOC_04442"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"CDDPGOFG_02434","KJAFDFOC_04400","MMJCEBPP_00492","DHLDAANJ_03929","KJPJOPGC_00493","ALBBHPCD_00492","JJJDFGFB_00921","PDACKNEK_02158","BILPJOLC_01234","HAJGLMEJ_00238","KOJKBHOL_03649","POCPDFCE_03115","KIGINCLF_00461","MCIBGAHP_00427","BIAKFFOC_04260"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"CDDPGOFG_01734","KJAFDFOC_03361","MMJCEBPP_01646","DHLDAANJ_02623","KJPJOPGC_01650","ALBBHPCD_01198","JJJDFGFB_00047","PDACKNEK_01921","BILPJOLC_00048","HAJGLMEJ_03861","KOJKBHOL_00700","POCPDFCE_01078","KIGINCLF_02499","MCIBGAHP_04326","BIAKFFOC_02396"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"CDDPGOFG_01730","KJAFDFOC_03357","MMJCEBPP_01650","DHLDAANJ_02619","KJPJOPGC_01654","ALBBHPCD_01202","JJJDFGFB_00051","PDACKNEK_01925","BILPJOLC_00052","HAJGLMEJ_03865","KOJKBHOL_00696","POCPDFCE_01082","KIGINCLF_02495","MCIBGAHP_04330","BIAKFFOC_02400"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"CDDPGOFG_01727","KJAFDFOC_03354","MMJCEBPP_01653","DHLDAANJ_02616","KJPJOPGC_01657","ALBBHPCD_01205","JJJDFGFB_00054","PDACKNEK_01928","BILPJOLC_00055","HAJGLMEJ_03868","KOJKBHOL_00693","POCPDFCE_01085","KIGINCLF_02492","MCIBGAHP_04333","BIAKFFOC_02403"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"CDDPGOFG_01726","KJAFDFOC_03353","MMJCEBPP_01654","DHLDAANJ_02615","KJPJOPGC_01658","ALBBHPCD_01206","JJJDFGFB_00055","PDACKNEK_01929","BILPJOLC_00056","HAJGLMEJ_03869","KOJKBHOL_00692","POCPDFCE_01086","KIGINCLF_02491","MCIBGAHP_04334","BIAKFFOC_02404"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"CDDPGOFG_01701","KJAFDFOC_03328","MMJCEBPP_01679","DHLDAANJ_02590","KJPJOPGC_01683","ALBBHPCD_01231","JJJDFGFB_00080","PDACKNEK_01954","BILPJOLC_00081","HAJGLMEJ_03894","KOJKBHOL_00667","POCPDFCE_01111","KIGINCLF_02466","MCIBGAHP_00609","BIAKFFOC_02429"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"CDDPGOFG_01700","KJAFDFOC_03327","MMJCEBPP_01680","DHLDAANJ_02589","KJPJOPGC_01684","ALBBHPCD_01232","JJJDFGFB_00081","PDACKNEK_01955","BILPJOLC_00082","HAJGLMEJ_03895","KOJKBHOL_00666","POCPDFCE_01112","KIGINCLF_02465","MCIBGAHP_00610","BIAKFFOC_02430"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"CDDPGOFG_01699","KJAFDFOC_03326","MMJCEBPP_01681","DHLDAANJ_02588","KJPJOPGC_01685","ALBBHPCD_01233","JJJDFGFB_00082","PDACKNEK_01956","BILPJOLC_00083","HAJGLMEJ_03896","KOJKBHOL_00665","POCPDFCE_01113","KIGINCLF_02464","MCIBGAHP_00611","BIAKFFOC_02431"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"CDDPGOFG_01684","KJAFDFOC_00330","MMJCEBPP_01696","DHLDAANJ_03793","KJPJOPGC_01700","ALBBHPCD_01248","JJJDFGFB_00097","PDACKNEK_01971","BILPJOLC_00098","HAJGLMEJ_02838","KOJKBHOL_00650","POCPDFCE_03413","KIGINCLF_02449","MCIBGAHP_00626","BIAKFFOC_02446"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"CDDPGOFG_01674","KJAFDFOC_00340","MMJCEBPP_01706","DHLDAANJ_03783","KJPJOPGC_01710","ALBBHPCD_01258","JJJDFGFB_00107","PDACKNEK_01981","BILPJOLC_00108","HAJGLMEJ_02828","KOJKBHOL_00640","POCPDFCE_03403","KIGINCLF_02439","MCIBGAHP_00636","BIAKFFOC_02456"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"CDDPGOFG_01672","KJAFDFOC_00342","MMJCEBPP_01708","DHLDAANJ_03781","KJPJOPGC_01712","ALBBHPCD_01260","JJJDFGFB_00109","PDACKNEK_01983","BILPJOLC_00110","HAJGLMEJ_02826","KOJKBHOL_00638","POCPDFCE_03485","KIGINCLF_02437","MCIBGAHP_00638","BIAKFFOC_02458"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"CDDPGOFG_01647","KJAFDFOC_00367","MMJCEBPP_01733","DHLDAANJ_01338","KJPJOPGC_01737","ALBBHPCD_01285","JJJDFGFB_00134","PDACKNEK_02008","BILPJOLC_00135","HAJGLMEJ_02801","KOJKBHOL_00613","POCPDFCE_04045","KIGINCLF_02412","MCIBGAHP_00663","BIAKFFOC_04512"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"CDDPGOFG_01643","KJAFDFOC_00371","MMJCEBPP_01737","DHLDAANJ_01334","KJPJOPGC_01741","ALBBHPCD_01289","JJJDFGFB_00138","PDACKNEK_02012","BILPJOLC_00139","HAJGLMEJ_02797","KOJKBHOL_00609","POCPDFCE_04049","KIGINCLF_02408","MCIBGAHP_00667","BIAKFFOC_04516"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"CDDPGOFG_01633","KJAFDFOC_00381","MMJCEBPP_01747","DHLDAANJ_01324","KJPJOPGC_01751","ALBBHPCD_01299","JJJDFGFB_00148","PDACKNEK_02022","BILPJOLC_00149","HAJGLMEJ_02787","KOJKBHOL_00599","POCPDFCE_02893","KIGINCLF_02632","MCIBGAHP_00677","BIAKFFOC_00791"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"CDDPGOFG_01632","KJAFDFOC_00382","MMJCEBPP_01748","DHLDAANJ_01323","KJPJOPGC_01752","ALBBHPCD_01300","JJJDFGFB_00149","PDACKNEK_02023","BILPJOLC_00150","HAJGLMEJ_02786","KOJKBHOL_00598","POCPDFCE_02892","KIGINCLF_02633","MCIBGAHP_00678","BIAKFFOC_00790"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"CDDPGOFG_01613","KJAFDFOC_00401","MMJCEBPP_01767","DHLDAANJ_01304","KJPJOPGC_01771","ALBBHPCD_01319","JJJDFGFB_00168","PDACKNEK_02042","BILPJOLC_00169","HAJGLMEJ_02767","KOJKBHOL_00579","POCPDFCE_02873","KIGINCLF_02652","MCIBGAHP_00697","BIAKFFOC_00771"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"CDDPGOFG_00359","KJAFDFOC_00416","MMJCEBPP_01782","DHLDAANJ_01289","KJPJOPGC_01786","ALBBHPCD_01334","JJJDFGFB_00184","PDACKNEK_02057","BILPJOLC_00184","HAJGLMEJ_02752","KOJKBHOL_00564","POCPDFCE_02088","KIGINCLF_02667","MCIBGAHP_00712","BIAKFFOC_00756"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"CDDPGOFG_00373","KJAFDFOC_00430","MMJCEBPP_01796","DHLDAANJ_01275","KJPJOPGC_01800","ALBBHPCD_01348","JJJDFGFB_00198","PDACKNEK_02071","BILPJOLC_00198","HAJGLMEJ_02738","KOJKBHOL_00550","POCPDFCE_02074","KIGINCLF_02681","MCIBGAHP_00726","BIAKFFOC_00742"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"CDDPGOFG_00385","KJAFDFOC_00442","MMJCEBPP_01808","DHLDAANJ_03591","KJPJOPGC_01812","ALBBHPCD_01360","JJJDFGFB_00210","PDACKNEK_02083","BILPJOLC_00210","HAJGLMEJ_02726","KOJKBHOL_00538","POCPDFCE_03944","KIGINCLF_02693","MCIBGAHP_00738","BIAKFFOC_00730"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"CDDPGOFG_00391","KJAFDFOC_00448","MMJCEBPP_01814","DHLDAANJ_03585","KJPJOPGC_01818","ALBBHPCD_01366","JJJDFGFB_00216","PDACKNEK_02089","BILPJOLC_00216","HAJGLMEJ_02720","KOJKBHOL_00532","POCPDFCE_03938","KIGINCLF_02699","MCIBGAHP_00744","BIAKFFOC_00724"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"CDDPGOFG_00392","KJAFDFOC_00449","MMJCEBPP_01815","DHLDAANJ_03584","KJPJOPGC_01819","ALBBHPCD_01367","JJJDFGFB_00217","PDACKNEK_02090","BILPJOLC_00217","HAJGLMEJ_02719","KOJKBHOL_00531","POCPDFCE_03937","KIGINCLF_02700","MCIBGAHP_00745","BIAKFFOC_00723"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"CDDPGOFG_00395","KJAFDFOC_00452","MMJCEBPP_01818","DHLDAANJ_03581","KJPJOPGC_01822","ALBBHPCD_01370","JJJDFGFB_00220","PDACKNEK_02093","BILPJOLC_00220","HAJGLMEJ_02716","KOJKBHOL_00528","POCPDFCE_03934","KIGINCLF_02703","MCIBGAHP_00748","BIAKFFOC_00720"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"CDDPGOFG_00401","KJAFDFOC_00458","MMJCEBPP_01824","DHLDAANJ_03575","KJPJOPGC_01828","ALBBHPCD_01376","JJJDFGFB_00226","PDACKNEK_02099","BILPJOLC_00226","HAJGLMEJ_01996","KOJKBHOL_00522","POCPDFCE_03812","KIGINCLF_02709","MCIBGAHP_00754","BIAKFFOC_00714"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"CDDPGOFG_00402","KJAFDFOC_00459","MMJCEBPP_01825","DHLDAANJ_03574","KJPJOPGC_01829","ALBBHPCD_01377","JJJDFGFB_00227","PDACKNEK_02100","BILPJOLC_00227","HAJGLMEJ_01995","KOJKBHOL_00521","POCPDFCE_03813","KIGINCLF_02710","MCIBGAHP_00755","BIAKFFOC_00713"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"CDDPGOFG_00532","KJAFDFOC_00589","MMJCEBPP_01956","DHLDAANJ_01474","KJPJOPGC_01958","ALBBHPCD_01507","JJJDFGFB_00357","PDACKNEK_03913","BILPJOLC_00352","HAJGLMEJ_01865","KOJKBHOL_00391","POCPDFCE_00585","KIGINCLF_02578","MCIBGAHP_00884","BIAKFFOC_00583"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"CDDPGOFG_00533","KJAFDFOC_00590","MMJCEBPP_01957","DHLDAANJ_01473","KJPJOPGC_01959","ALBBHPCD_01508","JJJDFGFB_00358","PDACKNEK_03912","BILPJOLC_00353","HAJGLMEJ_01864","KOJKBHOL_00390","POCPDFCE_00584","KIGINCLF_02577","MCIBGAHP_00885","BIAKFFOC_00582"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"CDDPGOFG_00536","KJAFDFOC_00593","MMJCEBPP_01960","DHLDAANJ_01470","KJPJOPGC_01962","ALBBHPCD_01511","JJJDFGFB_00361","PDACKNEK_03909","BILPJOLC_00356","HAJGLMEJ_01861","KOJKBHOL_00387","POCPDFCE_00581","KIGINCLF_02574","MCIBGAHP_00888","BIAKFFOC_00579"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"CDDPGOFG_00538","KJAFDFOC_00595","MMJCEBPP_01962","DHLDAANJ_01468","KJPJOPGC_01964","ALBBHPCD_01513","JJJDFGFB_00363","PDACKNEK_03907","BILPJOLC_00358","HAJGLMEJ_01859","KOJKBHOL_00385","POCPDFCE_00579","KIGINCLF_02572","MCIBGAHP_00890","BIAKFFOC_00577"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"CDDPGOFG_00543","KJAFDFOC_00600","MMJCEBPP_01967","DHLDAANJ_01463","KJPJOPGC_01969","ALBBHPCD_01518","JJJDFGFB_00368","PDACKNEK_03902","BILPJOLC_00363","HAJGLMEJ_01854","KOJKBHOL_00380","POCPDFCE_00574","KIGINCLF_02567","MCIBGAHP_00895","BIAKFFOC_00572"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"CDDPGOFG_00581","KJAFDFOC_00638","MMJCEBPP_02005","DHLDAANJ_04338","KJPJOPGC_02007","ALBBHPCD_01556","JJJDFGFB_00406","PDACKNEK_03864","BILPJOLC_00401","HAJGLMEJ_01816","KOJKBHOL_00342","POCPDFCE_00961","KIGINCLF_02529","MCIBGAHP_00933","BIAKFFOC_03618"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"CDDPGOFG_00588","KJAFDFOC_03771","MMJCEBPP_03397","DHLDAANJ_00396","KJPJOPGC_03072","ALBBHPCD_02617","JJJDFGFB_00413","PDACKNEK_04593","BILPJOLC_00408","HAJGLMEJ_03664","KOJKBHOL_00335","POCPDFCE_00954","KIGINCLF_01001","MCIBGAHP_00940","BIAKFFOC_03625"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"CDDPGOFG_00598","KJAFDFOC_03781","MMJCEBPP_03387","DHLDAANJ_00386","KJPJOPGC_03082","ALBBHPCD_02607","JJJDFGFB_00423","PDACKNEK_04583","BILPJOLC_00418","HAJGLMEJ_03654","KOJKBHOL_00325","POCPDFCE_00944","KIGINCLF_01011","MCIBGAHP_00950","BIAKFFOC_03635"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"CDDPGOFG_00605","KJAFDFOC_03788","MMJCEBPP_03380","DHLDAANJ_00379","KJPJOPGC_03089","ALBBHPCD_02600","JJJDFGFB_00430","PDACKNEK_04576","BILPJOLC_00425","HAJGLMEJ_03647","KOJKBHOL_00318","POCPDFCE_00937","KIGINCLF_01018","MCIBGAHP_00957","BIAKFFOC_03642"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"CDDPGOFG_00613","KJAFDFOC_03796","MMJCEBPP_03372","DHLDAANJ_00371","KJPJOPGC_03097","ALBBHPCD_02592","JJJDFGFB_00438","PDACKNEK_04568","BILPJOLC_00433","HAJGLMEJ_03639","KOJKBHOL_00310","POCPDFCE_00929","KIGINCLF_01026","MCIBGAHP_00965","BIAKFFOC_03650"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"CDDPGOFG_00871","KJAFDFOC_03832","MMJCEBPP_03336","DHLDAANJ_00335","KJPJOPGC_03133","ALBBHPCD_02556","JJJDFGFB_00474","PDACKNEK_01110","BILPJOLC_00469","HAJGLMEJ_03603","KOJKBHOL_00274","POCPDFCE_03444","KIGINCLF_01062","MCIBGAHP_01001","BIAKFFOC_03686"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"CDDPGOFG_00901","KJAFDFOC_02008","MMJCEBPP_03306","DHLDAANJ_00305","KJPJOPGC_03163","ALBBHPCD_02526","JJJDFGFB_00504","PDACKNEK_01140","BILPJOLC_00499","HAJGLMEJ_03087","KOJKBHOL_00244","POCPDFCE_01424","KIGINCLF_01093","MCIBGAHP_02637","BIAKFFOC_00820"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"CDDPGOFG_00907","KJAFDFOC_02002","MMJCEBPP_03300","DHLDAANJ_00299","KJPJOPGC_03169","ALBBHPCD_02520","JJJDFGFB_00510","PDACKNEK_01146","BILPJOLC_00505","HAJGLMEJ_03093","KOJKBHOL_00238","POCPDFCE_01430","KIGINCLF_01099","MCIBGAHP_02643","BIAKFFOC_00826"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"CDDPGOFG_00908","KJAFDFOC_02001","MMJCEBPP_03299","DHLDAANJ_00298","KJPJOPGC_03170","ALBBHPCD_02519","JJJDFGFB_00511","PDACKNEK_01147","BILPJOLC_00506","HAJGLMEJ_03094","KOJKBHOL_00237","POCPDFCE_01431","KIGINCLF_01100","MCIBGAHP_02644","BIAKFFOC_00827"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"CDDPGOFG_00939","KJAFDFOC_01969","MMJCEBPP_03268","DHLDAANJ_00268","KJPJOPGC_03201","ALBBHPCD_02488","JJJDFGFB_00542","PDACKNEK_01178","BILPJOLC_00537","HAJGLMEJ_03125","KOJKBHOL_00206","POCPDFCE_00840","KIGINCLF_01131","MCIBGAHP_02675","BIAKFFOC_00858"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"CDDPGOFG_00941","KJAFDFOC_01967","MMJCEBPP_03266","DHLDAANJ_00266","KJPJOPGC_03203","ALBBHPCD_02486","JJJDFGFB_00544","PDACKNEK_01180","BILPJOLC_00539","HAJGLMEJ_03127","KOJKBHOL_00204","POCPDFCE_00842","KIGINCLF_01133","MCIBGAHP_02677","BIAKFFOC_00860"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"CDDPGOFG_00947","KJAFDFOC_01961","MMJCEBPP_03260","DHLDAANJ_00260","KJPJOPGC_03209","ALBBHPCD_02480","JJJDFGFB_00550","PDACKNEK_01186","BILPJOLC_00545","HAJGLMEJ_03133","KOJKBHOL_00198","POCPDFCE_00848","KIGINCLF_01139","MCIBGAHP_02683","BIAKFFOC_00866"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"CDDPGOFG_00954","KJAFDFOC_01954","MMJCEBPP_03253","DHLDAANJ_00253","KJPJOPGC_03216","ALBBHPCD_02473","JJJDFGFB_00557","PDACKNEK_01193","BILPJOLC_00552","HAJGLMEJ_03140","KOJKBHOL_00191","POCPDFCE_00855","KIGINCLF_01146","MCIBGAHP_02690","BIAKFFOC_00873"
