"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","NDSU8","SRR13643357","SRR5905013","SRR5350414","SRR3000883","SRR16297813","SRR14766377","SRR14766364","SRR1556977","SRR28412144","NDSU12","SRR13641927","SRR19397116","SRR14766330","SRR14766433"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"CDDPGOFG_03958","MCHABJHI_04511","PNLCLONJ_04254","ILNMAOIA_04365","PHBHKDKN_04525","GDLLMNMD_04495","JHIODDIP_04151","KBJJGPAO_04162","KLKGDDID_04435","GLCMENJN_04362","KMJDPIGG_04489","KCFKLOLI_04493","KKIADDGI_04484","POPOBFCK_04554","JOCLDNKJ_04174"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"CDDPGOFG_03955","MCHABJHI_04508","PNLCLONJ_04251","ILNMAOIA_04368","PHBHKDKN_04522","GDLLMNMD_04498","JHIODDIP_04148","KBJJGPAO_04159","KLKGDDID_04438","GLCMENJN_04365","KMJDPIGG_04486","KCFKLOLI_04496","KKIADDGI_04481","POPOBFCK_04551","JOCLDNKJ_04171"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"CDDPGOFG_03934","MCHABJHI_04487","PNLCLONJ_04230","ILNMAOIA_04389","PHBHKDKN_04501","GDLLMNMD_04519","JHIODDIP_04127","KBJJGPAO_04138","KLKGDDID_04459","GLCMENJN_04386","KMJDPIGG_04465","KCFKLOLI_04517","KKIADDGI_04460","POPOBFCK_04530","JOCLDNKJ_04150"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"CDDPGOFG_04214","MCHABJHI_04540","PNLCLONJ_04185","ILNMAOIA_00737","PHBHKDKN_04555","GDLLMNMD_04466","JHIODDIP_04465","KBJJGPAO_01845","KLKGDDID_04406","GLCMENJN_04428","KMJDPIGG_04518","KCFKLOLI_04559","KKIADDGI_00774","POPOBFCK_04485","JOCLDNKJ_04207"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"CDDPGOFG_04492","MCHABJHI_04570","PNLCLONJ_04611","ILNMAOIA_04575","PHBHKDKN_04606","GDLLMNMD_04560","JHIODDIP_04344","KBJJGPAO_04274","KLKGDDID_04618","GLCMENJN_04523","KMJDPIGG_04548","KCFKLOLI_04588","KKIADDGI_04554","POPOBFCK_04561","JOCLDNKJ_04318"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"CDDPGOFG_02791","MCHABJHI_00818","PNLCLONJ_01620","ILNMAOIA_02077","PHBHKDKN_02911","GDLLMNMD_02985","JHIODDIP_02904","KBJJGPAO_01614","KLKGDDID_01338","GLCMENJN_00823","KMJDPIGG_00916","KCFKLOLI_00074","KKIADDGI_01364","POPOBFCK_01410","JOCLDNKJ_02035"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"CDDPGOFG_03479","MCHABJHI_02335","PNLCLONJ_04563","ILNMAOIA_01846","PHBHKDKN_00008","GDLLMNMD_00923","JHIODDIP_01454","KBJJGPAO_03797","KLKGDDID_01420","GLCMENJN_02276","KMJDPIGG_02514","KCFKLOLI_01592","KKIADDGI_01967","POPOBFCK_00922","JOCLDNKJ_03393"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"CDDPGOFG_02434","MCHABJHI_00921","PNLCLONJ_02002","ILNMAOIA_01974","PHBHKDKN_02808","GDLLMNMD_02882","JHIODDIP_00496","KBJJGPAO_03824","KLKGDDID_01235","GLCMENJN_00927","KMJDPIGG_01019","KCFKLOLI_00178","KKIADDGI_01467","POPOBFCK_01513","JOCLDNKJ_03880"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"CDDPGOFG_01734","MCHABJHI_00047","PNLCLONJ_02721","ILNMAOIA_00811","PHBHKDKN_01218","GDLLMNMD_00978","JHIODDIP_03991","KBJJGPAO_02339","KLKGDDID_00696","GLCMENJN_00704","KMJDPIGG_00047","KCFKLOLI_01646","KKIADDGI_00701","POPOBFCK_00977","JOCLDNKJ_02494"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"CDDPGOFG_01730","MCHABJHI_00051","PNLCLONJ_02725","ILNMAOIA_00815","PHBHKDKN_01214","GDLLMNMD_00982","JHIODDIP_03987","KBJJGPAO_02343","KLKGDDID_00692","GLCMENJN_00700","KMJDPIGG_00051","KCFKLOLI_01650","KKIADDGI_00697","POPOBFCK_00981","JOCLDNKJ_02490"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"CDDPGOFG_01727","MCHABJHI_00054","PNLCLONJ_02728","ILNMAOIA_00818","PHBHKDKN_01211","GDLLMNMD_00985","JHIODDIP_03984","KBJJGPAO_02346","KLKGDDID_00689","GLCMENJN_00697","KMJDPIGG_00054","KCFKLOLI_01653","KKIADDGI_00694","POPOBFCK_00984","JOCLDNKJ_02487"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"CDDPGOFG_01726","MCHABJHI_00055","PNLCLONJ_02729","ILNMAOIA_00819","PHBHKDKN_01210","GDLLMNMD_00986","JHIODDIP_03983","KBJJGPAO_02347","KLKGDDID_00688","GLCMENJN_00696","KMJDPIGG_00055","KCFKLOLI_01654","KKIADDGI_00693","POPOBFCK_00985","JOCLDNKJ_02486"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"CDDPGOFG_01701","MCHABJHI_00080","PNLCLONJ_02754","ILNMAOIA_00844","PHBHKDKN_01185","GDLLMNMD_01011","JHIODDIP_03958","KBJJGPAO_02372","KLKGDDID_00663","GLCMENJN_00671","KMJDPIGG_00080","KCFKLOLI_01679","KKIADDGI_00668","POPOBFCK_01010","JOCLDNKJ_02461"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"CDDPGOFG_01700","MCHABJHI_00081","PNLCLONJ_02755","ILNMAOIA_00845","PHBHKDKN_01184","GDLLMNMD_01012","JHIODDIP_03957","KBJJGPAO_02373","KLKGDDID_00662","GLCMENJN_00670","KMJDPIGG_00081","KCFKLOLI_01680","KKIADDGI_00667","POPOBFCK_01011","JOCLDNKJ_02460"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"CDDPGOFG_01699","MCHABJHI_00082","PNLCLONJ_02756","ILNMAOIA_00846","PHBHKDKN_01183","GDLLMNMD_01013","JHIODDIP_03956","KBJJGPAO_02374","KLKGDDID_00661","GLCMENJN_00669","KMJDPIGG_00082","KCFKLOLI_01681","KKIADDGI_00666","POPOBFCK_01012","JOCLDNKJ_02459"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"CDDPGOFG_01684","MCHABJHI_00097","PNLCLONJ_03227","ILNMAOIA_03123","PHBHKDKN_01168","GDLLMNMD_01028","JHIODDIP_04580","KBJJGPAO_02389","KLKGDDID_00646","GLCMENJN_00654","KMJDPIGG_00097","KCFKLOLI_01696","KKIADDGI_00651","POPOBFCK_01027","JOCLDNKJ_02444"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"CDDPGOFG_01674","MCHABJHI_00107","PNLCLONJ_03237","ILNMAOIA_03133","PHBHKDKN_01158","GDLLMNMD_01038","JHIODDIP_04590","KBJJGPAO_02399","KLKGDDID_00636","GLCMENJN_00644","KMJDPIGG_00107","KCFKLOLI_01706","KKIADDGI_00641","POPOBFCK_01037","JOCLDNKJ_02434"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"CDDPGOFG_01672","MCHABJHI_00109","PNLCLONJ_03239","ILNMAOIA_03135","PHBHKDKN_01156","GDLLMNMD_01040","JHIODDIP_03704","KBJJGPAO_02401","KLKGDDID_00634","GLCMENJN_00642","KMJDPIGG_00109","KCFKLOLI_01708","KKIADDGI_00639","POPOBFCK_01039","JOCLDNKJ_02432"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"CDDPGOFG_01647","MCHABJHI_00134","PNLCLONJ_03264","ILNMAOIA_03160","PHBHKDKN_01131","GDLLMNMD_01065","JHIODDIP_03729","KBJJGPAO_02426","KLKGDDID_00609","GLCMENJN_00617","KMJDPIGG_00134","KCFKLOLI_01733","KKIADDGI_00614","POPOBFCK_01064","JOCLDNKJ_02407"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"CDDPGOFG_01643","MCHABJHI_00138","PNLCLONJ_03268","ILNMAOIA_03164","PHBHKDKN_01127","GDLLMNMD_01069","JHIODDIP_03733","KBJJGPAO_02430","KLKGDDID_00605","GLCMENJN_00613","KMJDPIGG_00138","KCFKLOLI_01737","KKIADDGI_00610","POPOBFCK_01068","JOCLDNKJ_02403"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"CDDPGOFG_01633","MCHABJHI_00148","PNLCLONJ_03278","ILNMAOIA_03174","PHBHKDKN_01117","GDLLMNMD_01079","JHIODDIP_03743","KBJJGPAO_00009","KLKGDDID_00595","GLCMENJN_00603","KMJDPIGG_00148","KCFKLOLI_01747","KKIADDGI_00600","POPOBFCK_01078","JOCLDNKJ_00556"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"CDDPGOFG_01632","MCHABJHI_00149","PNLCLONJ_03279","ILNMAOIA_03175","PHBHKDKN_01116","GDLLMNMD_01080","JHIODDIP_03744","KBJJGPAO_00010","KLKGDDID_00594","GLCMENJN_00602","KMJDPIGG_00149","KCFKLOLI_01748","KKIADDGI_00599","POPOBFCK_01079","JOCLDNKJ_00557"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"CDDPGOFG_01613","MCHABJHI_00168","PNLCLONJ_03298","ILNMAOIA_03194","PHBHKDKN_01097","GDLLMNMD_01099","JHIODDIP_03763","KBJJGPAO_00029","KLKGDDID_00575","GLCMENJN_00583","KMJDPIGG_00168","KCFKLOLI_01767","KKIADDGI_00580","POPOBFCK_01098","JOCLDNKJ_00576"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"CDDPGOFG_00359","MCHABJHI_00183","PNLCLONJ_01146","ILNMAOIA_03209","PHBHKDKN_01082","GDLLMNMD_01114","JHIODDIP_03832","KBJJGPAO_00044","KLKGDDID_00560","GLCMENJN_00568","KMJDPIGG_00183","KCFKLOLI_01782","KKIADDGI_00565","POPOBFCK_01113","JOCLDNKJ_00591"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"CDDPGOFG_00373","MCHABJHI_00197","PNLCLONJ_01160","ILNMAOIA_03223","PHBHKDKN_01068","GDLLMNMD_01128","JHIODDIP_03818","KBJJGPAO_00058","KLKGDDID_00546","GLCMENJN_00554","KMJDPIGG_00197","KCFKLOLI_01796","KKIADDGI_00551","POPOBFCK_01127","JOCLDNKJ_00605"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"CDDPGOFG_00385","MCHABJHI_00209","PNLCLONJ_01172","ILNMAOIA_03235","PHBHKDKN_01056","GDLLMNMD_01140","JHIODDIP_03806","KBJJGPAO_00070","KLKGDDID_00534","GLCMENJN_00542","KMJDPIGG_00209","KCFKLOLI_01808","KKIADDGI_00539","POPOBFCK_01139","JOCLDNKJ_00617"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"CDDPGOFG_00391","MCHABJHI_00215","PNLCLONJ_01178","ILNMAOIA_03241","PHBHKDKN_01050","GDLLMNMD_01146","JHIODDIP_03800","KBJJGPAO_00076","KLKGDDID_00528","GLCMENJN_00536","KMJDPIGG_00215","KCFKLOLI_01814","KKIADDGI_00533","POPOBFCK_01145","JOCLDNKJ_00623"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"CDDPGOFG_00392","MCHABJHI_00216","PNLCLONJ_01179","ILNMAOIA_03242","PHBHKDKN_01049","GDLLMNMD_01147","JHIODDIP_03799","KBJJGPAO_00077","KLKGDDID_00527","GLCMENJN_00535","KMJDPIGG_00216","KCFKLOLI_01815","KKIADDGI_00532","POPOBFCK_01146","JOCLDNKJ_00624"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"CDDPGOFG_00395","MCHABJHI_00219","PNLCLONJ_01182","ILNMAOIA_03245","PHBHKDKN_01046","GDLLMNMD_01150","JHIODDIP_03796","KBJJGPAO_00080","KLKGDDID_00524","GLCMENJN_00532","KMJDPIGG_00219","KCFKLOLI_01818","KKIADDGI_00529","POPOBFCK_01149","JOCLDNKJ_00627"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"CDDPGOFG_00401","MCHABJHI_00225","PNLCLONJ_01188","ILNMAOIA_03251","PHBHKDKN_01040","GDLLMNMD_01156","JHIODDIP_03790","KBJJGPAO_00086","KLKGDDID_00518","GLCMENJN_00526","KMJDPIGG_00225","KCFKLOLI_01824","KKIADDGI_00523","POPOBFCK_01155","JOCLDNKJ_00633"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"CDDPGOFG_00402","MCHABJHI_00226","PNLCLONJ_01189","ILNMAOIA_03252","PHBHKDKN_01039","GDLLMNMD_01157","JHIODDIP_03789","KBJJGPAO_00087","KLKGDDID_00517","GLCMENJN_00525","KMJDPIGG_00226","KCFKLOLI_01825","KKIADDGI_00522","POPOBFCK_01156","JOCLDNKJ_00634"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"CDDPGOFG_00532","MCHABJHI_00356","PNLCLONJ_01319","ILNMAOIA_03318","PHBHKDKN_00909","GDLLMNMD_01286","JHIODDIP_03049","KBJJGPAO_00217","KLKGDDID_00392","GLCMENJN_00395","KMJDPIGG_00356","KCFKLOLI_01955","KKIADDGI_00392","POPOBFCK_01286","JOCLDNKJ_00763"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"CDDPGOFG_00533","MCHABJHI_00357","PNLCLONJ_01320","ILNMAOIA_03317","PHBHKDKN_00908","GDLLMNMD_01287","JHIODDIP_03050","KBJJGPAO_00218","KLKGDDID_00391","GLCMENJN_00394","KMJDPIGG_00357","KCFKLOLI_01956","KKIADDGI_00391","POPOBFCK_01287","JOCLDNKJ_00764"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"CDDPGOFG_00536","MCHABJHI_00360","PNLCLONJ_01323","ILNMAOIA_03314","PHBHKDKN_00905","GDLLMNMD_01290","JHIODDIP_03053","KBJJGPAO_00221","KLKGDDID_00388","GLCMENJN_00391","KMJDPIGG_00360","KCFKLOLI_01959","KKIADDGI_00388","POPOBFCK_01290","JOCLDNKJ_00767"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"CDDPGOFG_00538","MCHABJHI_00362","PNLCLONJ_01325","ILNMAOIA_03312","PHBHKDKN_00903","GDLLMNMD_01292","JHIODDIP_03055","KBJJGPAO_00223","KLKGDDID_00386","GLCMENJN_00389","KMJDPIGG_00362","KCFKLOLI_01961","KKIADDGI_00386","POPOBFCK_01292","JOCLDNKJ_00769"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"CDDPGOFG_00543","MCHABJHI_00367","PNLCLONJ_01330","ILNMAOIA_03307","PHBHKDKN_00898","GDLLMNMD_01297","JHIODDIP_03060","KBJJGPAO_00228","KLKGDDID_00381","GLCMENJN_00384","KMJDPIGG_00367","KCFKLOLI_01966","KKIADDGI_00381","POPOBFCK_01297","JOCLDNKJ_00774"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"CDDPGOFG_00581","MCHABJHI_00405","PNLCLONJ_04668","ILNMAOIA_03269","PHBHKDKN_00860","GDLLMNMD_01335","JHIODDIP_04598","KBJJGPAO_00266","KLKGDDID_00343","GLCMENJN_00346","KMJDPIGG_00405","KCFKLOLI_02004","KKIADDGI_00342","POPOBFCK_01335","JOCLDNKJ_00812"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"CDDPGOFG_00588","MCHABJHI_00412","PNLCLONJ_03878","ILNMAOIA_02647","PHBHKDKN_03716","GDLLMNMD_03388","JHIODDIP_02218","KBJJGPAO_01359","KLKGDDID_00336","GLCMENJN_00339","KMJDPIGG_00412","KCFKLOLI_03090","KKIADDGI_00335","POPOBFCK_02434","JOCLDNKJ_01484"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"CDDPGOFG_00598","MCHABJHI_00422","PNLCLONJ_03888","ILNMAOIA_02637","PHBHKDKN_03706","GDLLMNMD_03378","JHIODDIP_02228","KBJJGPAO_01369","KLKGDDID_00326","GLCMENJN_00329","KMJDPIGG_00422","KCFKLOLI_03080","KKIADDGI_00325","POPOBFCK_02444","JOCLDNKJ_01474"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"CDDPGOFG_00605","MCHABJHI_00429","PNLCLONJ_03895","ILNMAOIA_02630","PHBHKDKN_03699","GDLLMNMD_03371","JHIODDIP_02235","KBJJGPAO_01376","KLKGDDID_00319","GLCMENJN_00322","KMJDPIGG_00429","KCFKLOLI_03073","KKIADDGI_00318","POPOBFCK_02451","JOCLDNKJ_01467"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"CDDPGOFG_00613","MCHABJHI_00437","PNLCLONJ_03903","ILNMAOIA_02622","PHBHKDKN_03691","GDLLMNMD_03363","JHIODDIP_02243","KBJJGPAO_01384","KLKGDDID_00311","GLCMENJN_00314","KMJDPIGG_00437","KCFKLOLI_03065","KKIADDGI_00310","POPOBFCK_02459","JOCLDNKJ_01459"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"CDDPGOFG_00871","MCHABJHI_00473","PNLCLONJ_03939","ILNMAOIA_02586","PHBHKDKN_03655","GDLLMNMD_03327","JHIODDIP_02279","KBJJGPAO_01420","KLKGDDID_00275","GLCMENJN_00278","KMJDPIGG_00473","KCFKLOLI_03029","KKIADDGI_00274","POPOBFCK_02495","JOCLDNKJ_01423"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"CDDPGOFG_00901","MCHABJHI_00503","PNLCLONJ_00906","ILNMAOIA_02556","PHBHKDKN_03625","GDLLMNMD_03297","JHIODDIP_02309","KBJJGPAO_01450","KLKGDDID_00245","GLCMENJN_00248","KMJDPIGG_00503","KCFKLOLI_02999","KKIADDGI_00244","POPOBFCK_02525","JOCLDNKJ_01393"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"CDDPGOFG_00907","MCHABJHI_00509","PNLCLONJ_00912","ILNMAOIA_02550","PHBHKDKN_03619","GDLLMNMD_03291","JHIODDIP_02315","KBJJGPAO_01456","KLKGDDID_00239","GLCMENJN_00242","KMJDPIGG_00509","KCFKLOLI_02993","KKIADDGI_00238","POPOBFCK_02531","JOCLDNKJ_01387"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"CDDPGOFG_00908","MCHABJHI_00510","PNLCLONJ_00913","ILNMAOIA_02549","PHBHKDKN_03618","GDLLMNMD_03290","JHIODDIP_02316","KBJJGPAO_01457","KLKGDDID_00238","GLCMENJN_00241","KMJDPIGG_00510","KCFKLOLI_02992","KKIADDGI_00237","POPOBFCK_02532","JOCLDNKJ_01386"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"CDDPGOFG_00939","MCHABJHI_00542","PNLCLONJ_00944","ILNMAOIA_02518","PHBHKDKN_03587","GDLLMNMD_03259","JHIODDIP_02346","KBJJGPAO_01487","KLKGDDID_00207","GLCMENJN_00210","KMJDPIGG_00541","KCFKLOLI_02961","KKIADDGI_00206","POPOBFCK_02563","JOCLDNKJ_01356"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"CDDPGOFG_00941","MCHABJHI_00544","PNLCLONJ_00946","ILNMAOIA_02516","PHBHKDKN_03585","GDLLMNMD_03257","JHIODDIP_02348","KBJJGPAO_01489","KLKGDDID_00205","GLCMENJN_00208","KMJDPIGG_00543","KCFKLOLI_02959","KKIADDGI_00204","POPOBFCK_02565","JOCLDNKJ_01354"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"CDDPGOFG_00947","MCHABJHI_00550","PNLCLONJ_00952","ILNMAOIA_02510","PHBHKDKN_03579","GDLLMNMD_03251","JHIODDIP_02354","KBJJGPAO_01495","KLKGDDID_00199","GLCMENJN_00202","KMJDPIGG_00549","KCFKLOLI_02953","KKIADDGI_00198","POPOBFCK_02571","JOCLDNKJ_01348"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"CDDPGOFG_00954","MCHABJHI_00557","PNLCLONJ_00959","ILNMAOIA_02503","PHBHKDKN_03572","GDLLMNMD_03244","JHIODDIP_02361","KBJJGPAO_01502","KLKGDDID_00192","GLCMENJN_00195","KMJDPIGG_00556","KCFKLOLI_02946","KKIADDGI_00191","POPOBFCK_02578","JOCLDNKJ_01341"
"cho","","Excinuclease cho",581,581,1,1,5337,NA,NA,"",881,908,881,"CDDPGOFG_00958","MCHABJHI_00561","PNLCLONJ_00963","ILNMAOIA_02499","PHBHKDKN_03568","GDLLMNMD_03240","JHIODDIP_02365","KBJJGPAO_01506","KLKGDDID_00188","GLCMENJN_00191","KMJDPIGG_00560","KCFKLOLI_02942","KKIADDGI_00187","POPOBFCK_02582","JOCLDNKJ_01337"
