"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR10963338","SRR1515962","SRR14766360","SRR5666360","SRR14766372","SRR18233392","SRR23043677","SRR14766415","NDSU13","SRR14766340","SRR9301020","SRR14766411","SRR5928137","SRR12991092","SRR5905281"
"acrF","","Multidrug export protein AcrF",581,581,1,1,1981,NA,NA,"",1700,3113,3110,"HJPBANPH_04030","HBFNLEKM_03563","CDIKHPPE_02697","KHAGAGIB_04417","OFPOAPDN_04474","COLOCJJI_04404","ANJCIHOA_04544","FGNPIGJI_04402","GBFFMACB_03624","NLELDDOK_04202","CLMPPMAO_04417","IABIGAJC_04426","FHJCNOBE_04532","KEBBHCLF_04405","GAMKEBON_03923"
"acrR_2","","HTH-type transcriptional regulator AcrR",581,581,1,1,1978,NA,NA,"",335,662,661,"HJPBANPH_04027","HBFNLEKM_03560","CDIKHPPE_02694","KHAGAGIB_04414","OFPOAPDN_04471","COLOCJJI_04407","ANJCIHOA_04547","FGNPIGJI_04399","GBFFMACB_03627","NLELDDOK_04205","CLMPPMAO_04420","IABIGAJC_04429","FHJCNOBE_04529","KEBBHCLF_04408","GAMKEBON_03926"
"group_1083","","hypothetical protein",581,581,1,1,1957,NA,NA,"",3284,3800,3799,"HJPBANPH_04006","HBFNLEKM_03539","CDIKHPPE_02673","KHAGAGIB_04393","OFPOAPDN_04450","COLOCJJI_04428","ANJCIHOA_04568","FGNPIGJI_04378","GBFFMACB_03648","NLELDDOK_04226","CLMPPMAO_04441","IABIGAJC_04450","FHJCNOBE_04508","KEBBHCLF_04429","GAMKEBON_03947"
"group_1085","","hypothetical protein",581,581,1,1,3656,NA,NA,"",425,2135,2129,"HJPBANPH_04189","HBFNLEKM_03648","CDIKHPPE_03416","KHAGAGIB_00446","OFPOAPDN_04503","COLOCJJI_04371","ANJCIHOA_04515","FGNPIGJI_04431","GBFFMACB_03687","NLELDDOK_01956","CLMPPMAO_04545","IABIGAJC_02056","FHJCNOBE_04562","KEBBHCLF_04511","GAMKEBON_03844"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"HJPBANPH_04440","HBFNLEKM_04298","CDIKHPPE_03978","KHAGAGIB_04468","OFPOAPDN_04555","COLOCJJI_04507","ANJCIHOA_04587","FGNPIGJI_04542","GBFFMACB_04138","NLELDDOK_04499","CLMPPMAO_04608","IABIGAJC_04469","FHJCNOBE_04591","KEBBHCLF_04470","GAMKEBON_04469"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"HJPBANPH_01166","HBFNLEKM_01933","CDIKHPPE_00773","KHAGAGIB_01245","OFPOAPDN_01343","COLOCJJI_00073","ANJCIHOA_00554","FGNPIGJI_00073","GBFFMACB_00659","NLELDDOK_02448","CLMPPMAO_00073","IABIGAJC_00074","FHJCNOBE_00745","KEBBHCLF_02153","GAMKEBON_01491"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"HJPBANPH_03836","HBFNLEKM_02712","CDIKHPPE_03682","KHAGAGIB_02206","OFPOAPDN_01908","COLOCJJI_01079","ANJCIHOA_01549","FGNPIGJI_04143","GBFFMACB_03336","NLELDDOK_04453","CLMPPMAO_03073","IABIGAJC_04258","FHJCNOBE_03306","KEBBHCLF_00436","GAMKEBON_04411"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"HJPBANPH_01063","HBFNLEKM_00744","CDIKHPPE_01435","KHAGAGIB_01142","OFPOAPDN_01240","COLOCJJI_00176","ANJCIHOA_00451","FGNPIGJI_00176","GBFFMACB_00556","NLELDDOK_04096","CLMPPMAO_00176","IABIGAJC_00177","FHJCNOBE_00642","KEBBHCLF_02050","GAMKEBON_02306"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"HJPBANPH_01600","HBFNLEKM_03299","CDIKHPPE_02186","KHAGAGIB_04059","OFPOAPDN_00047","COLOCJJI_02847","ANJCIHOA_02330","FGNPIGJI_00714","GBFFMACB_01550","NLELDDOK_01170","CLMPPMAO_00714","IABIGAJC_01996","FHJCNOBE_04036","KEBBHCLF_04199","GAMKEBON_03298"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"HJPBANPH_01604","HBFNLEKM_03295","CDIKHPPE_02182","KHAGAGIB_04055","OFPOAPDN_00051","COLOCJJI_02843","ANJCIHOA_02326","FGNPIGJI_00718","GBFFMACB_01546","NLELDDOK_01166","CLMPPMAO_00718","IABIGAJC_01992","FHJCNOBE_04040","KEBBHCLF_04203","GAMKEBON_03302"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"HJPBANPH_01607","HBFNLEKM_03292","CDIKHPPE_02179","KHAGAGIB_04052","OFPOAPDN_00054","COLOCJJI_02840","ANJCIHOA_02323","FGNPIGJI_00721","GBFFMACB_01543","NLELDDOK_01163","CLMPPMAO_00721","IABIGAJC_01989","FHJCNOBE_04043","KEBBHCLF_04206","GAMKEBON_03305"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"HJPBANPH_01608","HBFNLEKM_03291","CDIKHPPE_02178","KHAGAGIB_04051","OFPOAPDN_00055","COLOCJJI_02839","ANJCIHOA_02322","FGNPIGJI_00722","GBFFMACB_01542","NLELDDOK_01162","CLMPPMAO_00722","IABIGAJC_01988","FHJCNOBE_04044","KEBBHCLF_04207","GAMKEBON_03306"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"HJPBANPH_01633","HBFNLEKM_03266","CDIKHPPE_02153","KHAGAGIB_04026","OFPOAPDN_00080","COLOCJJI_02814","ANJCIHOA_02297","FGNPIGJI_00747","GBFFMACB_01517","NLELDDOK_01137","CLMPPMAO_00747","IABIGAJC_01963","FHJCNOBE_04069","KEBBHCLF_00842","GAMKEBON_03331"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"HJPBANPH_01634","HBFNLEKM_03265","CDIKHPPE_02152","KHAGAGIB_04025","OFPOAPDN_00081","COLOCJJI_02813","ANJCIHOA_02296","FGNPIGJI_00748","GBFFMACB_01516","NLELDDOK_01136","CLMPPMAO_00748","IABIGAJC_01962","FHJCNOBE_04070","KEBBHCLF_00841","GAMKEBON_03332"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"HJPBANPH_01635","HBFNLEKM_03264","CDIKHPPE_02151","KHAGAGIB_04024","OFPOAPDN_00082","COLOCJJI_02812","ANJCIHOA_02295","FGNPIGJI_00749","GBFFMACB_01515","NLELDDOK_01135","CLMPPMAO_00749","IABIGAJC_01961","FHJCNOBE_04071","KEBBHCLF_00840","GAMKEBON_03333"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"HJPBANPH_04427","HBFNLEKM_03700","CDIKHPPE_01751","KHAGAGIB_01328","OFPOAPDN_00097","COLOCJJI_02797","ANJCIHOA_02280","FGNPIGJI_00764","GBFFMACB_01500","NLELDDOK_01120","CLMPPMAO_00764","IABIGAJC_01946","FHJCNOBE_02398","KEBBHCLF_00825","GAMKEBON_01032"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"HJPBANPH_04417","HBFNLEKM_03690","CDIKHPPE_01741","KHAGAGIB_01338","OFPOAPDN_00107","COLOCJJI_02787","ANJCIHOA_02270","FGNPIGJI_00774","GBFFMACB_01490","NLELDDOK_01110","CLMPPMAO_00774","IABIGAJC_01936","FHJCNOBE_02408","KEBBHCLF_00815","GAMKEBON_01022"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"HJPBANPH_03558","HBFNLEKM_03688","CDIKHPPE_01739","KHAGAGIB_01340","OFPOAPDN_00109","COLOCJJI_02785","ANJCIHOA_02268","FGNPIGJI_00776","GBFFMACB_01488","NLELDDOK_01108","CLMPPMAO_00776","IABIGAJC_01934","FHJCNOBE_02410","KEBBHCLF_00813","GAMKEBON_01020"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"HJPBANPH_03533","HBFNLEKM_04334","CDIKHPPE_01714","KHAGAGIB_01365","OFPOAPDN_00134","COLOCJJI_02760","ANJCIHOA_02243","FGNPIGJI_00801","GBFFMACB_01463","NLELDDOK_01083","CLMPPMAO_00801","IABIGAJC_01386","FHJCNOBE_02435","KEBBHCLF_00788","GAMKEBON_00995"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"HJPBANPH_03529","HBFNLEKM_04338","CDIKHPPE_01710","KHAGAGIB_01369","OFPOAPDN_00138","COLOCJJI_02756","ANJCIHOA_02239","FGNPIGJI_00805","GBFFMACB_01459","NLELDDOK_01079","CLMPPMAO_00805","IABIGAJC_01390","FHJCNOBE_02439","KEBBHCLF_00784","GAMKEBON_00991"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"HJPBANPH_03519","HBFNLEKM_03874","CDIKHPPE_02803","KHAGAGIB_01379","OFPOAPDN_00148","COLOCJJI_02746","ANJCIHOA_02229","FGNPIGJI_00815","GBFFMACB_01449","NLELDDOK_01069","CLMPPMAO_00815","IABIGAJC_01400","FHJCNOBE_02449","KEBBHCLF_00774","GAMKEBON_00981"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"HJPBANPH_03518","HBFNLEKM_03875","CDIKHPPE_02802","KHAGAGIB_01380","OFPOAPDN_00149","COLOCJJI_02745","ANJCIHOA_02228","FGNPIGJI_00816","GBFFMACB_01448","NLELDDOK_01068","CLMPPMAO_00816","IABIGAJC_01401","FHJCNOBE_02450","KEBBHCLF_00773","GAMKEBON_00980"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"HJPBANPH_03499","HBFNLEKM_03894","CDIKHPPE_02783","KHAGAGIB_01399","OFPOAPDN_00168","COLOCJJI_02726","ANJCIHOA_02209","FGNPIGJI_00835","GBFFMACB_01429","NLELDDOK_01049","CLMPPMAO_00835","IABIGAJC_01420","FHJCNOBE_02469","KEBBHCLF_00754","GAMKEBON_00961"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"HJPBANPH_04167","HBFNLEKM_03202","CDIKHPPE_03520","KHAGAGIB_01414","OFPOAPDN_00183","COLOCJJI_02711","ANJCIHOA_02194","FGNPIGJI_00850","GBFFMACB_01414","NLELDDOK_01034","CLMPPMAO_00850","IABIGAJC_01435","FHJCNOBE_02484","KEBBHCLF_00739","GAMKEBON_00946"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"HJPBANPH_04153","HBFNLEKM_03188","CDIKHPPE_03534","KHAGAGIB_01428","OFPOAPDN_00197","COLOCJJI_02697","ANJCIHOA_02180","FGNPIGJI_00864","GBFFMACB_01400","NLELDDOK_01020","CLMPPMAO_00864","IABIGAJC_01449","FHJCNOBE_02498","KEBBHCLF_00725","GAMKEBON_00932"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"HJPBANPH_03702","HBFNLEKM_03176","CDIKHPPE_04136","KHAGAGIB_01440","OFPOAPDN_00209","COLOCJJI_02685","ANJCIHOA_02168","FGNPIGJI_00876","GBFFMACB_01388","NLELDDOK_01008","CLMPPMAO_00876","IABIGAJC_01461","FHJCNOBE_02510","KEBBHCLF_00713","GAMKEBON_00920"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"HJPBANPH_03696","HBFNLEKM_03170","CDIKHPPE_04130","KHAGAGIB_01446","OFPOAPDN_00215","COLOCJJI_02679","ANJCIHOA_02162","FGNPIGJI_00882","GBFFMACB_01382","NLELDDOK_01002","CLMPPMAO_00882","IABIGAJC_01467","FHJCNOBE_02516","KEBBHCLF_00707","GAMKEBON_00914"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"HJPBANPH_03695","HBFNLEKM_03169","CDIKHPPE_04129","KHAGAGIB_01447","OFPOAPDN_00216","COLOCJJI_02678","ANJCIHOA_02161","FGNPIGJI_00883","GBFFMACB_00732","NLELDDOK_01001","CLMPPMAO_00883","IABIGAJC_01468","FHJCNOBE_02517","KEBBHCLF_00706","GAMKEBON_00913"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"HJPBANPH_03692","HBFNLEKM_03166","CDIKHPPE_04126","KHAGAGIB_01450","OFPOAPDN_00219","COLOCJJI_02675","ANJCIHOA_02158","FGNPIGJI_00886","GBFFMACB_00735","NLELDDOK_00998","CLMPPMAO_00886","IABIGAJC_01471","FHJCNOBE_02520","KEBBHCLF_00703","GAMKEBON_00910"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"HJPBANPH_03686","HBFNLEKM_03160","CDIKHPPE_04021","KHAGAGIB_01456","OFPOAPDN_00225","COLOCJJI_02669","ANJCIHOA_02152","FGNPIGJI_00892","GBFFMACB_00741","NLELDDOK_00992","CLMPPMAO_00892","IABIGAJC_01477","FHJCNOBE_02526","KEBBHCLF_00697","GAMKEBON_00904"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"HJPBANPH_03685","HBFNLEKM_04360","CDIKHPPE_04022","KHAGAGIB_01457","OFPOAPDN_00226","COLOCJJI_02668","ANJCIHOA_02151","FGNPIGJI_00893","GBFFMACB_00742","NLELDDOK_00991","CLMPPMAO_00893","IABIGAJC_01478","FHJCNOBE_02527","KEBBHCLF_00696","GAMKEBON_00903"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"HJPBANPH_03887","HBFNLEKM_02328","CDIKHPPE_01551","KHAGAGIB_01587","OFPOAPDN_00356","COLOCJJI_03819","ANJCIHOA_02021","FGNPIGJI_01023","GBFFMACB_00872","NLELDDOK_03644","CLMPPMAO_01023","IABIGAJC_01608","FHJCNOBE_04120","KEBBHCLF_00567","GAMKEBON_03063"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"HJPBANPH_03888","HBFNLEKM_02327","CDIKHPPE_01550","KHAGAGIB_01588","OFPOAPDN_00357","COLOCJJI_03818","ANJCIHOA_02020","FGNPIGJI_01024","GBFFMACB_00873","NLELDDOK_03645","CLMPPMAO_01024","IABIGAJC_01609","FHJCNOBE_04121","KEBBHCLF_00566","GAMKEBON_03064"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"HJPBANPH_03891","HBFNLEKM_02324","CDIKHPPE_01547","KHAGAGIB_01591","OFPOAPDN_00360","COLOCJJI_03815","ANJCIHOA_02017","FGNPIGJI_01027","GBFFMACB_00876","NLELDDOK_03648","CLMPPMAO_01027","IABIGAJC_01612","FHJCNOBE_04124","KEBBHCLF_00563","GAMKEBON_03067"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"HJPBANPH_03893","HBFNLEKM_02322","CDIKHPPE_01545","KHAGAGIB_01593","OFPOAPDN_00362","COLOCJJI_03813","ANJCIHOA_02015","FGNPIGJI_01029","GBFFMACB_00878","NLELDDOK_03650","CLMPPMAO_01029","IABIGAJC_01614","FHJCNOBE_04126","KEBBHCLF_00561","GAMKEBON_03069"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"HJPBANPH_03898","HBFNLEKM_02317","CDIKHPPE_01540","KHAGAGIB_01598","OFPOAPDN_00367","COLOCJJI_03808","ANJCIHOA_02010","FGNPIGJI_01034","GBFFMACB_00883","NLELDDOK_03655","CLMPPMAO_01034","IABIGAJC_01619","FHJCNOBE_04131","KEBBHCLF_00556","GAMKEBON_03074"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"HJPBANPH_03936","HBFNLEKM_02279","CDIKHPPE_04097","KHAGAGIB_01636","OFPOAPDN_00405","COLOCJJI_03770","ANJCIHOA_01972","FGNPIGJI_01072","GBFFMACB_00921","NLELDDOK_04534","CLMPPMAO_01072","IABIGAJC_01657","FHJCNOBE_04693","KEBBHCLF_00518","GAMKEBON_03112"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"HJPBANPH_00808","HBFNLEKM_03043","CDIKHPPE_01703","KHAGAGIB_04210","OFPOAPDN_00412","COLOCJJI_03117","ANJCIHOA_03399","FGNPIGJI_03212","GBFFMACB_00928","NLELDDOK_01378","CLMPPMAO_01796","IABIGAJC_02889","FHJCNOBE_02836","KEBBHCLF_00511","GAMKEBON_03659"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"HJPBANPH_00818","HBFNLEKM_03053","CDIKHPPE_01693","KHAGAGIB_04200","OFPOAPDN_00422","COLOCJJI_03107","ANJCIHOA_03389","FGNPIGJI_03222","GBFFMACB_00938","NLELDDOK_01388","CLMPPMAO_01806","IABIGAJC_02879","FHJCNOBE_02826","KEBBHCLF_00501","GAMKEBON_03649"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"HJPBANPH_00825","HBFNLEKM_03060","CDIKHPPE_01686","KHAGAGIB_04193","OFPOAPDN_00429","COLOCJJI_03100","ANJCIHOA_03382","FGNPIGJI_03229","GBFFMACB_00945","NLELDDOK_01395","CLMPPMAO_01813","IABIGAJC_02872","FHJCNOBE_02819","KEBBHCLF_00494","GAMKEBON_03642"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"HJPBANPH_00833","HBFNLEKM_03068","CDIKHPPE_01678","KHAGAGIB_04185","OFPOAPDN_00437","COLOCJJI_03092","ANJCIHOA_03374","FGNPIGJI_03237","GBFFMACB_00953","NLELDDOK_01403","CLMPPMAO_01821","IABIGAJC_02864","FHJCNOBE_02811","KEBBHCLF_00486","GAMKEBON_03634"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"HJPBANPH_00869","HBFNLEKM_03104","CDIKHPPE_01642","KHAGAGIB_04149","OFPOAPDN_00473","COLOCJJI_03056","ANJCIHOA_03338","FGNPIGJI_03273","GBFFMACB_04780","NLELDDOK_01439","CLMPPMAO_01857","IABIGAJC_02828","FHJCNOBE_02775","KEBBHCLF_00450","GAMKEBON_03598"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"HJPBANPH_00899","HBFNLEKM_02132","CDIKHPPE_00283","KHAGAGIB_02466","OFPOAPDN_00503","COLOCJJI_03026","ANJCIHOA_03308","FGNPIGJI_03303","GBFFMACB_02799","NLELDDOK_01469","CLMPPMAO_01887","IABIGAJC_02798","FHJCNOBE_02745","KEBBHCLF_02795","GAMKEBON_01796"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"HJPBANPH_00905","HBFNLEKM_02138","CDIKHPPE_00289","KHAGAGIB_02472","OFPOAPDN_00509","COLOCJJI_03020","ANJCIHOA_03302","FGNPIGJI_03309","GBFFMACB_02793","NLELDDOK_01475","CLMPPMAO_01893","IABIGAJC_02792","FHJCNOBE_02739","KEBBHCLF_02801","GAMKEBON_01790"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"HJPBANPH_00906","HBFNLEKM_02139","CDIKHPPE_00290","KHAGAGIB_02473","OFPOAPDN_00510","COLOCJJI_03019","ANJCIHOA_03301","FGNPIGJI_03310","GBFFMACB_02792","NLELDDOK_01476","CLMPPMAO_01894","IABIGAJC_02791","FHJCNOBE_02738","KEBBHCLF_02802","GAMKEBON_01789"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"HJPBANPH_00937","HBFNLEKM_02170","CDIKHPPE_00320","KHAGAGIB_02504","OFPOAPDN_00541","COLOCJJI_02988","ANJCIHOA_03270","FGNPIGJI_03341","GBFFMACB_02761","NLELDDOK_01506","CLMPPMAO_01925","IABIGAJC_02760","FHJCNOBE_02707","KEBBHCLF_02833","GAMKEBON_01758"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"HJPBANPH_00939","HBFNLEKM_02172","CDIKHPPE_00322","KHAGAGIB_02506","OFPOAPDN_00543","COLOCJJI_02986","ANJCIHOA_03268","FGNPIGJI_03343","GBFFMACB_02759","NLELDDOK_01508","CLMPPMAO_01927","IABIGAJC_02758","FHJCNOBE_02705","KEBBHCLF_02835","GAMKEBON_01756"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"HJPBANPH_00945","HBFNLEKM_02178","CDIKHPPE_00328","KHAGAGIB_02512","OFPOAPDN_00549","COLOCJJI_02980","ANJCIHOA_03262","FGNPIGJI_03349","GBFFMACB_02753","NLELDDOK_01514","CLMPPMAO_01933","IABIGAJC_02752","FHJCNOBE_02699","KEBBHCLF_02841","GAMKEBON_01750"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"HJPBANPH_00952","HBFNLEKM_02185","CDIKHPPE_00335","KHAGAGIB_02519","OFPOAPDN_00556","COLOCJJI_02973","ANJCIHOA_03255","FGNPIGJI_03356","GBFFMACB_02746","NLELDDOK_01521","CLMPPMAO_01940","IABIGAJC_02745","FHJCNOBE_02692","KEBBHCLF_02848","GAMKEBON_01743"
"cho","","Excinuclease cho",581,581,1,1,5337,NA,NA,"",881,908,881,"HJPBANPH_00956","HBFNLEKM_04449","CDIKHPPE_00339","KHAGAGIB_02523","OFPOAPDN_00560","COLOCJJI_02969","ANJCIHOA_03251","FGNPIGJI_03360","GBFFMACB_02742","NLELDDOK_01525","CLMPPMAO_01944","IABIGAJC_02741","FHJCNOBE_02688","KEBBHCLF_02852","GAMKEBON_01739"
