"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR14766369","SRR25097973","SRR27714941","SRR14766372","SRR14766387","SRR15146546","SRR14766349","SRR8297625","SRR14095467","SRR14766450","SRR23043674","SRR1515953","SRR9016861","SRR5905515","NDSU26"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"MDPCJDML_00312","NGHFEAKD_00698","JBHNMEAO_00785","OFPOAPDN_00226","AFLICIDC_00181","NAPOKNNJ_00518","FMNDBGIB_01402","MJBBHCGK_03276","EIKGHHBD_00520","MKNLEGFG_00227","HLOGJBDP_00227","JICBPFCI_01032","DPFOFGOO_00831","AAOLMGCP_03136","CLIIGENJ_01895"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"MDPCJDML_00182","NGHFEAKD_00828","JBHNMEAO_00655","OFPOAPDN_00356","AFLICIDC_00051","NAPOKNNJ_00388","FMNDBGIB_02748","MJBBHCGK_03405","EIKGHHBD_00391","MKNLEGFG_00357","HLOGJBDP_00357","JICBPFCI_01161","DPFOFGOO_00961","AAOLMGCP_03006","CLIIGENJ_02024"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"MDPCJDML_00181","NGHFEAKD_00829","JBHNMEAO_00654","OFPOAPDN_00357","AFLICIDC_00050","NAPOKNNJ_00387","FMNDBGIB_02749","MJBBHCGK_03406","EIKGHHBD_00390","MKNLEGFG_00358","HLOGJBDP_00358","JICBPFCI_01162","DPFOFGOO_00962","AAOLMGCP_03005","CLIIGENJ_02025"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"MDPCJDML_00178","NGHFEAKD_00832","JBHNMEAO_00651","OFPOAPDN_00360","AFLICIDC_00047","NAPOKNNJ_00384","FMNDBGIB_02752","MJBBHCGK_03409","EIKGHHBD_00387","MKNLEGFG_00361","HLOGJBDP_00361","JICBPFCI_01165","DPFOFGOO_00965","AAOLMGCP_03002","CLIIGENJ_02028"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"MDPCJDML_00176","NGHFEAKD_00834","JBHNMEAO_00649","OFPOAPDN_00362","AFLICIDC_00045","NAPOKNNJ_00382","FMNDBGIB_02754","MJBBHCGK_03411","EIKGHHBD_00385","MKNLEGFG_00363","HLOGJBDP_00363","JICBPFCI_01167","DPFOFGOO_00967","AAOLMGCP_03000","CLIIGENJ_02030"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"MDPCJDML_00171","NGHFEAKD_00839","JBHNMEAO_00644","OFPOAPDN_00367","AFLICIDC_00040","NAPOKNNJ_00377","FMNDBGIB_02759","MJBBHCGK_03416","EIKGHHBD_00380","MKNLEGFG_00368","HLOGJBDP_00368","JICBPFCI_01172","DPFOFGOO_00972","AAOLMGCP_02995","CLIIGENJ_02035"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"MDPCJDML_00133","NGHFEAKD_00877","JBHNMEAO_00606","OFPOAPDN_00405","AFLICIDC_00002","NAPOKNNJ_00339","FMNDBGIB_04452","MJBBHCGK_03454","EIKGHHBD_00342","MKNLEGFG_00406","HLOGJBDP_00406","JICBPFCI_01210","DPFOFGOO_01010","AAOLMGCP_02957","CLIIGENJ_02073"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"MDPCJDML_00126","NGHFEAKD_01581","JBHNMEAO_01344","OFPOAPDN_00412","AFLICIDC_01387","NAPOKNNJ_00332","FMNDBGIB_01381","MJBBHCGK_01188","EIKGHHBD_00335","MKNLEGFG_03367","HLOGJBDP_00413","JICBPFCI_01994","DPFOFGOO_01348","AAOLMGCP_04143","CLIIGENJ_03131"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"MDPCJDML_00116","NGHFEAKD_01591","JBHNMEAO_01334","OFPOAPDN_00422","AFLICIDC_01377","NAPOKNNJ_00322","FMNDBGIB_01371","MJBBHCGK_01198","EIKGHHBD_00325","MKNLEGFG_03377","HLOGJBDP_00423","JICBPFCI_01984","DPFOFGOO_01358","AAOLMGCP_04153","CLIIGENJ_03121"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"MDPCJDML_00109","NGHFEAKD_01598","JBHNMEAO_01327","OFPOAPDN_00429","AFLICIDC_01370","NAPOKNNJ_00315","FMNDBGIB_01364","MJBBHCGK_01205","EIKGHHBD_00318","MKNLEGFG_03384","HLOGJBDP_00430","JICBPFCI_01977","DPFOFGOO_01365","AAOLMGCP_04160","CLIIGENJ_03114"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"MDPCJDML_00101","NGHFEAKD_01606","JBHNMEAO_01319","OFPOAPDN_00437","AFLICIDC_01362","NAPOKNNJ_00307","FMNDBGIB_01356","MJBBHCGK_01213","EIKGHHBD_00310","MKNLEGFG_03392","HLOGJBDP_00438","JICBPFCI_01969","DPFOFGOO_01373","AAOLMGCP_04168","CLIIGENJ_03106"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"MDPCJDML_00065","NGHFEAKD_01642","JBHNMEAO_01283","OFPOAPDN_00473","AFLICIDC_01326","NAPOKNNJ_00271","FMNDBGIB_01320","MJBBHCGK_01249","EIKGHHBD_00274","MKNLEGFG_03428","HLOGJBDP_00474","JICBPFCI_01933","DPFOFGOO_01409","AAOLMGCP_04204","CLIIGENJ_03070"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"MDPCJDML_00035","NGHFEAKD_01672","JBHNMEAO_01253","OFPOAPDN_00503","AFLICIDC_01296","NAPOKNNJ_00241","FMNDBGIB_01290","MJBBHCGK_01279","EIKGHHBD_00244","MKNLEGFG_03458","HLOGJBDP_00504","JICBPFCI_01903","DPFOFGOO_01439","AAOLMGCP_04234","CLIIGENJ_03040"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"MDPCJDML_00029","NGHFEAKD_01678","JBHNMEAO_01247","OFPOAPDN_00509","AFLICIDC_01290","NAPOKNNJ_00235","FMNDBGIB_01284","MJBBHCGK_01285","EIKGHHBD_00238","MKNLEGFG_03464","HLOGJBDP_00510","JICBPFCI_01897","DPFOFGOO_01445","AAOLMGCP_03451","CLIIGENJ_03034"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"MDPCJDML_00028","NGHFEAKD_01679","JBHNMEAO_01246","OFPOAPDN_00510","AFLICIDC_01289","NAPOKNNJ_00234","FMNDBGIB_01283","MJBBHCGK_01286","EIKGHHBD_00237","MKNLEGFG_03465","HLOGJBDP_00511","JICBPFCI_01896","DPFOFGOO_01446","AAOLMGCP_03450","CLIIGENJ_03033"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"MDPCJDML_03513","NGHFEAKD_01710","JBHNMEAO_01215","OFPOAPDN_00541","AFLICIDC_01259","NAPOKNNJ_00203","FMNDBGIB_01253","MJBBHCGK_01317","EIKGHHBD_00206","MKNLEGFG_01576","HLOGJBDP_00542","JICBPFCI_01865","DPFOFGOO_01476","AAOLMGCP_03419","CLIIGENJ_03002"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"MDPCJDML_03515","NGHFEAKD_01712","JBHNMEAO_01213","OFPOAPDN_00543","AFLICIDC_01257","NAPOKNNJ_00201","FMNDBGIB_01251","MJBBHCGK_01319","EIKGHHBD_00204","MKNLEGFG_01578","HLOGJBDP_00544","JICBPFCI_01863","DPFOFGOO_01478","AAOLMGCP_03417","CLIIGENJ_03000"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"MDPCJDML_03521","NGHFEAKD_01718","JBHNMEAO_01207","OFPOAPDN_00549","AFLICIDC_01251","NAPOKNNJ_00195","FMNDBGIB_01245","MJBBHCGK_01325","EIKGHHBD_00198","MKNLEGFG_01584","HLOGJBDP_00550","JICBPFCI_01857","DPFOFGOO_01484","AAOLMGCP_03411","CLIIGENJ_02994"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"MDPCJDML_03528","NGHFEAKD_01725","JBHNMEAO_01200","OFPOAPDN_00556","AFLICIDC_01244","NAPOKNNJ_00188","FMNDBGIB_01238","MJBBHCGK_01332","EIKGHHBD_00191","MKNLEGFG_01591","HLOGJBDP_00557","JICBPFCI_01850","DPFOFGOO_01491","AAOLMGCP_03404","CLIIGENJ_02987"
