"Gene","Non.unique.Gene.name","Annotation","No..isolates","No..sequences","Avg.sequences.per.isolate","Genome.Fragment","Order.within.Fragment","Accessory.Fragment","Accessory.Order.with.Fragment","QC","Min.group.size.nuc","Max.group.size.nuc","Avg.group.size.nuc","SRR14766433","SRR3037491","SRR8280066","SRR14766463","SRR11101205","SRR8280071","SRR14766430","SRR14766401","SRR14766385","SRR5350414","SRR2911779","SRR1514770","NDSU10","SRR11068404","SRR19317097"
"zraS","","Sensor protein ZraS",581,581,1,1,1524,NA,NA,"",779,1463,1460,"JOCLDNKJ_04318","GJABAPEG_04595","FLNDLMAF_04617","GIMAHOAG_04530","GGECDONP_04543","KGBCLIJM_04494","GHDKDIHM_04506","PDDJGGLI_04540","HLFBFLHK_04244","ILNMAOIA_04575","OJHJBKHD_04521","PNDPEECJ_04384","PGKCJFEA_04200","NHHFDHOA_04563","OKIGJMAO_04296"
"deaD","","ATP-dependent RNA helicase DeaD",581,581,1,1,2619,NA,NA,"",1745,1913,1888,"JOCLDNKJ_02035","GJABAPEG_01341","FLNDLMAF_03809","GIMAHOAG_01292","GGECDONP_01639","KGBCLIJM_02307","GHDKDIHM_02504","PDDJGGLI_00595","HLFBFLHK_01117","ILNMAOIA_02077","OJHJBKHD_03133","PNDPEECJ_01093","PGKCJFEA_00866","NHHFDHOA_03028","OKIGJMAO_02272"
"metH","","Methionine synthase",581,581,1,1,2012,NA,NA,"",3206,3689,3682,"JOCLDNKJ_03393","GJABAPEG_01422","FLNDLMAF_02965","GIMAHOAG_03308","GGECDONP_04043","KGBCLIJM_03820","GHDKDIHM_04040","PDDJGGLI_01103","HLFBFLHK_04085","ILNMAOIA_01846","OJHJBKHD_00398","PNDPEECJ_01338","PGKCJFEA_04403","NHHFDHOA_00437","OKIGJMAO_03565"
"ftsP","","Cell division protein FtsP",581,581,1,1,2726,NA,NA,"",563,1418,1410,"JOCLDNKJ_03880","GJABAPEG_01238","FLNDLMAF_00004","GIMAHOAG_01189","GGECDONP_01536","KGBCLIJM_00020","GHDKDIHM_02401","PDDJGGLI_00492","HLFBFLHK_02971","ILNMAOIA_01974","OJHJBKHD_02081","PNDPEECJ_04227","PGKCJFEA_00763","NHHFDHOA_03365","OKIGJMAO_03539"
"nudL","","putative Nudix hydrolase NudL",581,581,1,1,4771,NA,NA,"",203,578,577,"JOCLDNKJ_02494","GJABAPEG_00700","FLNDLMAF_00956","GIMAHOAG_01962","GGECDONP_03936","KGBCLIJM_03653","GHDKDIHM_00415","PDDJGGLI_01470","HLFBFLHK_03091","ILNMAOIA_00811","OJHJBKHD_02782","PNDPEECJ_03339","PGKCJFEA_01878","NHHFDHOA_00804","OKIGJMAO_03239"
"yoaA","","putative ATP-dependent DNA helicase YoaA",581,581,1,1,4775,NA,NA,"",1604,1910,1909,"JOCLDNKJ_02490","GJABAPEG_00696","FLNDLMAF_00960","GIMAHOAG_01958","GGECDONP_03940","KGBCLIJM_03657","GHDKDIHM_00419","PDDJGGLI_01466","HLFBFLHK_03087","ILNMAOIA_00815","OJHJBKHD_02786","PNDPEECJ_03343","PGKCJFEA_01874","NHHFDHOA_00800","OKIGJMAO_03243"
"fadD","","Long-chain-fatty-acid--CoA ligase",581,581,1,1,4778,NA,NA,"",1457,1751,1750,"JOCLDNKJ_02487","GJABAPEG_00693","FLNDLMAF_00963","GIMAHOAG_01955","GGECDONP_03943","KGBCLIJM_03660","GHDKDIHM_00422","PDDJGGLI_01463","HLFBFLHK_03084","ILNMAOIA_00818","OJHJBKHD_02789","PNDPEECJ_03346","PGKCJFEA_01871","NHHFDHOA_00797","OKIGJMAO_03246"
"rnd","","Ribonuclease D",581,581,1,1,4779,NA,NA,"",746,1115,1114,"JOCLDNKJ_02486","GJABAPEG_00692","FLNDLMAF_00964","GIMAHOAG_01954","GGECDONP_03944","KGBCLIJM_03661","GHDKDIHM_00423","PDDJGGLI_01462","HLFBFLHK_03083","ILNMAOIA_00819","OJHJBKHD_02790","PNDPEECJ_03347","PGKCJFEA_01870","NHHFDHOA_00796","OKIGJMAO_03247"
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1",581,581,1,1,4804,NA,NA,"",896,1544,1542,"JOCLDNKJ_02461","GJABAPEG_00667","FLNDLMAF_00989","GIMAHOAG_01929","GGECDONP_03969","KGBCLIJM_03686","GHDKDIHM_00448","PDDJGGLI_01437","HLFBFLHK_03058","ILNMAOIA_00844","OJHJBKHD_02815","PNDPEECJ_03372","PGKCJFEA_01845","NHHFDHOA_00771","OKIGJMAO_03272"
"group_1158","","hypothetical protein",581,581,1,1,4805,NA,NA,"",356,848,846,"JOCLDNKJ_02460","GJABAPEG_00666","FLNDLMAF_00990","GIMAHOAG_01928","GGECDONP_03970","KGBCLIJM_03687","GHDKDIHM_00449","PDDJGGLI_01436","HLFBFLHK_03057","ILNMAOIA_00845","OJHJBKHD_02816","PNDPEECJ_03373","PGKCJFEA_01844","NHHFDHOA_00770","OKIGJMAO_03273"
"hyaE","","Hydrogenase-1 operon protein HyaE",581,581,1,1,4806,NA,NA,"",404,455,404,"JOCLDNKJ_02459","GJABAPEG_00665","FLNDLMAF_00991","GIMAHOAG_01927","GGECDONP_03971","KGBCLIJM_03688","GHDKDIHM_00450","PDDJGGLI_01435","HLFBFLHK_03056","ILNMAOIA_00846","OJHJBKHD_02817","PNDPEECJ_03374","PGKCJFEA_01843","NHHFDHOA_00769","OKIGJMAO_03274"
"prfA","","Peptide chain release factor RF1",581,581,1,1,4823,NA,NA,"",632,1082,1081,"JOCLDNKJ_02444","GJABAPEG_00650","FLNDLMAF_01006","GIMAHOAG_01912","GGECDONP_01856","KGBCLIJM_02101","GHDKDIHM_02349","PDDJGGLI_01420","HLFBFLHK_04132","ILNMAOIA_03123","OJHJBKHD_02832","PNDPEECJ_03230","PGKCJFEA_01828","NHHFDHOA_00754","OKIGJMAO_00009"
"narX","","Nitrate/nitrite sensor protein NarX",581,581,1,1,4833,NA,NA,"",1739,1796,1795,"JOCLDNKJ_02434","GJABAPEG_00640","FLNDLMAF_01016","GIMAHOAG_01902","GGECDONP_01846","KGBCLIJM_02091","GHDKDIHM_02339","PDDJGGLI_01410","HLFBFLHK_04142","ILNMAOIA_03133","OJHJBKHD_02842","PNDPEECJ_03220","PGKCJFEA_01818","NHHFDHOA_00744","OKIGJMAO_00019"
"narG","","Respiratory nitrate reductase 1 alpha chain",581,581,1,1,4835,NA,NA,"",1712,3743,3739,"JOCLDNKJ_02432","GJABAPEG_00638","FLNDLMAF_01018","GIMAHOAG_01900","GGECDONP_01844","KGBCLIJM_02089","GHDKDIHM_02337","PDDJGGLI_01408","HLFBFLHK_04520","ILNMAOIA_03135","OJHJBKHD_02844","PNDPEECJ_03218","PGKCJFEA_01816","NHHFDHOA_00742","OKIGJMAO_00021"
"yciI","","Protein YciI",581,581,1,1,4860,NA,NA,"",221,296,295,"JOCLDNKJ_02407","GJABAPEG_00613","FLNDLMAF_01042","GIMAHOAG_01875","GGECDONP_01819","KGBCLIJM_02064","GHDKDIHM_02312","PDDJGGLI_01383","HLFBFLHK_03820","ILNMAOIA_03160","OJHJBKHD_02869","PNDPEECJ_03193","PGKCJFEA_00725","NHHFDHOA_00717","OKIGJMAO_00046"
"group_1165","","hypothetical protein",581,581,1,1,4864,NA,NA,"",641,743,742,"JOCLDNKJ_02403","GJABAPEG_00609","FLNDLMAF_01046","GIMAHOAG_01871","GGECDONP_01815","KGBCLIJM_02060","GHDKDIHM_02308","PDDJGGLI_01379","HLFBFLHK_03824","ILNMAOIA_03164","OJHJBKHD_02873","PNDPEECJ_03189","PGKCJFEA_00721","NHHFDHOA_00713","OKIGJMAO_00050"
"trpGD","","Bifunctional protein TrpGD",581,581,1,1,4874,NA,NA,"",431,1595,1590,"JOCLDNKJ_00556","GJABAPEG_00599","FLNDLMAF_01056","GIMAHOAG_01861","GGECDONP_01805","KGBCLIJM_02050","GHDKDIHM_02298","PDDJGGLI_01369","HLFBFLHK_03639","ILNMAOIA_03174","OJHJBKHD_02883","PNDPEECJ_03179","PGKCJFEA_00711","NHHFDHOA_00703","OKIGJMAO_00060"
"trpE","","Anthranilate synthase component 1",581,581,1,1,4875,NA,NA,"",374,1562,1559,"JOCLDNKJ_00557","GJABAPEG_00598","FLNDLMAF_01057","GIMAHOAG_01860","GGECDONP_01804","KGBCLIJM_02049","GHDKDIHM_02297","PDDJGGLI_01368","HLFBFLHK_03638","ILNMAOIA_03175","OJHJBKHD_02884","PNDPEECJ_03178","PGKCJFEA_00710","NHHFDHOA_00702","OKIGJMAO_00061"
"osmB","","Osmotically-inducible lipoprotein B",581,581,1,1,4895,NA,NA,"",197,218,217,"JOCLDNKJ_00576","GJABAPEG_00579","FLNDLMAF_01076","GIMAHOAG_01841","GGECDONP_01785","KGBCLIJM_02030","GHDKDIHM_02278","PDDJGGLI_01349","HLFBFLHK_03619","ILNMAOIA_03194","OJHJBKHD_02903","PNDPEECJ_02888","PGKCJFEA_00691","NHHFDHOA_00683","OKIGJMAO_00080"
"pspA","","Phage shock protein A",581,581,1,1,4913,NA,NA,"",398,668,667,"JOCLDNKJ_00591","GJABAPEG_00564","FLNDLMAF_01091","GIMAHOAG_01825","GGECDONP_01770","KGBCLIJM_02015","GHDKDIHM_02263","PDDJGGLI_01334","HLFBFLHK_04197","ILNMAOIA_03209","OJHJBKHD_02532","PNDPEECJ_02903","PGKCJFEA_00676","NHHFDHOA_00668","OKIGJMAO_00095"
"ytbE","","putative oxidoreductase YtbE",581,581,1,1,4927,NA,NA,"",830,869,839,"JOCLDNKJ_00605","GJABAPEG_00550","FLNDLMAF_01105","GIMAHOAG_01811","GGECDONP_01756","KGBCLIJM_02001","GHDKDIHM_02249","PDDJGGLI_01320","HLFBFLHK_01884","ILNMAOIA_03223","OJHJBKHD_02518","PNDPEECJ_02917","PGKCJFEA_00662","NHHFDHOA_00654","OKIGJMAO_00109"
"puuR","","HTH-type transcriptional regulator PuuR",581,581,1,1,4940,NA,NA,"",341,602,601,"JOCLDNKJ_00617","GJABAPEG_00538","FLNDLMAF_01117","GIMAHOAG_01799","GGECDONP_01744","KGBCLIJM_01989","GHDKDIHM_02237","PDDJGGLI_01308","HLFBFLHK_01896","ILNMAOIA_03235","OJHJBKHD_02506","PNDPEECJ_02929","PGKCJFEA_00650","NHHFDHOA_00642","OKIGJMAO_00121"
"smrA","","putative DNA endonuclease SmrA",581,581,1,1,4948,NA,NA,"",326,563,562,"JOCLDNKJ_00623","GJABAPEG_00532","FLNDLMAF_01123","GIMAHOAG_01793","GGECDONP_01738","KGBCLIJM_01983","GHDKDIHM_02231","PDDJGGLI_01302","HLFBFLHK_01902","ILNMAOIA_03241","OJHJBKHD_02500","PNDPEECJ_02935","PGKCJFEA_00644","NHHFDHOA_00636","OKIGJMAO_00127"
"tap","","Methyl-accepting chemotaxis protein IV",581,581,1,1,4950,NA,NA,"",1091,1154,1153,"JOCLDNKJ_00624","GJABAPEG_00531","FLNDLMAF_01124","GIMAHOAG_01792","GGECDONP_01737","KGBCLIJM_01982","GHDKDIHM_02230","PDDJGGLI_01301","HLFBFLHK_01903","ILNMAOIA_03242","OJHJBKHD_02499","PNDPEECJ_02936","PGKCJFEA_00643","NHHFDHOA_00635","OKIGJMAO_00128"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase",581,581,1,1,4954,NA,NA,"",257,935,933,"JOCLDNKJ_00627","GJABAPEG_00528","FLNDLMAF_01127","GIMAHOAG_01789","GGECDONP_01734","KGBCLIJM_01979","GHDKDIHM_02227","PDDJGGLI_01298","HLFBFLHK_01906","ILNMAOIA_03245","OJHJBKHD_02496","PNDPEECJ_02939","PGKCJFEA_00640","NHHFDHOA_00632","OKIGJMAO_00131"
"ldhA","","D-lactate dehydrogenase",581,581,1,1,4960,NA,NA,"",935,989,988,"JOCLDNKJ_00633","GJABAPEG_00522","FLNDLMAF_01133","GIMAHOAG_01783","GGECDONP_01728","KGBCLIJM_01973","GHDKDIHM_02221","PDDJGGLI_01292","HLFBFLHK_01912","ILNMAOIA_03251","OJHJBKHD_02490","PNDPEECJ_02945","PGKCJFEA_00634","NHHFDHOA_00626","OKIGJMAO_00137"
"group_1180","","hypothetical protein",581,581,1,1,4961,NA,NA,"",2339,2636,2635,"JOCLDNKJ_00634","GJABAPEG_00521","FLNDLMAF_01134","GIMAHOAG_01782","GGECDONP_01727","KGBCLIJM_01972","GHDKDIHM_02220","PDDJGGLI_01291","HLFBFLHK_01913","ILNMAOIA_03252","OJHJBKHD_02489","PNDPEECJ_02946","PGKCJFEA_00633","NHHFDHOA_00625","OKIGJMAO_00138"
"dcp","","Dipeptidyl carboxypeptidase",581,581,1,1,5116,NA,NA,"",1028,1082,1081,"JOCLDNKJ_00763","GJABAPEG_00391","FLNDLMAF_01265","GIMAHOAG_03882","GGECDONP_02962","KGBCLIJM_02643","GHDKDIHM_03359","PDDJGGLI_01161","HLFBFLHK_02463","ILNMAOIA_03318","OJHJBKHD_02359","PNDPEECJ_02503","PGKCJFEA_03320","NHHFDHOA_00495","OKIGJMAO_00267"
"ydfG","","NADP-dependent 3-hydroxy acid dehydrogenase YdfG",581,581,1,1,5117,NA,NA,"",677,746,745,"JOCLDNKJ_00764","GJABAPEG_00390","FLNDLMAF_01266","GIMAHOAG_03881","GGECDONP_02961","KGBCLIJM_02644","GHDKDIHM_03360","PDDJGGLI_01160","HLFBFLHK_02462","ILNMAOIA_03317","OJHJBKHD_02358","PNDPEECJ_02504","PGKCJFEA_03321","NHHFDHOA_00494","OKIGJMAO_00268"
"por_2","","Polyol:NADP oxidoreductase",581,581,1,1,5120,NA,NA,"",596,1466,1464,"JOCLDNKJ_00767","GJABAPEG_00387","FLNDLMAF_01269","GIMAHOAG_03878","GGECDONP_02958","KGBCLIJM_02647","GHDKDIHM_03363","PDDJGGLI_01157","HLFBFLHK_02459","ILNMAOIA_03314","OJHJBKHD_02355","PNDPEECJ_02507","PGKCJFEA_03324","NHHFDHOA_00491","OKIGJMAO_00271"
"rspB_1","","Starvation-sensing protein RspB",581,581,1,1,5123,NA,NA,"",533,554,553,"JOCLDNKJ_00769","GJABAPEG_00385","FLNDLMAF_01271","GIMAHOAG_03876","GGECDONP_02956","KGBCLIJM_02649","GHDKDIHM_03365","PDDJGGLI_01155","HLFBFLHK_02457","ILNMAOIA_03312","OJHJBKHD_02353","PNDPEECJ_02509","PGKCJFEA_03326","NHHFDHOA_00489","OKIGJMAO_00273"
"speG","","Spermidine N(1)-acetyltransferase",581,581,1,1,5128,NA,NA,"",560,611,560,"JOCLDNKJ_00774","GJABAPEG_00380","FLNDLMAF_01276","GIMAHOAG_03871","GGECDONP_02951","KGBCLIJM_02654","GHDKDIHM_03370","PDDJGGLI_01150","HLFBFLHK_02452","ILNMAOIA_03307","OJHJBKHD_02348","PNDPEECJ_02514","PGKCJFEA_03331","NHHFDHOA_00484","OKIGJMAO_00278"
"add","","Adenosine deaminase",581,581,1,1,5171,NA,NA,"",833,1001,1000,"JOCLDNKJ_00812","GJABAPEG_00342","FLNDLMAF_01314","GIMAHOAG_03833","GGECDONP_02913","KGBCLIJM_02692","GHDKDIHM_03408","PDDJGGLI_01112","HLFBFLHK_04321","ILNMAOIA_03269","OJHJBKHD_02310","PNDPEECJ_02552","PGKCJFEA_03134","NHHFDHOA_00446","OKIGJMAO_04618"
"rsxD","","Ion-translocating oxidoreductase complex subunit D",581,581,1,1,5180,NA,NA,"",998,1058,1057,"JOCLDNKJ_01484","GJABAPEG_00335","FLNDLMAF_02361","GIMAHOAG_01370","GGECDONP_01870","KGBCLIJM_01127","GHDKDIHM_01853","PDDJGGLI_02576","HLFBFLHK_00755","ILNMAOIA_02647","OJHJBKHD_01792","PNDPEECJ_03741","PGKCJFEA_03141","NHHFDHOA_01088","OKIGJMAO_02594"
"mliC","","Membrane-bound lysozyme inhibitor of C-type lysozyme",581,581,1,1,5190,NA,NA,"",329,362,337,"JOCLDNKJ_01474","GJABAPEG_00325","FLNDLMAF_02371","GIMAHOAG_01380","GGECDONP_01880","KGBCLIJM_01137","GHDKDIHM_01843","PDDJGGLI_02586","HLFBFLHK_00745","ILNMAOIA_02637","OJHJBKHD_01782","PNDPEECJ_03751","PGKCJFEA_03151","NHHFDHOA_01098","OKIGJMAO_02584"
"sodC","","Superoxide dismutase [Cu-Zn]",581,581,1,1,5198,NA,NA,"",389,521,520,"JOCLDNKJ_01467","GJABAPEG_00318","FLNDLMAF_02378","GIMAHOAG_01387","GGECDONP_01887","KGBCLIJM_01144","GHDKDIHM_01836","PDDJGGLI_02593","HLFBFLHK_00738","ILNMAOIA_02630","OJHJBKHD_01775","PNDPEECJ_03758","PGKCJFEA_03158","NHHFDHOA_01105","OKIGJMAO_02577"
"mepH","","Murein DD-endopeptidase MepH",581,581,1,1,5206,NA,NA,"",443,821,820,"JOCLDNKJ_01459","GJABAPEG_00310","FLNDLMAF_02386","GIMAHOAG_01395","GGECDONP_01895","KGBCLIJM_01152","GHDKDIHM_01828","PDDJGGLI_02601","HLFBFLHK_00730","ILNMAOIA_02622","OJHJBKHD_01767","PNDPEECJ_03766","PGKCJFEA_04524","NHHFDHOA_01113","OKIGJMAO_02569"
"sseA_1","","Type III secretion system chaperone SseA",581,581,1,1,5242,NA,NA,"",119,323,322,"JOCLDNKJ_01423","GJABAPEG_00274","FLNDLMAF_02422","GIMAHOAG_01431","GGECDONP_01931","KGBCLIJM_01188","GHDKDIHM_01792","PDDJGGLI_02637","HLFBFLHK_00694","ILNMAOIA_02586","OJHJBKHD_01731","PNDPEECJ_03802","PGKCJFEA_02322","NHHFDHOA_01149","OKIGJMAO_02533"
"tcyP_2","","L-cystine uptake protein TcyP",581,581,1,1,5274,NA,NA,"",1334,1346,1345,"JOCLDNKJ_01393","GJABAPEG_00244","FLNDLMAF_02452","GIMAHOAG_01462","GGECDONP_01961","KGBCLIJM_01218","GHDKDIHM_01762","PDDJGGLI_02667","HLFBFLHK_00664","ILNMAOIA_02556","OJHJBKHD_01701","PNDPEECJ_01202","PGKCJFEA_02352","NHHFDHOA_01179","OKIGJMAO_02503"
"ydiM","","Inner membrane transport protein YdiM",581,581,1,1,5281,NA,NA,"",374,1142,1140,"JOCLDNKJ_01387","GJABAPEG_00238","FLNDLMAF_02458","GIMAHOAG_01468","GGECDONP_01967","KGBCLIJM_01224","GHDKDIHM_01756","PDDJGGLI_02673","HLFBFLHK_00658","ILNMAOIA_02550","OJHJBKHD_01695","PNDPEECJ_01208","PGKCJFEA_02358","NHHFDHOA_01185","OKIGJMAO_02497"
"ydiN","","Inner membrane transport protein YdiN",581,581,1,1,5282,NA,NA,"",1157,1235,1234,"JOCLDNKJ_01386","GJABAPEG_00237","FLNDLMAF_02459","GIMAHOAG_01469","GGECDONP_01968","KGBCLIJM_01225","GHDKDIHM_01755","PDDJGGLI_02674","HLFBFLHK_00657","ILNMAOIA_02549","OJHJBKHD_01694","PNDPEECJ_01209","PGKCJFEA_02359","NHHFDHOA_01186","OKIGJMAO_02496"
"group_1229","","hypothetical protein",581,581,1,1,5317,NA,NA,"",449,959,957,"JOCLDNKJ_01356","GJABAPEG_00206","FLNDLMAF_02490","GIMAHOAG_01500","GGECDONP_01999","KGBCLIJM_01256","GHDKDIHM_01724","PDDJGGLI_02705","HLFBFLHK_00627","ILNMAOIA_02518","OJHJBKHD_01664","PNDPEECJ_01240","PGKCJFEA_02390","NHHFDHOA_01217","OKIGJMAO_01489"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2",581,581,1,1,5319,NA,NA,"",611,932,930,"JOCLDNKJ_01354","GJABAPEG_00204","FLNDLMAF_02492","GIMAHOAG_01502","GGECDONP_02001","KGBCLIJM_01258","GHDKDIHM_01722","PDDJGGLI_02707","HLFBFLHK_00625","ILNMAOIA_02516","OJHJBKHD_01662","PNDPEECJ_01242","PGKCJFEA_02392","NHHFDHOA_01219","OKIGJMAO_01487"
"tcyP_1","","L-cystine uptake protein TcyP",581,581,1,1,5325,NA,NA,"",275,1391,1389,"JOCLDNKJ_01348","GJABAPEG_00198","FLNDLMAF_02498","GIMAHOAG_01508","GGECDONP_02007","KGBCLIJM_01264","GHDKDIHM_01716","PDDJGGLI_02713","HLFBFLHK_00619","ILNMAOIA_02510","OJHJBKHD_01656","PNDPEECJ_01248","PGKCJFEA_02398","NHHFDHOA_01225","OKIGJMAO_01481"
"chbC","","PTS system N,N'-diacetylchitobiose-specific EIIC component",581,581,1,1,5333,NA,NA,"",1253,1358,1357,"JOCLDNKJ_01341","GJABAPEG_00191","FLNDLMAF_02505","GIMAHOAG_01515","GGECDONP_02014","KGBCLIJM_01271","GHDKDIHM_01709","PDDJGGLI_02720","HLFBFLHK_00612","ILNMAOIA_02503","OJHJBKHD_01649","PNDPEECJ_01255","PGKCJFEA_02405","NHHFDHOA_01232","OKIGJMAO_01474"
